Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,47.1500015259,46.5600013733,46.6199989319,47.0200004578,2925700.0,43.5358924866
2016-12-13,47.2700004578,46.3300018311,46.75,46.4000015259,4033800.0,42.9618339539
2016-12-14,46.5699996948,45.3499984741,46.4000015259,45.5900001526,3510700.0,42.211856842
2016-12-15,46.0699996948,45.1399993896,45.3899993896,45.7400016785,2699400.0,42.3507385254
2016-12-16,46.5299987793,45.6300010681,45.7299995422,46.5099983215,5880600.0,43.0636787415
2016-12-19,46.6800003052,45.8100013733,46.4900016785,46.0699996948,3189800.0,42.6562843323
2016-12-20,46.3800010681,45.6800003052,46.3800010681,46.2200012207,3231100.0,42.795173645
2016-12-21,46.4799995422,46.0,46.2599983215,46.1300010681,3219800.0,42.7118415833
2016-12-22,46.2099990845,44.9900016785,46.1399993896,45.1800003052,3196800.0,41.8322296143
2016-12-23,45.4900016785,45.0200004578,45.2000007629,45.1500015259,2227000.0,41.8044548035
2016-12-27,45.7200012207,45.1699981689,45.2200012207,45.6500015259,1558100.0,42.2674064636
2016-12-28,45.7799987793,45.25,45.6699981689,45.3400001526,1787500.0,41.9803771973
2016-12-29,45.7200012207,45.25,45.2700004578,45.3600006104,1952500.0,41.9988899231
2016-12-30,45.6899986267,45.0299987793,45.4199981689,45.6500015259,2522300.0,42.2674064636
2017-01-03,46.25,45.5499992371,45.6899986267,46.1899986267,3614900.0,42.7673912048
2017-01-04,46.5400009155,45.4399986267,46.3800010681,46.1100006104,3473300.0,42.693321228
2017-01-05,46.4000015259,45.7099990845,46.0999984741,45.7700004578,3364100.0,42.3785133362
2017-01-06,45.0200004578,43.8400001526,45.0200004578,44.7200012207,4396300.0,41.4063186646
2017-01-09,45.3100013733,44.4000015259,44.5099983215,44.75,3543100.0,41.4340896606
2017-01-10,45.4099998474,44.4000015259,44.7999992371,44.4599990845,3637000.0,41.1655807495
2017-01-11,44.2599983215,43.1500015259,43.75,44.0099983215,5322000.0,40.7489204407
2017-01-12,44.2099990845,43.3400001526,44.0400009155,43.4399986267,3625700.0,40.2211608887
2017-01-13,43.7799987793,43.3300018311,43.5499992371,43.5600013733,2164800.0,40.3322677612
2017-01-17,44.7400016785,43.5800018311,43.7799987793,44.6899986267,4411700.0,41.3785324097
2017-01-18,45.2200012207,44.7000007629,44.7400016785,44.9500007629,2989300.0,41.6192741394
2017-01-19,45.0299987793,44.2700004578,44.9599990845,44.5,2834900.0,41.20262146
2017-01-20,45.2099990845,44.2599983215,44.6699981689,44.7299995422,2395300.0,41.4155731201
2017-01-23,44.7299995422,44.1300010681,44.6199989319,44.7099990845,1973300.0,41.3970489502
2017-01-24,45.4599990845,44.5999984741,44.7599983215,44.6599998474,3245100.0,41.3507614136
2017-01-25,45.4500007629,44.8699989319,44.9000015259,45.2000007629,3367800.0,41.8507537842
2017-01-26,45.3400001526,44.4900016785,45.0499992371,44.5499992371,2577600.0,41.2489128113
2017-01-27,44.9000015259,44.2799987793,44.5600013733,44.5200004578,2054700.0,41.2211418152
2017-01-30,44.5900001526,43.6899986267,44.5099983215,44.1300010681,2572700.0,40.8600311279
2017-01-31,44.3300018311,43.3199996948,44.1800003052,44.2599983215,5041100.0,40.9804000854
2017-02-01,44.5499992371,43.5900001526,44.4799995422,43.7700004578,2486200.0,40.5267066956
2017-02-02,44.1300010681,43.4900016785,43.8699989319,43.9900016785,3624000.0,40.7304077148
2017-02-03,44.3899993896,43.9099998474,44.1800003052,43.9900016785,3292400.0,40.7304077148
2017-02-06,44.3499984741,43.7999992371,44.0900001526,44.0200004578,3890600.0,40.7581825256
2017-02-07,45.0499992371,41.7400016785,42.9599990845,44.5900001526,7474400.0,41.285949707
2017-02-08,44.7599983215,43.1899986267,44.7099990845,43.4599990845,4308200.0,40.2396774292
2017-02-09,43.9799995422,43.4300003052,43.4599990845,43.5400009155,3120600.0,40.3137588501
2017-02-10,43.8899993896,43.4700012207,43.6699981689,43.8300018311,2355700.0,40.5822677612
2017-02-13,44.0499992371,43.0800018311,43.9000015259,43.7099990845,2979000.0,40.471157074
2017-02-14,43.8699989319,43.2700004578,43.7400016785,43.7299995422,2734200.0,40.4896697998
2017-02-15,44.5800018311,43.7200012207,43.8499984741,44.4700012207,4061000.0,41.1748466492
2017-02-16,44.5499992371,43.9000015259,44.2599983215,44.0999984741,4259700.0,41.1282043457
2017-02-17,44.6899986267,43.9799995422,44.0699996948,44.6899986267,2809700.0,41.6784477234
2017-02-21,45.2000007629,44.5099983215,44.5499992371,44.8100013733,5068500.0,41.7903633118
2017-02-22,44.9199981689,44.4300003052,44.5900001526,44.7200012207,3271500.0,41.7064361572
2017-02-23,45.2700004578,44.4900016785,44.7999992371,45.0900001526,3290900.0,42.0514984131
2017-02-24,45.2599983215,44.7400016785,44.8400001526,45.2599983215,2371300.0,42.2100410461
