Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,96.7900009155,94.1500015259,94.6100006104,96.1299972534,781200,96.1299972534
2017-01-11,96.7600021362,95.0599975586,96.0699996948,96.0,600000,96.0
2017-01-12,95.8499984741,94.4000015259,95.5699996948,95.5500030518,513500,95.5500030518
2017-01-13,96.6399993896,95.2799987793,95.6500015259,96.0100021362,516400,96.0100021362
2017-01-17,96.1699981689,94.6299972534,95.4700012207,95.3399963379,539500,95.3399963379
2017-01-18,96.1100006104,93.8300018311,95.7900009155,94.4199981689,794100,94.4199981689
2017-01-19,91.8499984741,90.2099990845,91.5100021362,90.5500030518,2107500,90.5500030518
2017-01-20,92.0299987793,90.8600006104,90.8899993896,91.6999969482,822200,91.6999969482
2017-01-23,92.4700012207,91.4400024414,91.5800018311,92.0400009155,673000,92.0400009155
2017-01-24,92.6699981689,90.7799987793,92.5299987793,91.6500015259,848700,91.6500015259
2017-01-25,93.5999984741,91.7600021362,91.8799972534,93.4100036621,449200,93.4100036621
2017-01-26,93.5599975586,91.8399963379,93.4599990845,92.2300033569,594600,92.2300033569
2017-01-27,92.4700012207,89.9599990845,91.6699981689,90.9300003052,1719100,90.9300003052
2017-01-30,90.0899963379,88.5599975586,89.6399993896,89.9800033569,1433400,89.9800033569
2017-01-31,91.75,89.3199996948,91.6900024414,91.6900024414,1693000,91.6900024414
2017-02-01,102.0,95.4300003052,97.0,97.25,3782000,97.25
2017-02-02,98.5400009155,94.7200012207,97.3799972534,95.1299972534,1761600,95.1299972534
2017-02-03,96.5199966431,94.1399993896,95.4300003052,95.8199996948,1104700,95.8199996948
2017-02-06,96.2399978638,93.3000030518,96.0,93.8499984741,1238500,93.8499984741
2017-02-07,94.5,93.0899963379,94.3099975586,93.6500015259,954100,93.6500015259
2017-02-08,94.1900024414,92.6100006104,93.25,94.1699981689,599400,94.1699981689
2017-02-09,96.4899978638,94.1999969482,94.1999969482,95.9800033569,670500,95.9800033569
