Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,798.0,789.539978027,796.599975586,795.900024414,2558400,795.900024414
2017-01-11,799.5,789.510009766,793.659973145,799.020019531,2992800,799.020019531
2017-01-12,814.130004883,799.5,800.309997559,813.640014648,4873900,813.640014648
2017-01-13,821.650024414,811.400024414,814.320007324,817.140014648,3791900,817.140014648
2017-01-17,816.0,803.440002441,815.700012207,809.719970703,3670500,809.719970703
2017-01-18,811.729980469,804.270019531,809.5,807.479980469,2354200,807.479980469
2017-01-19,813.510009766,807.320007324,810.0,809.039978027,2540800,809.039978027
2017-01-20,816.020019531,806.260009766,815.280029297,808.33001709,3376200,808.33001709
2017-01-23,818.5,805.08001709,806.799987793,817.880004883,2797500,817.880004883
2017-01-24,823.989990234,814.5,822.0,822.440002441,2971700,822.440002441
2017-01-25,837.41998291,825.289978027,825.789978027,836.520019531,3922600,836.520019531
2017-01-26,843.840026855,833.0,835.530029297,839.150024414,3586300,839.150024414
2017-01-27,839.700012207,829.440002441,839.0,835.770019531,2998700,835.770019531
2017-01-30,833.5,816.380004883,833.0,830.380004883,3747300,830.380004883
2017-01-31,826.989990234,819.559997559,823.75,823.479980469,3137200,823.479980469
2017-02-01,833.780029297,824.940002441,829.210021973,832.349975586,3850200,832.349975586
2017-02-02,842.489990234,828.260009766,836.590026855,839.950012207,7350500,839.950012207
2017-02-03,818.299987793,804.0,806.719970703,810.200012207,10868800,810.200012207
2017-02-06,810.719970703,803.0,809.799987793,807.640014648,3897300,807.640014648
2017-02-07,816.159973145,807.5,809.309997559,812.5,3466100,812.5
2017-02-08,821.479980469,812.5,812.690002441,819.710021973,2858000,819.710021973
2017-02-09,825.0,819.710021973,821.599975586,821.359985352,2484900,821.359985352
2017-02-10,828.0,822.849975586,823.820007324,827.460021973,2429600,827.460021973
2017-02-13,843.0,828.549987793,831.619995117,836.530029297,4172600,836.530029297
2017-02-14,838.309997559,831.450012207,837.0,836.390014648,2792400,836.390014648
2017-02-15,842.809997559,832.820007324,834.0,842.700012207,2968900,842.700012207
2017-02-16,845.0,839.380004883,841.840026855,844.140014648,2714700,844.140014648
2017-02-17,847.270019531,840.729980469,842.0,845.070007324,3112300,845.070007324
2017-02-21,857.979980469,847.25,848.840026855,856.440002441,3507700,856.440002441
2017-02-22,858.429992676,852.179992676,856.950012207,855.609985352,2617000,855.609985352
2017-02-23,860.859985352,848.0,857.570007324,852.190002441,3462000,852.190002441
2017-02-24,845.809997559,837.75,844.690002441,845.239990234,3688000,845.239990234
2017-02-27,852.5,839.66998291,842.380004883,848.640014648,2713600,848.640014648
2017-02-28,854.090026855,842.049987793,851.450012207,845.039978027,2793700,845.039978027
2017-03-01,854.83001709,849.010009766,853.049987793,853.08001709,2760100,853.08001709
2017-03-02,854.820007324,847.280029297,853.08001709,848.909973145,2132100,848.909973145
2017-03-03,851.989990234,846.270019531,847.200012207,849.880004883,1941100,849.880004883
2017-03-06,848.489990234,841.119995117,845.229980469,846.609985352,2610400,846.609985352
2017-03-07,848.460021973,843.75,845.479980469,846.020019531,2247600,846.020019531
2017-03-08,853.070007324,846.789978027,848.0,850.5,2286500,850.5
2017-03-09,856.400024414,850.309997559,851.0,853.0,2048200,853.0
2017-03-10,857.349975586,851.719970703,857.0,852.460021973,2436400,852.460021973
2017-03-13,855.690002441,851.710021973,851.770019531,854.590026855,1909700,854.590026855
2017-03-14,853.75,847.549987793,853.549987793,852.530029297,2130600,852.530029297
2017-03-15,854.450012207,847.109985352,854.33001709,852.969970703,2562200,852.969970703
2017-03-16,855.5,850.510009766,855.299987793,853.41998291,1842300,853.41998291
2017-03-17,853.83001709,850.640014648,853.489990234,852.309997559,3384400,852.309997559
2017-03-20,857.799987793,851.010009766,851.510009766,856.969970703,2282700,856.969970703
2017-03-21,862.799987793,841.309997559,858.840026855,843.200012207,4382900,843.200012207
2017-03-22,849.369995117,839.049987793,840.429992676,848.059997559,2658700,848.059997559
2017-03-23,850.890014648,844.799987793,848.200012207,847.380004883,1953000,847.380004883
2017-03-24,851.799987793,843.530029297,851.679992676,845.609985352,2138300,845.609985352
2017-03-27,850.299987793,833.5,838.070007324,846.820007324,2755800,846.820007324
2017-03-28,858.460021973,850.099975586,851.75,856.0,3041600,856.0
2017-03-29,876.440002441,859.020019531,859.049987793,874.320007324,4485800,874.320007324
2017-03-30,877.059997559,871.659973145,874.950012207,876.340026855,2762700,876.340026855
2017-03-31,890.349975586,876.650024414,877.0,886.539978027,3957600,886.539978027
2017-04-03,893.489990234,885.41998291,888.0,891.510009766,3422300,891.510009766
2017-04-04,908.539978027,890.280029297,891.5,906.83001709,4984700,906.83001709
2017-04-05,923.719970703,905.619995117,910.820007324,909.280029297,7508400,909.280029297
2017-04-06,917.190002441,894.489990234,913.799987793,898.280029297,6344100,898.280029297
2017-04-07,900.090026855,889.309997559,899.650024414,894.880004883,3710900,894.880004883
2017-04-10,908.510009766,899.0,899.630004883,907.039978027,3184300,907.039978027
2017-04-11,911.239990234,897.5,907.039978027,902.359985352,3012700,902.359985352
2017-04-12,904.090026855,895.25,903.090026855,896.229980469,2456100,896.229980469
2017-04-13,894.969970703,884.489990234,891.450012207,884.66998291,3174600,884.66998291
2017-04-17,902.380004883,887.5,887.5,901.989990234,2854700,901.989990234
2017-04-18,909.609985352,900.780029297,900.989990234,903.780029297,2999200,903.780029297
2017-04-19,910.5,897.369995117,907.840026855,899.200012207,2870200,899.200012207
2017-04-20,905.320007324,896.289978027,899.700012207,902.059997559,2814400,902.059997559
2017-04-21,903.650024414,896.770019531,902.66998291,898.530029297,2420500,898.530029297
2017-04-24,909.989990234,903.820007324,908.679992676,907.409973145,3122900,907.409973145
2017-04-25,909.479980469,903.0,907.039978027,907.619995117,3380600,907.619995117
2017-04-26,915.75,907.559997559,910.299987793,909.289978027,2608900,909.289978027
2017-04-27,921.859985352,912.109985352,914.390014648,918.380004883,5305500,918.380004883
2017-04-28,949.590026855,924.33001709,948.83001709,924.989990234,7364700,924.989990234
2017-05-01,954.400024414,927.799987793,927.799987793,948.229980469,5466500,948.229980469
2017-05-02,950.099975586,941.409973145,946.650024414,946.940002441,3848800,946.940002441
2017-05-03,946.0,935.900024414,946.0,941.030029297,3582700,941.030029297
2017-05-04,945.0,934.219970703,944.75,937.530029297,2418400,937.530029297
2017-05-05,940.789978027,930.299987793,940.520019531,934.150024414,2866400,934.150024414
2017-05-08,949.049987793,939.210021973,940.950012207,949.039978027,3415700,949.039978027
2017-05-09,957.890014648,950.200012207,952.799987793,952.820007324,3262100,952.820007324
2017-05-10,953.75,945.0,953.5,948.950012207,2096500,948.950012207
2017-05-11,950.289978027,940.780029297,945.109985352,947.619995117,2194100,947.619995117
2017-05-12,962.789978027,951.530029297,954.5,961.349975586,3625900,961.349975586
2017-05-15,963.150024414,956.059997559,958.729980469,957.969970703,4270600,957.969970703
2017-05-16,970.059997559,960.909973145,961.0,966.070007324,3126100,966.070007324
2017-05-17,960.400024414,944.119995117,954.700012207,944.760009766,5145600,944.760009766
2017-05-18,962.75,944.760009766,944.799987793,958.489990234,3939300,958.489990234
2017-05-19,968.91998291,959.719970703,962.840026855,959.840026855,3972100,959.840026855
2017-05-22,971.380004883,962.900024414,964.0,970.66998291,2642200,970.66998291
2017-05-23,975.200012207,966.849975586,975.020019531,971.539978027,2415600,971.539978027
2017-05-24,981.0,970.229980469,976.0,980.349975586,2446000,980.349975586
2017-05-25,999.0,982.109985352,984.849975586,993.380004883,4822000,993.380004883
2017-05-26,998.650024414,989.25,995.0,995.780029297,3469200,995.780029297
2017-05-30,1001.20001221,995.520019531,996.510009766,996.700012207,3263100,996.700012207
2017-05-31,1000.11999512,982.159973145,1000.0,994.619995117,3913100,994.619995117
2017-06-01,998.989990234,991.369995117,998.590026855,995.950012207,2454800,995.950012207
2017-06-02,1008.47998047,995.66998291,998.989990234,1006.72998047,3752300,1006.72998047
2017-06-05,1013.21002197,1003.51000977,1007.22998047,1011.34002686,2719900,1011.34002686
2017-06-06,1016.5,1001.25,1012.0,1003.0,3346400,1003.0
2017-06-07,1010.25,1002.0,1005.95001221,1010.07000732,2823000,1010.07000732
2017-06-08,1013.60998535,1006.10998535,1012.05999756,1010.27001953,2767900,1010.27001953
2017-06-09,1012.98999023,927.0,1012.5,978.309997559,7647700,978.309997559
2017-06-12,975.950012207,945.0,967.0,964.909973145,9447200,964.909973145
2017-06-13,984.5,966.099975586,977.989990234,980.789978027,4580000,980.789978027
2017-06-14,990.340026855,966.710021973,988.590026855,976.469970703,3974900,976.469970703
2017-06-15,965.729980469,950.859985352,958.700012207,964.16998291,5373900,964.16998291
2017-06-16,999.75,982.0,996.0,987.710021973,11472700,987.710021973
2017-06-19,1017.0,989.900024414,1017.0,995.16998291,5043400,995.16998291
2017-06-20,1004.88000488,992.020019531,998.0,992.590026855,4076800,992.590026855
