Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,113.819999695,112.510002136,113.379997253,112.629997253,844200.0,109.098899841
2017-01-11,112.900001526,111.63999939,112.38999939,112.669998169,1079500.0,109.137657166
2017-01-12,112.790000916,111.449996948,112.029998779,112.669998169,695200.0,109.137657166
2017-01-13,113.809997559,113.040000916,113.040000916,113.290000916,598500.0,109.738235474
2017-01-17,114.069999695,112.25,112.779998779,113.620002747,901500.0,110.057876587
2017-01-18,114.230003357,113.239997864,114.0,114.050003052,960300.0,110.474395752
2017-01-19,115.0,112.25,114.319999695,112.279998779,1982600.0,108.759895325
2017-01-20,112.699996948,111.319999695,112.5,112.069999695,1580000.0,108.556472778
2017-01-23,112.370002747,111.300003052,111.970001221,111.699996948,763600.0,108.198059082
2017-01-24,112.720001221,111.819999695,112.260002136,112.209999084,1251500.0,108.692085266
2017-01-25,113.410003662,112.120002747,113.0,112.839996338,1361400.0,109.302322388
2017-01-26,113.290000916,112.589996338,112.940002441,112.949996948,930400.0,109.408882141
2017-01-27,113.38999939,112.38999939,113.180000305,113.38999939,854300.0,109.835083008
2017-01-30,112.849998474,110.88999939,112.849998474,112.069999695,876200.0,108.873313904
2017-01-31,112.709999084,111.480003357,111.940002441,112.699996948,1199300.0,109.485351562
2017-02-01,112.790000916,111.019996643,112.75,111.169998169,1750800.0,107.999000549
2017-02-02,112.510002136,109.819999695,110.599998474,112.480003357,1334400.0,109.271629333
2017-02-03,114.230003357,112.199996948,112.779998779,114.059997559,1426600.0,110.806556702
2017-02-06,114.379997253,113.019996643,113.269996643,114.080001831,783000.0,110.825996399
2017-02-07,114.63999939,114.019996643,114.61000061,114.25,808700.0,110.991142273
2017-02-08,114.430000305,113.220001221,113.709999084,114.36000061,752800.0,111.098007202
2017-02-09,115.199996948,114.300003052,114.36000061,115.169998169,1028400.0,111.884895325
2017-02-10,117.760002136,114.0,117.379997253,115.589996338,1213000.0,112.292930603
2017-02-13,116.160003662,115.279998779,115.529998779,115.870002747,950200.0,112.564941406
2017-02-14,116.040000916,114.959999084,115.690002441,115.849998474,793100.0,112.545509338
2017-02-15,116.699996948,115.300003052,115.739997864,116.559997559,739700.0,113.23526001
2017-02-16,117.36000061,116.449996948,116.699996948,117.279998779,719400.0,113.9347229
2017-02-17,117.63999939,115.900001526,116.88999939,117.529998779,962700.0,114.177574158
2017-02-21,117.800003052,115.220001221,117.199996948,115.569999695,1471100.0,112.273475647
2017-02-22,116.430000305,114.919998169,115.61000061,115.599998474,1090400.0,112.302627563
2017-02-23,116.480003357,115.569999695,115.849998474,116.190002441,898200.0,112.875816345
2017-02-24,116.559997559,115.160003662,115.160003662,116.559997559,712700.0,113.23526001
2017-02-27,117.180000305,116.019996643,116.819999695,116.370002747,494200.0,113.05065918
2017-02-28,116.330001831,115.319999695,116.120002747,115.650001526,1212400.0,112.351211548
2017-03-01,117.88999939,116.449996948,117.5,117.510002136,916200.0,114.158157349
2017-03-02,117.660003662,116.330001831,117.550003052,116.459999084,783900.0,113.1381073
2017-03-03,116.790000916,116.010002136,116.370002747,116.480003357,762400.0,113.157524109
2017-03-06,116.599998474,115.660003662,115.800003052,115.709999084,728900.0,112.409500122
2017-03-07,115.989997864,115.029998779,115.519996643,115.540000916,774100.0,112.244354248
2017-03-08,116.209999084,114.949996948,116.0,115.620002747,1046200.0,112.322067261
2017-03-09,116.800003052,115.489997864,115.760002136,116.330001831,1175300.0,113.011810303
2017-03-10,117.949996948,116.300003052,116.569999695,117.86000061,1582600.0,114.498176575
2017-03-13,119.050003052,118.0,118.0,118.940002441,1496200.0,115.54737854
2017-03-14,118.879997253,118.129997253,118.75,118.419998169,782500.0,115.042205811
2017-03-15,119.169998169,118.180000305,118.5,119.019996643,1248800.0,115.625076294
2017-03-16,119.419998169,118.550003052,119.0,119.239997864,960700.0,115.838813782
2017-03-17,119.879997253,118.760002136,119.550003052,118.910003662,1203200.0,115.518226624
2017-03-20,118.970001221,118.0,118.819999695,118.180000305,736300.0,114.809043884
2017-03-21,118.949996948,117.199996948,118.949996948,117.569999695,1143300.0,114.216438293
2017-03-22,118.050003052,117.069999695,117.510002136,117.709999084,893300.0,114.352455139
2017-03-23,118.459999084,117.319999695,117.680000305,117.480003357,841900.0,114.129013062
2017-03-24,118.169998169,117.080001831,117.680000305,117.540000916,807600.0,114.187301636
2017-03-27,118.470001221,116.050003052,116.410003662,118.190002441,1132400.0,114.818763733
2017-03-28,119.349998474,117.75,117.879997253,118.879997253,1014700.0,115.489067078
2017-03-29,118.849998474,117.690002441,118.279998779,117.760002136,692000.0,114.401031494
2017-03-30,118.650001526,117.0,117.599998474,118.480003357,1042400.0,115.100479126
2017-03-31,119.019996643,117.739997864,117.879997253,118.690002441,1183400.0,115.304496765
2017-04-03,119.0,117.690002441,118.589996338,118.330001831,1192900.0,114.95476532
2017-04-04,118.919998169,117.410003662,118.129997253,118.900001526,927300.0,115.508499146
2017-04-05,120.400001526,119.010002136,119.010002136,119.230003357,1056400.0,115.829101562
2017-04-06,119.779998779,118.379997253,119.239997864,119.38999939,826700.0,115.984535217
2017-04-07,120.269996643,118.949996948,119.040000916,119.63999939,1223900.0,116.227401733
2017-04-10,120.309997559,119.220001221,119.769996643,119.760002136,975600.0,116.343986511
2017-04-11,119.769996643,118.620002747,119.220001221,119.730003357,795900.0,116.314826965
2017-04-12,119.480003357,118.339996338,119.160003662,118.669998169,897000.0,115.285057068
2017-04-13,119.029998779,118.099998474,118.470001221,118.099998474,651800.0,114.731330872
2017-04-17,119.199996948,118.160003662,118.160003662,119.050003052,957200.0,115.65423584
2017-04-18,119.129997253,118.260002136,118.419998169,118.86000061,832700.0,115.469650269
2017-04-19,119.599998474,118.709999084,119.36000061,119.120002747,926200.0,115.722236633
2017-04-20,121.050003052,118.959999084,119.449996948,120.559997559,1208300.0,117.121162415
2017-04-21,120.400001526,118.38999939,120.13999939,118.430000305,1327000.0,115.0519104
2017-04-24,120.290000916,118.760002136,119.510002136,119.040000916,2034600.0,115.644515991
2017-04-25,120.25,119.379997253,119.809997559,120.069999695,719200.0,116.645149231
2017-04-26,120.870002747,119.930000305,120.069999695,120.069999695,768100.0,116.645149231
2017-04-27,120.569999695,119.61000061,120.019996643,120.13999939,847800.0,117.06413269
2017-04-28,120.489997864,119.599998474,119.900001526,119.839996338,869800.0,116.771812439
2017-05-01,120.949996948,119.739997864,119.910003662,120.290000916,1049300.0,117.210289001
2017-05-02,121.050003052,119.669998169,120.540000916,119.919998169,1055900.0,116.849746704
2017-05-03,120.589996338,119.489997864,119.900001526,120.339996338,620300.0,117.258995056
2017-05-04,121.540000916,120.63999939,120.819999695,121.199996948,824000.0,118.096977234
2017-05-05,122.38999939,121.38999939,121.599998474,122.269996643,1207000.0,119.139595032
2017-05-08,123.0,122.230003357,122.540000916,122.809997559,1606300.0,119.665763855
2017-05-09,125.370002747,123.430000305,124.870002747,124.300003052,1977800.0,121.117630005
2017-05-10,124.510002136,123.839996338,124.220001221,124.089996338,1486800.0,120.912994385
2017-05-11,124.699996948,123.580001831,123.949996948,124.300003052,1403800.0,121.117630005
2017-05-12,124.599998474,123.449996948,123.519996643,124.239997864,1224900.0,121.059150696
2017-05-15,125.930000305,124.059997559,124.190002441,125.760002136,1080800.0,122.540252686
2017-05-16,126.13999939,125.379997253,126.0,125.980003357,1009900.0,122.754615784
2017-05-17,126.690002441,124.699996948,125.980003357,125.980003357,1543400.0,122.754615784
2017-05-18,127.370002747,125.470001221,125.989997864,126.690002441,1612400.0,123.446426392
2017-05-19,127.88999939,126.620002747,126.940002441,127.279998779,1221200.0,124.021316528
2017-05-22,128.529998779,126.879997253,127.099998474,128.369995117,1676700.0,125.083404541
2017-05-23,129.009994507,127.900001526,128.190002441,128.559997559,1623300.0,125.268554688
2017-05-24,129.320007324,128.600006104,128.960006714,129.190002441,1070100.0,125.882415771
2017-05-25,130.600006104,129.050003052,129.699996948,130.320007324,1309100.0,126.98348999
2017-05-26,130.550003052,129.88999939,130.320007324,130.009994507,961300.0,126.681427002
2017-05-30,130.949996948,129.619995117,129.929992676,130.710006714,902400.0,127.363517761
2017-05-31,131.619995117,130.130004883,131.11000061,130.910003662,1891100.0,127.558403015
2017-06-01,131.63999939,130.830001831,131.279998779,131.63999939,1071100.0,128.269699097
2017-06-02,131.88999939,131.0,131.460006714,131.399993896,2006600.0,128.035842896
2017-06-05,132.339996338,130.940002441,131.300003052,131.0,1597600.0,127.646087646
2017-06-06,130.960006714,129.820007324,130.36000061,130.460006714,1138000.0,127.119911194
2017-06-07,131.539993286,130.259994507,131.020004272,131.410003662,1216900.0,128.045593262
2017-06-08,132.149993896,131.270004272,131.410003662,131.710006714,1138200.0,128.337921143
2017-06-09,132.809997559,131.740005493,131.820007324,132.63999939,1219900.0,129.244110107
2017-06-12,133.029998779,132.220001221,132.479995728,133.029998779,1431300.0,129.624099731
2017-06-13,134.550003052,133.080001831,133.229995728,134.059997559,1755100.0,130.627731323
2017-06-14,135.190002441,133.720001221,134.0,135.009994507,995800.0,131.553405762
2017-06-15,135.869995117,134.550003052,134.550003052,135.649993896,986800.0,132.177032471
2017-06-16,136.490005493,135.36000061,135.809997559,136.460006714,1519500.0,132.966278076
2017-06-19,137.279998779,136.440002441,137.0,136.800003052,1233900.0,133.297592163
2017-06-20,136.86000061,136.11000061,136.619995117,136.149993896,1247800.0,132.664215088
2017-06-21,136.240005493,135.240005493,135.88999939,135.300003052,1580200.0,131.835998535
2017-06-22,135.460006714,134.169998169,134.960006714,134.25,1072000.0,130.812866211
2017-06-23,134.380004883,132.38999939,134.289993286,132.399993896,1889000.0,129.010253906
2017-06-26,133.410003662,132.38999939,132.5,133.029998779,1264100.0,129.624099731
2017-06-27,133.309997559,132.550003052,133.279998779,132.580001831,1065300.0,129.185623169
2017-06-28,134.179992676,132.720001221,133.11000061,133.979995728,814700.0,130.549804688
2017-06-29,134.919998169,132.279998779,134.919998169,132.839996338,947300.0,129.438980103
2017-06-30,133.550003052,132.190002441,133.320007324,132.949996948,1535900.0,129.546157837
2017-07-03,133.990005493,132.929992676,133.589996338,133.160003662,558600.0,129.750808716
2017-07-05,133.539993286,132.720001221,133.369995117,132.970001221,1275600.0,129.565658569
2017-07-06,134.179992676,132.380004883,133.210006714,133.38999939,1191200.0,129.974899292
2017-07-07,135.479995728,133.5,133.720001221,135.009994507,914100.0,131.553405762
2017-07-10,135.820007324,134.460006714,134.929992676,135.300003052,966700.0,131.835998535
2017-07-11,135.550003052,133.940002441,135.449996948,134.039993286,815200.0,130.60824585
2017-07-12,135.229995728,133.850006104,134.369995117,134.660003662,809800.0,131.212356567
2017-07-13,135.729995728,134.350006104,134.660003662,135.630004883,740300.0,132.157531738
2017-07-14,136.589996338,134.63999939,135.229995728,136.220001221,872900.0,132.732437134
2017-07-17,137.059997559,135.820007324,136.130004883,136.839996338,816800.0,133.336547852
2017-07-18,137.600006104,136.119995117,136.270004272,137.410003662,600300.0,133.891983032
2017-07-19,138.070007324,137.190002441,137.660003662,138.070007324,694600.0,134.535110474
2017-07-20,139.059997559,137.820007324,137.949996948,138.839996338,769900.0,135.285339355
2017-07-21,139.369995117,138.479995728,138.479995728,139.13999939,807400.0,135.577682495
2017-07-24,140.119995117,138.600006104,139.279998779,139.630004883,1076800.0,136.055114746
2017-07-25,141.309997559,139.899993896,140.589996338,140.0,773500.0,136.415679932
2017-07-26,140.13999939,138.86000061,140.0,138.949996948,797700.0,135.392547607
2017-07-27,138.940002441,135.600006104,138.899993896,135.910003662,1623000.0,132.430374146
2017-07-28,138.949996948,135.86000061,135.910003662,138.669998169,1046600.0,135.478591919
2017-07-31,139.520004272,138.149993896,139.009994507,138.169998169,898200.0,134.990081787
2017-08-01,139.699996948,138.149993896,138.669998169,139.589996338,980400.0,136.37739563
2017-08-02,139.660003662,138.399993896,139.350006104,139.229995728,1425800.0,136.025680542
2017-08-03,139.369995117,138.0,139.179992676,138.970001221,1429700.0,135.771652222
2017-08-04,141.449996948,138.009994507,140.0,138.949996948,1109900.0,135.75213623
2017-08-07,140.11000061,138.580001831,138.699996948,138.770004272,944900.0,135.576278687
2017-08-08,138.88999939,138.320007324,138.460006714,138.580001831,1034000.0,135.390640259
2017-08-09,140.320007324,138.25,138.25,140.190002441,755400.0,136.963562012
2017-08-10,140.070007324,138.759994507,139.330001831,138.850006104,842300.0,135.654434204
2017-08-11,139.520004272,138.309997559,139.440002441,138.38999939,708800.0,135.205001831
2017-08-14,140.070007324,139.0,139.429992676,139.660003662,680800.0,136.445800781
2017-08-15,140.339996338,139.229995728,140.130004883,139.279998779,838600.0,136.074539185
2017-08-16,140.210006714,139.190002441,139.5,139.320007324,883600.0,136.113586426
2017-08-17,139.729995728,136.679992676,139.300003052,136.699996948,1210400.0,133.553878784
2017-08-18,137.61000061,136.320007324,136.5,136.520004272,1345600.0,133.378067017
2017-08-21,138.350006104,136.25,136.740005493,138.169998169,1278900.0,134.990081787
2017-08-22,139.630004883,138.179992676,138.649993896,139.570007324,1153900.0,136.357849121
2017-08-23,139.350006104,138.130004883,139.009994507,138.220001221,807000.0,135.038925171
2017-08-24,138.820007324,137.720001221,138.350006104,137.779998779,724800.0,134.609039307
2017-08-25,138.690002441,137.850006104,138.410003662,138.050003052,726300.0,134.872848511
2017-08-28,138.839996338,137.970001221,138.339996338,138.380004883,656700.0,135.195251465
2017-08-29,138.199996948,137.020004272,137.5,137.899993896,944400.0,134.726318359
2017-08-30,138.669998169,137.550003052,137.789993286,138.149993896,733900.0,134.970535278
2017-08-31,139.270004272,138.100006104,138.300003052,139.160003662,1403700.0,135.957275391
2017-09-01,139.740005493,138.820007324,139.449996948,138.86000061,825000.0,135.664199829
2017-09-05,141.059997559,138.479995728,138.770004272,140.350006104,1361200.0,137.119903564
2017-09-06,141.11000061,139.880004883,140.910003662,140.229995728,1072400.0,137.002670288
2017-09-07,140.559997559,138.309997559,140.259994507,138.61000061,1142700.0,135.419921875
