Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,22.2000007629,21.5100002289,21.7299995422,21.5799999237,0.0,21.045791626
2016-12-13,21.7600002289,20.9099998474,21.5699996948,21.1900005341,0.0,20.6654434204
2016-12-14,21.3899993896,20.7000007629,20.9099998474,20.75,0.0,20.2363376617
2016-12-15,21.0100002289,20.4300003052,20.7099990845,20.5599994659,0.0,20.0510406494
2016-12-16,20.8700008392,20.1299991608,20.4899997711,20.2600002289,0.0,19.7584686279
2016-12-19,20.2000007629,19.8500003815,20.0499992371,20.0200004578,0.0,19.5244083405
2016-12-20,20.3700008392,20.0,20.0,20.1000003815,0.0,19.6024265289
2016-12-21,20.2000007629,19.9300003052,20.0200004578,20.0200004578,0.0,19.5244083405
2016-12-22,20.1299991608,19.8099994659,19.9200000763,20.0699996948,0.0,19.5731716156
2016-12-23,20.0900001526,19.6700000763,20.0,19.7800006866,2162800.0,19.2903499603
2016-12-27,20.1299991608,19.6299991608,19.7999992371,19.7800006866,2424300.0,19.2903499603
2016-12-28,19.8600006104,19.2299995422,19.6900005341,19.25,3243400.0,18.7734661102
2016-12-29,19.2999992371,18.6800003052,19.2600002289,18.7000007629,4650500.0,18.2370834351
2016-12-30,19.0799999237,18.4699993134,18.7800006866,18.5400009155,5054000.0,18.0810451508
2017-01-03,19.2000007629,18.6399993896,18.7399997711,19.1900005341,4285200.0,18.7149562836
2017-01-04,19.7299995422,19.0100002289,19.2000007629,19.7000007629,4434700.0,19.2123279572
2017-01-05,20.2000007629,19.6000003815,19.7000007629,20.1000003815,5409500.0,19.6024265289
2017-01-06,20.7099990845,20.0100002289,20.1499996185,20.6299991608,5535600.0,20.119304657
2017-01-09,20.6299991608,20.2900009155,20.5900001526,20.3899993896,4882200.0,19.8852443695
2017-01-10,20.9300003052,20.1800003052,20.1800003052,20.7099990845,4311400.0,20.1973247528
2017-01-11,21.1000003815,20.6499996185,20.7299995422,21.1000003815,4199300.0,20.5776729584
2017-01-12,21.0300006866,20.5,20.9300003052,21.0,5548700.0,20.4801464081
