Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,23.25,22.5400009155,23.0,22.6100006104,136986000.0,21.6285820007
2016-12-13,22.8799991608,22.2900009155,22.7999992371,22.6100006104,118204100.0,21.6285820007
2016-12-14,23.2999992371,22.2099990845,22.3099994659,22.6700000763,225340900.0,21.6859817505
2016-12-15,23.3899993896,22.7999992371,22.8999996185,23.1599998474,162025800.0,22.1547107697
2016-12-16,23.3199996948,22.6499996185,23.1599998474,22.6599998474,147497700.0,21.6764125824
2016-12-19,22.7199993134,22.3299999237,22.6000003815,22.4799995422,97508900.0,21.5042247772
2016-12-20,22.8299999237,22.6100006104,22.6299991608,22.7099990845,83879500.0,21.7242412567
2016-12-21,22.7199993134,22.4699993134,22.7199993134,22.6299991608,61079100.0,21.6477146149
2016-12-22,22.7299995422,22.4699993134,22.6000003815,22.5400009155,67123500.0,21.5616207123
2016-12-23,22.6499996185,22.4300003052,22.5100002289,22.6000003815,38187800.0,21.6190185547
2016-12-27,22.7399997711,22.5400009155,22.7099990845,22.6100006104,39988600.0,21.6285820007
2016-12-28,22.6700000763,22.2600002289,22.6200008392,22.3299999237,52652900.0,21.3607349396
2016-12-29,22.3899993896,21.7700004578,22.3299999237,22.0,79188400.0,21.0450592041
2016-12-30,22.2600002289,21.9500007629,22.0200004578,22.1000003815,72605900.0,21.1407222748
2017-01-03,22.6800003052,22.2000007629,22.6000003815,22.5300006866,99298100.0,21.5520591736
2017-01-04,22.9599990845,22.6000003815,22.7199993134,22.9500007629,76875100.0,21.9538269043
2017-01-05,22.9300003052,22.3500003815,22.8199996948,22.6800003052,86826400.0,21.6955432892
2017-01-06,22.8500003815,22.5599994659,22.7800006866,22.6800003052,66281500.0,21.6955432892
2017-01-09,22.7099990845,22.3999996185,22.5100002289,22.5499992371,75901500.0,21.571187973
2017-01-10,23.1399993896,22.5400009155,22.5900001526,22.9400005341,100977700.0,21.9442596436
2017-01-11,23.0699996948,22.7199993134,22.9400005341,23.0699996948,92385600.0,22.0686149597
2017-01-12,23.1200008392,22.6100006104,23.0100002289,22.9200000763,120474200.0,21.9251270294
2017-01-13,23.4099998474,22.7999992371,23.2099990845,23.0100002289,161930900.0,22.011220932
2017-01-17,22.7900009155,22.0100002289,22.6800003052,22.0499992371,152495900.0,21.0928878784
2017-01-18,22.6499996185,22.1000003815,22.2999992371,22.6299991608,124366000.0,21.6477146149
2017-01-19,22.8099994659,22.4099998474,22.7299995422,22.5300006866,75990800.0,21.5520591736
2017-01-20,22.9300003052,22.5200004578,22.6599998474,22.6399993896,102564900.0,21.6572799683
2017-01-23,22.7600002289,22.4200000763,22.6200008392,22.5599994659,61385600.0,21.5807514191
2017-01-24,23.1000003815,22.4799995422,22.6100006104,22.9500007629,98508700.0,21.9538269043
2017-01-25,23.4200000763,23.1000003815,23.3199996948,23.3700008392,99753300.0,22.3555927277
2017-01-26,23.5499992371,23.2800006866,23.4099998474,23.4400005341,84146400.0,22.4225559235
2017-01-27,23.4500007629,23.2800006866,23.4300003052,23.3600006104,54590200.0,22.346031189
2017-01-30,23.2000007629,22.7099990845,23.2000007629,22.9500007629,91561200.0,21.9538269043
2017-01-31,23.0300006866,22.5,22.7700004578,22.6399993896,91044300.0,21.6572799683
2017-02-01,23.2199993134,22.8199996948,22.9699993134,22.8899993896,103630900.0,21.8964290619
2017-02-02,22.7900009155,22.5100002289,22.7399997711,22.7199993134,88679100.0,21.7338066101
2017-02-03,23.3500003815,22.9500007629,23.1499996185,23.2900009155,116035100.0,22.2790679932
2017-02-06,23.3799991608,23.0699996948,23.1499996185,23.1200008392,92228400.0,22.1164474487
2017-02-07,23.2900009155,22.8600006104,23.2800006866,22.8999996185,87982900.0,21.9059925079
2017-02-08,22.7299995422,22.4500007629,22.7299995422,22.6700000763,102264500.0,21.6859817505
2017-02-09,23.1499996185,22.6399993896,22.7600002289,23.1200008392,102634200.0,22.1164474487
2017-02-10,23.2399997711,22.9599990845,23.1900005341,23.0799999237,90548300.0,22.0781803131
2017-02-13,23.5400009155,23.1700000763,23.1700000763,23.3999996185,105342500.0,22.3842945099
2017-02-14,24.1700000763,23.3299999237,23.3999996185,24.0599994659,139711400.0,23.0156421661
2017-02-15,24.7700004578,24.1100006104,24.3400001526,24.5799999237,151233300.0,23.5130729675
2017-02-16,24.6200008392,24.2999992371,24.5400009155,24.5799999237,98144500.0,23.5130729675
2017-02-17,24.5799999237,24.2000007629,24.2800006866,24.5200004578,85789200.0,23.4556751251
2017-02-21,24.7999992371,24.5799999237,24.5900001526,24.7800006866,78571500.0,23.7043914795
2017-02-22,24.9500007629,24.5400009155,24.6100006104,24.7900009155,81531900.0,23.7139568329
2017-02-23,24.8899993896,24.5100002289,24.7900009155,24.5799999237,85846000.0,23.5130729675
2017-02-24,24.3500003815,24.0200004578,24.1200008392,24.2299995422,97074400.0,23.1782627106
2017-02-27,24.6599998474,24.1900005341,24.2000007629,24.5699996948,69129100.0,23.5035057068
2017-02-28,24.7000007629,24.4200000763,24.4799995422,24.6800003052,90242000.0,23.6087322235
2017-03-01,25.6100006104,25.2199993134,25.3700008392,25.5,143947500.0,24.4674949646
2017-03-02,25.7999992371,25.2000007629,25.6800003052,25.2299995422,99824600.0,24.2084236145
2017-03-03,25.6499996185,25.2999992371,25.2999992371,25.4400005341,92456100.0,24.4099216461
2017-03-06,25.3500003815,25.0799999237,25.3299999237,25.25,75660400.0,24.2276153564
2017-03-07,25.3600006104,25.1000003815,25.2199993134,25.2099990845,64053700.0,24.1892318726
2017-03-08,25.7700004578,25.2199993134,25.6000003815,25.2600002289,105314600.0,24.2372112274
2017-03-09,25.5300006866,25.2299995422,25.3500003815,25.3500003815,78984600.0,24.3235664368
2017-03-10,25.6200008392,25.0900001526,25.6200008392,25.3099994659,86998800.0,24.2851867676
2017-03-13,25.4099998474,25.1299991608,25.2999992371,25.2999992371,56886200.0,24.2755908966
2017-03-14,25.3400001526,25.0499992371,25.1900005341,25.3199996948,63182700.0,24.2947807312
2017-03-15,25.5499992371,24.9599990845,25.3899993896,25.1800003052,114662700.0,24.1604499817
2017-03-16,25.4899997711,25.1900005341,25.2399997711,25.2199993134,70306200.0,24.1988277435
2017-03-17,25.2700004578,24.8299999237,25.2199993134,24.8600006104,105222400.0,23.8534069061
2017-03-20,24.7600002289,24.4200000763,24.5799999237,24.4400005341,87287500.0,23.4504127502
2017-03-21,24.5599994659,22.9500007629,24.5,23.0200004578,259545800.0,22.0879116058
2017-03-22,23.1800003052,22.4500007629,22.6499996185,22.9400005341,167984400.0,22.0111484528
2017-03-23,23.4899997711,22.9099998474,23.0400009155,23.0699996948,111666800.0,22.135881424
2017-03-24,23.3500003815,22.7600002289,23.2000007629,23.1200008392,113499100.0,22.1838588715
2017-03-27,23.0499992371,22.1599998474,22.2800006866,23.0300006866,119513500.0,22.0975055695
2017-03-28,23.6700000763,23.0,23.0100002289,23.4799995422,95761700.0,22.5292835236
2017-03-29,23.6499996185,23.3099994659,23.5100002289,23.3500003815,67204500.0,22.4045467377
2017-03-30,23.9799995422,23.3299999237,23.3799991608,23.8700008392,79189200.0,22.9034919739
2017-03-31,23.9699993134,23.5900001526,23.8299999237,23.5900001526,77158300.0,22.6348266602
2017-04-03,23.75,23.0799999237,23.6499996185,23.5900001526,88076600.0,22.6348266602
2017-04-04,23.5100002289,23.2000007629,23.2000007629,23.4400005341,75244400.0,22.490901947
2017-04-05,23.8799991608,23.1499996185,23.7700004578,23.1700000763,97453300.0,22.231836319
2017-04-06,23.4599990845,22.9599990845,23.1700000763,23.2600002289,82975200.0,22.318189621
2017-04-07,23.3400001526,22.9300003052,23.0300006866,23.1599998474,79519400.0,22.222240448
2017-04-10,23.2800006866,22.9099998474,23.1299991608,23.0200004578,63254700.0,22.0879116058
2017-04-11,22.9500007629,22.5799999237,22.8299999237,22.9200000763,94206700.0,21.9919586182
2017-04-12,22.9400005341,22.6100006104,22.8799991608,22.6499996185,76556300.0,21.7328910828
2017-04-13,22.9599990845,22.3400001526,22.5599994659,22.3400001526,88061800.0,21.4354438782
2017-04-17,22.8299999237,22.2600002289,22.3600006104,22.8099994659,85053200.0,21.8864135742
2017-04-18,23.1499996185,22.3799991608,23.1100006104,22.7099990845,146488400.0,21.7904586792
2017-04-19,23.1499996185,22.6800003052,22.9200000763,22.7399997711,101771800.0,21.8192462921
2017-04-20,23.1700000763,22.8199996948,22.9599990845,23.0699996948,103802600.0,22.135881424
2017-04-21,23.0799999237,22.5900001526,23.0300006866,22.7099990845,127235400.0,21.7904586792
2017-04-24,23.8500003815,23.2399997711,23.2399997711,23.6299991608,138638900.0,22.6732082367
2017-04-25,24.3500003815,23.9099998474,23.9899997711,23.9799995422,131531100.0,23.0090370178
2017-04-26,24.1900005341,23.8600006104,24.0,23.8899993896,95172200.0,22.9226818085
2017-04-27,23.9300003052,23.4599990845,23.8999996185,23.6499996185,80024200.0,22.6923980713
2017-04-28,23.7199993134,23.3199996948,23.5699996948,23.3400001526,69384900.0,22.3949508667
2017-05-01,23.7700004578,23.3500003815,23.5200004578,23.6100006104,72382900.0,22.6540184021
2017-05-02,23.6700000763,23.3299999237,23.6100006104,23.5300006866,60262600.0,22.5772609711
2017-05-03,23.7800006866,23.3400001526,23.3700008392,23.7700004578,64272800.0,22.8075389862
2017-05-04,24.0499992371,23.7299995422,23.9799995422,23.8500003815,68133400.0,22.8843021393
2017-05-05,23.9899997711,23.6000003815,23.9799995422,23.7399997711,56678800.0,22.7787570953
2017-05-08,24.0599994659,23.75,23.75,23.9599990845,56016500.0,22.9898471832
2017-05-09,24.3099994659,23.8700008392,24.0300006866,23.9799995422,61622000.0,23.0090370178
2017-05-10,24.1700000763,23.8700008392,23.9099998474,24.1499996185,48495300.0,23.1721553802
2017-05-11,24.2299995422,23.8400001526,24.1000003815,24.0699996948,68350800.0,23.0953941345
2017-05-12,24.0,23.75,23.9200000763,24.0,62589000.0,23.0282287598
2017-05-15,24.1399993896,23.9799995422,24.0599994659,24.0599994659,50688800.0,23.0857963562
2017-05-16,24.1700000763,23.9400005341,24.0699996948,23.9899997711,55774800.0,23.0186328888
2017-05-17,23.4500007629,22.4599990845,23.3700008392,22.5699996948,190353300.0,21.6561279297
2017-05-18,23.0,22.5,22.6100006104,22.7399997711,108444100.0,21.8192462921
2017-05-19,23.2999992371,22.8700008392,22.9099998474,23.0499992371,89566700.0,22.1166915894
2017-05-22,23.2399997711,22.8199996948,23.1900005341,23.0400009155,74839400.0,22.1070976257
2017-05-23,23.5,22.8400001526,23.0300006866,23.3899993896,79020000.0,22.4429283142
2017-05-24,23.4699993134,23.2199993134,23.4400005341,23.3600006104,58823200.0,22.414144516
2017-05-25,23.5799999237,23.2199993134,23.4099998474,23.25,60443500.0,22.3085975647
2017-05-26,23.4200000763,23.1700000763,23.2299995422,23.2399997711,50399500.0,22.2990016937
2017-05-30,23.2099990845,22.8799991608,23.1299991608,22.9099998474,61307900.0,21.9823627472
2017-05-31,22.7999992371,22.0900001526,22.7800006866,22.4099998474,138636300.0,21.5732307434
2017-06-01,22.6399993896,22.2999992371,22.4799995422,22.6299991608,69725100.0,21.7850151062
2017-06-02,22.5900001526,22.1599998474,22.2700004578,22.4500007629,79722300.0,21.611738205
