Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,45.3100013733,44.6899986267,44.6899986267,44.9900016785,2516900.0,43.8310470581
2016-12-13,45.4199981689,44.7700004578,45.1100006104,45.0200004578,2564700.0,43.8602638245
2016-12-14,45.3899993896,44.9099998474,45.1100006104,45.0400009155,3210400.0,43.8797607422
2016-12-15,45.3100013733,44.75,44.9599990845,45.0900001526,3640700.0,43.9284667969
2016-12-16,45.2099990845,44.5699996948,45.1699981689,44.7200012207,6990900.0,43.5679969788
2016-12-19,45.0999984741,44.5999984741,44.8499984741,44.6399993896,2179600.0,43.4900627136
2016-12-20,44.7599983215,44.0,44.7000007629,44.0999984741,3283600.0,42.9639663696
2016-12-21,44.3199996948,43.8100013733,44.0699996948,44.0900001526,2103400.0,42.9542312622
2016-12-22,44.3800010681,44.0200004578,44.1500015259,44.1599998474,1728700.0,43.0224304199
2016-12-23,44.4000015259,44.0299987793,44.2000007629,44.2200012207,1998400.0,43.0808868408
2016-12-27,44.5099983215,44.2200012207,44.25,44.3800010681,1610500.0,43.2367591858
2016-12-28,44.4399986267,43.9500007629,44.4199981689,44.1899986267,1765000.0,43.0516548157
2016-12-29,44.5400009155,44.0900001526,44.1399993896,44.2599983215,1568800.0,43.1198501587
2016-12-30,44.75,44.2200012207,44.4399986267,44.3400001526,2206500.0,43.1977958679
2017-01-03,44.7400016785,44.0600013733,44.3800010681,44.4399986267,2937400.0,43.295211792
2017-01-04,44.8699989319,44.4599990845,44.5400009155,44.75,2161500.0,43.5972251892
2017-01-05,45.2400016785,44.5699996948,44.75,45.0499992371,2345000.0,43.889503479
2017-01-06,45.6100006104,44.8800010681,45.0600013733,45.5200004578,2930900.0,44.3473968506
2017-01-09,46.2200012207,45.4900016785,45.7299995422,46.1699981689,4265700.0,44.9806518555
2017-01-10,46.75,46.0600013733,46.2200012207,46.5099983215,2990700.0,45.3118896484
2017-01-11,47.0099983215,46.5099983215,46.6199989319,46.9900016785,3649800.0,45.7795295715
2017-01-12,46.9399986267,46.0099983215,46.8100013733,46.5099983215,2510400.0,45.3118896484
2017-01-13,46.8300018311,46.3400001526,46.5900001526,46.4500007629,1240100.0,45.2534332275
2017-01-17,46.5900001526,45.7900009155,46.1899986267,46.5200004578,2570800.0,45.3216362
2017-01-18,46.9700012207,46.3899993896,46.5200004578,46.7700004578,2376800.0,45.5651893616
2017-01-19,46.8699989319,46.2799987793,46.6800003052,46.5699996948,1928500.0,45.3703460693
2017-01-20,47.4000015259,46.2000007629,46.7000007629,46.2299995422,3541200.0,45.039100647
2017-01-23,46.3899993896,45.6500015259,46.0600013733,46.0200004578,2700300.0,44.8345184326
2017-01-24,46.0,45.4700012207,45.9700012207,45.8499984741,1911500.0,44.6688842773
2017-01-25,46.3600006104,45.8199996948,45.8600006104,46.1399993896,2662600.0,44.9514160156
2017-01-26,46.3199996948,45.5299987793,45.9599990845,46.0499992371,2315100.0,44.8637313843
2017-01-27,47.1599998474,46.0499992371,46.1300010681,47.0800018311,2349500.0,45.8672065735
2017-01-30,47.0099983215,46.5,46.9900016785,46.9000015259,2451100.0,45.6918449402
2017-01-31,48.0800018311,46.6800003052,46.8600006104,47.9099998474,6331700.0,46.6758232117
2017-02-01,49.2900009155,46.8499984741,48.6800003052,48.0999984741,6030200.0,46.8609237671
2017-02-02,48.9700012207,47.9199981689,47.9199981689,48.1300010681,3928800.0,46.8901557922
2017-02-03,48.8800010681,48.3400001526,48.3699989319,48.6300010681,2526600.0,47.377281189
2017-02-06,48.6199989319,48.1199989319,48.5,48.3499984741,1893400.0,47.1044883728
2017-02-07,48.6800003052,48.3400001526,48.4799995422,48.5900001526,1854400.0,47.338306427
2017-02-08,48.6599998474,48.1500015259,48.5,48.3499984741,1883500.0,47.1044883728
2017-02-09,49.0299987793,48.4000015259,48.4500007629,48.9300003052,2299500.0,47.6695556641
2017-02-10,49.1399993896,48.7700004578,48.9300003052,49.0,1397500.0,47.7377471924
2017-02-13,49.4399986267,48.8800010681,49.0400009155,49.2299995422,1685900.0,47.9618225098
2017-02-14,49.3100013733,48.7700004578,48.9900016785,48.9599990845,2737600.0,47.6987762451
2017-02-15,49.5800018311,48.5800018311,48.5900001526,49.4399986267,2594500.0,48.1664085388
2017-02-16,49.5499992371,49.0099983215,49.4000015259,49.4199981689,1640000.0,48.1469345093
2017-02-17,49.7400016785,49.2999992371,49.3199996948,49.7299995422,2835800.0,48.4489440918
2017-02-21,50.2000007629,49.5900001526,49.75,49.9599990845,3427300.0,48.6730117798
2017-02-22,50.2200012207,49.7999992371,49.8100013733,50.0600013733,1685000.0,48.7704467773
