Date,High,Low,Open,Close,Volume,Adj Close
2017-07-31,488.799987793,218.38999939,421.0,439.269989014,1364069,439.269989014
2017-08-01,974.710021973,362.019989014,439.269989014,551.590026855,44939867,551.590026855
2017-08-02,635.729980469,381.079986572,551.590026855,405.920013428,39430900,405.920013428
2017-08-03,414.380004883,252.570007324,405.920013428,253.130004883,39012988,253.130004883
2017-08-04,294.839996338,206.63999939,253.130004883,220.300003052,26697590,220.300003052
2017-08-05,241.869995117,210.130004883,220.300003052,241.869995117,19175891,241.869995117
2017-08-06,411.559997559,239.470001221,241.869995117,322.600006104,89374025,322.600006104
2017-08-07,388.339996338,310.510009766,322.600006104,343.429992676,65405748,343.429992676
2017-08-08,349.929992676,289.739990234,343.429992676,301.170013428,31524578,301.170013428
2017-08-09,312.529998779,268.440002441,301.170013428,274.480010986,26331114,274.480010986
2017-08-10,352.529998779,271.459991455,274.480010986,326.260009766,37100135,326.260009766
2017-08-11,344.589996338,311.040008545,326.260009766,316.0,13359671,316.0
2017-08-12,317.690002441,293.929992676,316.0,295.149993896,13655828,295.149993896
2017-08-13,329.769989014,291.25,295.149993896,300.029998779,19118045,300.029998779
2017-08-14,307.420013428,290.019989014,300.029998779,297.359985352,11537495,297.359985352
2017-08-15,309.359985352,285.480010986,297.359985352,299.679992676,10407736,299.679992676
2017-08-16,449.75,292.399993896,299.679992676,445.190002441,72997662,445.190002441
2017-08-17,777.539978027,437.809997559,445.190002441,689.83001709,350422575,689.83001709
2017-08-18,965.479980469,604.030029297,689.83001709,738.539978027,382644710,738.539978027
2017-08-19,849.159973145,677.960021973,738.539978027,719.270019531,176097781,719.270019531
2017-08-20,749.650024414,557.91998291,719.270019531,605.219970703,137835348,605.219970703
2017-08-21,734.159973145,566.859985352,605.219970703,684.599975586,127212595,684.599975586
2017-08-22,710.849975586,651.320007324,684.599975586,674.08001709,44395029,674.08001709
2017-08-23,701.109985352,601.599975586,674.08001709,619.83001709,47944401,619.83001709
2017-08-24,664.739990234,615.090026855,619.83001709,632.479980469,32464569,632.479980469
2017-08-25,638.559997559,612.25,632.479980469,621.429992676,18170375,621.429992676
2017-08-26,651.880004883,581.679992676,621.429992676,616.289978027,40956416,616.289978027
2017-08-27,626.640014648,581.809997559,616.289978027,591.109985352,19001371,591.109985352
2017-08-28,596.559997559,524.320007324,591.109985352,544.739990234,43470346,544.739990234
2017-08-29,613.179992676,529.640014648,544.739990234,580.340026855,47761724,580.340026855
2017-08-30,609.229980469,570.5,580.340026855,592.590026855,27937832,592.590026855
2017-08-31,653.559997559,586.630004883,592.590026855,628.729980469,37807706,628.729980469
2017-09-01,645.799987793,560.979980469,628.729980469,572.650024414,36984224,572.650024414
2017-09-02,622.729980469,559.219970703,572.650024414,609.849975586,27470981,609.849975586
2017-09-03,611.5,496.839996338,609.849975586,519.299987793,39354607,519.299987793
2017-09-04,560.219970703,472.510009766,519.299987793,546.739990234,30106018,546.739990234
2017-09-05,657.299987793,539.130004883,546.739990234,647.640014648,54825116,647.640014648
