Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,301.420013428,296.429992676,300.420013428,297.790008545,1408400,297.790008545
2017-01-11,297.899993896,285.0,296.950012207,287.109985352,2450500,287.109985352
2017-01-12,288.989990234,285.040008545,286.609985352,287.769989014,1354700,287.769989014
2017-01-13,289.859985352,284.25,288.070007324,284.75,1711500,284.75
2017-01-17,286.350006104,281.079986572,284.279998779,283.010009766,1971100,283.010009766
2017-01-18,286.160003662,282.869995117,284.790008545,283.609985352,1079700,283.609985352
2017-01-19,284.839996338,279.230010986,282.739990234,280.350006104,1421500,280.350006104
2017-01-20,282.559997559,279.410003662,282.070007324,280.660003662,1979100,280.660003662
2017-01-23,282.720001221,275.489990234,280.350006104,276.019989014,1858000,276.019989014
2017-01-24,278.399993896,271.470001221,275.739990234,273.820007324,1975200,273.820007324
2017-01-25,277.779998779,271.429992676,274.540008545,273.239990234,2506100,273.239990234
2017-01-26,285.779998779,277.0,278.0,278.890014648,2419000,278.890014648
2017-01-27,281.980010986,277.290008545,280.459991455,278.209991455,1353400,278.209991455
2017-01-30,278.899993896,274.220001221,278.269989014,276.059997559,1300300,276.059997559
2017-01-31,278.0,271.899993896,275.010009766,277.239990234,1856400,277.239990234
2017-02-01,282.070007324,277.510009766,278.980010986,281.690002441,1699500,281.690002441
2017-02-02,264.519989014,260.5,263.760009766,264.230010986,2733900,264.230010986
2017-02-03,266.0,261.760009766,264.980010986,264.670013428,1537500,264.670013428
2017-02-06,265.730010986,263.179992676,264.459991455,264.910003662,1619100,264.910003662
2017-02-07,269.670013428,264.559997559,269.470001221,266.109985352,1546900,266.109985352
2017-02-08,269.010009766,265.429992676,265.429992676,268.739990234,1922600,268.739990234
2017-02-09,271.160003662,267.739990234,268.239990234,270.440002441,1399100,270.440002441
2017-02-10,276.410003662,269.980010986,270.679992676,274.760009766,1648900,274.760009766
2017-02-13,279.760009766,275.160003662,276.279998779,278.910003662,1795500,278.910003662
2017-02-14,286.059997559,279.010009766,279.859985352,285.140014648,2404500,285.140014648
2017-02-15,292.890014648,284.239990234,284.570007324,292.640014648,2601200,292.640014648
2017-02-16,293.980010986,287.760009766,292.5,290.130004883,1834900,290.130004883
2017-02-17,291.899993896,287.760009766,290.0,288.940002441,2022900,288.940002441
2017-02-21,289.910003662,286.220001221,289.160003662,286.899993896,1471200,286.899993896
2017-02-22,289.429992676,285.220001221,287.75,287.630004883,1046000,287.630004883
2017-02-23,288.109985352,283.359985352,287.75,284.75,1418900,284.75
2017-02-24,285.809997559,266.0,285.010009766,285.130004883,1768500,285.130004883
2017-02-27,291.25,284.269989014,285.390014648,291.130004883,1295100,291.130004883
2017-02-28,291.420013428,287.190002441,290.130004883,288.600006104,1251300,288.600006104
2017-03-01,294.170013428,289.140014648,290.070007324,293.260009766,1319700,293.260009766
2017-03-02,296.929992676,291.0,293.640014648,293.589996338,1282400,293.589996338
2017-03-03,298.0,293.119995117,293.119995117,297.850006104,1170700,297.850006104
2017-03-06,297.899993896,294.399993896,297.089996338,295.660003662,1395600,295.660003662
2017-03-07,293.890014648,290.670013428,293.890014648,291.100006104,1298400,291.100006104
2017-03-08,294.820007324,288.720001221,290.179992676,294.089996338,1243600,294.089996338
2017-03-09,294.920013428,290.440002441,291.269989014,293.059997559,1281200,293.059997559
2017-03-10,293.899993896,289.450012207,293.309997559,292.239990234,1303700,292.239990234
2017-03-13,293.850006104,290.149993896,291.549987793,292.950012207,1291500,292.950012207
2017-03-14,293.390014648,290.179992676,292.269989014,292.470001221,797700,292.470001221
2017-03-15,294.559997559,289.390014648,293.140014648,292.640014648,1376000,292.640014648
2017-03-16,285.429992676,275.700012207,285.010009766,278.959991455,3870900,278.959991455
2017-03-17,280.609985352,274.609985352,276.070007324,276.089996338,3140200,276.089996338
2017-03-20,278.609985352,272.970001221,276.859985352,274.799987793,1666900,274.799987793
2017-03-21,284.709991455,274.540008545,276.399993896,275.790008545,3841600,275.790008545
2017-03-22,278.540008545,274.929992676,276.429992676,277.869995117,1333600,277.869995117
2017-03-23,279.390014648,274.690002441,277.029998779,275.410003662,1605000,275.410003662
2017-03-24,278.100006104,272.869995117,277.079986572,274.820007324,1368200,274.820007324
