Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,26.0200004578,25.7099990845,25.75,25.7700004578,976600,25.7700004578
2017-01-11,26.1599998474,25.7999992371,25.8099994659,26.1100006104,1017700,26.1100006104
2017-01-12,26.0,25.5499992371,26.0,25.9400005341,878200,25.9400005341
2017-01-13,26.2000007629,25.4200000763,25.7000007629,26.0699996948,882200,26.0699996948
2017-01-17,26.0400009155,25.75,25.9599990845,25.7999992371,919900,25.7999992371
2017-01-18,26.0599994659,25.6900005341,25.8500003815,25.9099998474,962400,25.9099998474
2017-01-19,26.2199993134,25.8799991608,26.0,25.9699993134,1077100,25.9699993134
2017-01-20,26.25,25.8999996185,25.9899997711,25.9400005341,973900,25.9400005341
2017-01-23,26.0699996948,25.6200008392,25.8299999237,25.6700000763,1474500,25.6700000763
2017-01-24,26.2700004578,25.6700000763,25.7399997711,26.2299995422,2415800,26.2299995422
2017-01-25,26.4699993134,26.1399993896,26.4500007629,26.2600002289,1438100,26.2600002289
2017-01-26,26.3700008392,25.9400005341,26.3099994659,25.9599990845,1185700,25.9599990845
2017-01-27,26.2399997711,25.9699993134,26.0100002289,26.2199993134,934100,26.2199993134
2017-01-30,26.2399997711,25.7600002289,26.1800003052,26.1200008392,1460200,26.1200008392
2017-01-31,26.1100006104,25.7099990845,25.9799995422,26.0300006866,3939600,26.0300006866
2017-02-01,26.1399993896,25.7700004578,26.0300006866,25.8199996948,3228300,25.8199996948
2017-02-02,29.3099994659,26.1399993896,26.4899997711,28.9300003052,10785100,28.9300003052
2017-02-03,29.5799999237,28.8700008392,29.0499992371,29.1299991608,5230800,29.1299991608
2017-02-06,29.5900001526,28.9200000763,28.9899997711,29.3799991608,2257000,29.3799991608
2017-02-07,29.6900005341,29.3199996948,29.3500003815,29.3799991608,2730100,29.3799991608
2017-02-08,29.4300003052,29.0100002289,29.2900009155,29.2399997711,2024900,29.2399997711
2017-02-09,29.6299991608,29.2900009155,29.3099994659,29.5499992371,1682300,29.5499992371
2017-02-10,29.75,29.4400005341,29.7000007629,29.5300006866,1562300,29.5300006866
2017-02-13,29.8799991608,29.5,29.6000003815,29.8199996948,1673200,29.8199996948
2017-02-14,29.9400005341,29.6399993896,29.6399993896,29.9200000763,1289700,29.9200000763
2017-02-15,30.1800003052,29.5599994659,29.5599994659,30.1000003815,2377900,30.1000003815
2017-02-16,30.4099998474,30.0,30.1200008392,30.2399997711,3381700,30.2399997711
2017-02-17,30.2000007629,29.6900005341,29.9099998474,30.2000007629,3707200,30.2000007629
2017-02-21,30.8199996948,29.9899997711,30.0300006866,30.7900009155,2624500,30.7900009155
2017-02-22,30.9400005341,30.7800006866,30.8500003815,30.8600006104,1901400,30.8600006104
2017-02-23,30.9899997711,30.3999996185,30.9400005341,30.7800006866,2416000,30.7800006866
2017-02-24,31.2900009155,30.5799999237,30.6000003815,31.2900009155,1935700,31.2900009155
2017-02-27,31.5400009155,31.1800003052,31.2800006866,31.5400009155,2249300,31.5400009155
2017-02-28,31.5400009155,30.8899993896,31.5400009155,30.8999996185,2523800,30.8999996185
2017-03-01,31.3500003815,30.6100006104,31.2199993134,31.3099994659,2651600,31.3099994659
2017-03-02,31.3600006104,31.0,31.1900005341,31.0900001526,1421700,31.0900001526
2017-03-03,31.1599998474,30.9099998474,31.0300006866,31.1000003815,1666100,31.1000003815
2017-03-06,31.1000003815,30.8400001526,30.9599990845,31.0100002289,1161900,31.0100002289
2017-03-07,31.2900009155,31.0,31.1000003815,31.2399997711,2305000,31.2399997711
2017-03-08,31.3500003815,31.2199993134,31.2199993134,31.3299999237,1940900,31.3299999237
2017-03-09,31.2999992371,31.0100002289,31.2600002289,31.2299995422,1406900,31.2299995422
2017-03-10,31.4400005341,31.2600002289,31.3700008392,31.3999996185,1606700,31.3999996185
2017-03-13,31.7000007629,31.2700004578,31.3600006104,31.6700000763,1796700,31.6700000763
2017-03-14,31.6399993896,31.4400005341,31.5499992371,31.6000003815,851600,31.6000003815
2017-03-15,31.7299995422,31.2700004578,31.7299995422,31.5799999237,2968800,31.5799999237
2017-03-16,31.9099998474,31.4300003052,31.5900001526,31.6299991608,1269100,31.6299991608
2017-03-17,32.0,31.6499996185,31.7299995422,31.8600006104,3364700,31.8600006104
2017-03-20,32.0600013733,31.7000007629,31.9300003052,31.9300003052,1383700,31.9300003052
2017-03-21,32.1899986267,31.4400005341,32.0900001526,31.5100002289,1688400,31.5100002289
2017-03-22,31.8799991608,30.3500003815,30.3500003815,31.7800006866,1116500,31.7800006866
2017-03-23,31.9599990845,31.6299991608,31.7999992371,31.7299995422,988100,31.7299995422
2017-03-24,32.0200004578,31.5300006866,31.7800006866,31.6100006104,1298900,31.6100006104
2017-03-27,31.7700004578,31.0599994659,31.3600006104,31.6800003052,2097200,31.6800003052
2017-03-28,31.7999992371,31.3700008392,31.7099990845,31.3799991608,2091400,31.3799991608
2017-03-29,31.5499992371,31.2800006866,31.3700008392,31.5200004578,2378000,31.5200004578
2017-03-30,31.6399993896,31.3199996948,31.5400009155,31.3500003815,2284200,31.3500003815
2017-03-31,31.4799995422,31.2700004578,31.3899993896,31.3999996185,4610600,31.3999996185
2017-04-03,31.4599990845,31.0200004578,31.3999996185,31.1499996185,3303400,31.1499996185
2017-04-04,31.3600006104,31.0200004578,31.1399993896,31.1000003815,2471200,31.1000003815
2017-04-05,31.3899993896,30.8099994659,31.1399993896,30.8500003815,2919900,30.8500003815
2017-04-06,31.25,30.8600006104,30.9799995422,31.1700000763,2422300,31.1700000763
2017-04-07,31.2199993134,30.9200000763,31.0699996948,31.1800003052,2474900,31.1800003052
2017-04-10,31.4400005341,31.0,31.2099990845,31.3500003815,1289800,31.3500003815
2017-04-11,31.4799995422,31.1499996185,31.3299999237,31.4799995422,2347000,31.4799995422
2017-04-12,31.5599994659,30.9200000763,31.4300003052,31.2700004578,1931700,31.2700004578
2017-04-13,31.3999996185,31.0400009155,31.2199993134,31.1100006104,1218700,31.1100006104
2017-04-17,31.3799991608,31.1200008392,31.1200008392,31.3799991608,2059000,31.3799991608
2017-04-18,32.1599998474,31.2000007629,31.3099994659,32.1599998474,3231500,32.1599998474
2017-04-19,32.5499992371,32.1500015259,32.2000007629,32.4500007629,2556800,32.4500007629
2017-04-20,32.8499984741,32.3100013733,32.5900001526,32.7700004578,3382400,32.7700004578
2017-04-21,32.9399986267,32.5400009155,32.6500015259,32.8800010681,3103100,32.8800010681
2017-04-24,33.6100006104,32.9799995422,33.0699996948,33.4799995422,3892200,33.4799995422
2017-04-25,32.2799987793,31.2199993134,31.7999992371,31.9300003052,5475300,31.9300003052
2017-04-26,32.0,31.6000003815,31.9899997711,31.75,3437800,31.75
2017-04-27,32.2000007629,31.8299999237,31.8299999237,32.0400009155,1855400,32.0400009155
2017-04-28,32.5999984741,31.9300003052,32.0499992371,32.5699996948,3029900,32.5699996948
2017-05-01,32.9399986267,32.5800018311,32.7299995422,32.7099990845,2592200,32.7099990845
2017-05-02,32.8600006104,32.5900001526,32.7200012207,32.7900009155,2019200,32.7900009155
2017-05-03,32.7700004578,32.5299987793,32.7099990845,32.7599983215,1622400,32.7599983215
2017-05-04,32.9199981689,32.6300010681,32.7400016785,32.7599983215,1219700,32.7599983215
2017-05-05,33.0600013733,32.7799987793,32.8600006104,33.0400009155,1298800,33.0400009155
2017-05-08,33.0200004578,32.7799987793,33.0,32.8300018311,1474500,32.8300018311
2017-05-09,33.1399993896,32.8699989319,32.9300003052,33.0,1429900,33.0
2017-05-10,33.0900001526,32.8600006104,33.0299987793,32.9300003052,1222600,32.9300003052
2017-05-11,32.9900016785,32.6800003052,32.8600006104,32.9900016785,1907000,32.9900016785
2017-05-12,33.0999984741,32.7400016785,33.0200004578,32.8899993896,921900,32.8899993896
2017-05-15,33.1899986267,32.9300003052,33.0600013733,33.1500015259,1409900,33.1500015259
2017-05-16,33.3100013733,33.0299987793,33.25,33.2400016785,1675400,33.2400016785
2017-05-17,33.0499992371,32.3899993896,32.9199981689,32.3899993896,1552500,32.3899993896
2017-05-18,32.7000007629,32.0699996948,32.2799987793,32.3199996948,2941500,32.3199996948
2017-05-19,32.8800010681,32.3800010681,32.6100006104,32.7799987793,2159600,32.7799987793
2017-05-22,33.5600013733,32.7700004578,32.8899993896,33.5299987793,2466700,33.5299987793
2017-05-23,34.1199989319,33.3100013733,33.5699996948,34.0200004578,3139300,34.0200004578
2017-05-24,34.3100013733,33.7999992371,34.0600013733,34.2700004578,2724400,34.2700004578
2017-05-25,34.8699989319,34.2999992371,34.3199996948,34.7599983215,2108000,34.7599983215
2017-05-26,35.2900009155,34.5699996948,34.7000007629,34.9300003052,2226300,34.9300003052
2017-05-30,35.1199989319,34.7099990845,34.8699989319,34.9300003052,1549600,34.9300003052
2017-05-31,35.4000015259,34.8300018311,34.9900016785,35.1399993896,4856600,35.1399993896
