Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,59.6199989319,58.8699989319,59.4300003052,59.0400009155,5743000.0,56.0236129761
2017-05-26,59.9399986267,58.8600006104,58.9799995422,59.7999992371,2660000.0,56.7447776794
2017-05-30,59.7200012207,58.8400001526,59.6500015259,58.8600006104,2889800.0,55.852809906
2017-05-31,59.2700004578,57.8199996948,59.0699996948,58.7000007629,3250800.0,55.7009811401
2017-06-01,59.4300003052,58.5800018311,58.8800010681,59.0699996948,2376000.0,56.0520782471
2017-06-02,59.4900016785,58.75,58.75,58.9099998474,2830600.0,55.9002494812
2017-06-05,59.3699989319,58.8300018311,58.9300003052,59.0200004578,2340800.0,56.0046348572
2017-06-06,58.9900016785,58.2400016785,58.7000007629,58.6899986267,3329400.0,55.691493988
2017-06-07,59.8199996948,58.5999984741,58.7599983215,59.3699989319,2646500.0,56.3367538452
2017-06-08,60.4000015259,59.3699989319,59.3699989319,59.7299995422,2897400.0,56.6783485413
2017-06-09,60.7200012207,59.9799995422,60.1599998474,60.5699996948,2805700.0,57.4754447937
2017-06-12,61.5,60.2599983215,60.6100006104,60.7299995422,3039100.0,57.6272659302
2017-06-13,61.6199989319,60.5099983215,60.9399986267,61.3600006104,2557000.0,58.2250862122
2017-06-14,60.9000015259,59.4199981689,60.8800010681,60.6300010681,2869800.0,57.5323829651
2017-06-15,61.4099998474,60.2000007629,60.4500007629,60.7200012207,2163400.0,57.6177787781
2017-06-16,61.2700004578,60.5800018311,60.9500007629,61.0999984741,3531900.0,57.9783630371
2017-06-19,61.4700012207,60.8199996948,61.2400016785,61.1399993896,1641600.0,58.0163192749
2017-06-20,61.1899986267,60.5499992371,60.8600006104,60.7799987793,1824500.0,57.6747131348
2017-06-21,60.9199981689,60.1100006104,60.9199981689,60.3600006104,1991700.0,57.2761726379
2017-06-22,60.5999984741,59.9000015259,60.2400016785,60.2400016785,1860400.0,57.1623001099
2017-06-23,60.6300010681,59.7999992371,60.3199996948,60.0400009155,8458100.0,56.9725189209
2017-06-26,60.9099998474,60.0800018311,60.1800003052,60.6100006104,1827300.0,57.5133972168
2017-06-27,61.5,60.4799995422,60.7599983215,61.0699996948,2456800.0,57.9498939514
2017-06-28,62.3199996948,61.4300003052,61.4500007629,61.8800010681,3106400.0,58.7185173035
2017-06-29,63.2799987793,61.2599983215,63.0499992371,61.5099983215,5274700.0,58.3674201965
2017-06-30,62.6199989319,61.2799987793,61.7999992371,62.1899986267,3156100.0,59.012676239
2017-07-03,63.0200004578,62.1800003052,62.4199981689,62.2700004578,1629900.0,59.0885887146
2017-07-05,62.5,61.3600006104,62.4700012207,61.5099983215,3526300.0,58.3674201965
2017-07-06,62.0099983215,61.0900001526,61.2999992371,61.2000007629,3159100.0,58.0732536316
2017-07-07,61.7299995422,61.0600013733,61.4199981689,61.3699989319,2808900.0,58.2345695496
2017-07-10,61.2799987793,60.7900009155,61.1699981689,61.0999984741,2870300.0,57.9783630371
2017-07-11,61.25,60.4099998474,61.0999984741,60.7599983215,2748800.0,57.6557350159
2017-07-12,61.3400001526,60.3199996948,60.5,61.1399993896,2237300.0,58.0163192749
2017-07-13,61.5900001526,61.0800018311,61.2000007629,61.4199981689,3226600.0,58.2820129395
2017-07-14,61.4300003052,60.4199981689,60.9900016785,61.2599983215,2119000.0,58.1301956177
2017-07-17,61.3699989319,60.7799987793,61.1899986267,61.0699996948,2510100.0,57.9498939514
2017-07-18,61.0600013733,60.5600013733,60.7799987793,61.0400009155,1518900.0,57.9214324951
2017-07-19,61.4000015259,60.9099998474,61.1599998474,61.1399993896,1940200.0,58.0163192749
2017-07-20,61.5600013733,60.9399986267,61.0,61.3699989319,1940300.0,58.2345695496
2017-07-21,62.8600006104,61.7000007629,61.7599983215,62.5299987793,3646300.0,59.3353042603
2017-07-24,62.7200012207,61.9399986267,62.4500007629,62.5299987793,2296300.0,59.3353042603
2017-07-25,63.9300003052,62.9500007629,62.9500007629,63.7900009155,3321500.0,60.5309410095
2017-07-26,64.0,63.0400009155,64.0,63.1300010681,3782800.0,59.9046516418
2017-07-27,62.0900001526,59.9199981689,61.3199996948,60.4399986267,7624600.0,57.3520774841
2017-07-28,60.8899993896,60.2000007629,60.4000015259,60.2599983215,3526900.0,57.1812820435
2017-07-31,61.2999992371,60.3499984741,60.4000015259,60.9399986267,2341800.0,57.8265380859
2017-08-01,61.4799995422,60.5900001526,61.2900009155,60.6100006104,2926700.0,57.5133972168
2017-08-02,61.0299987793,60.4000015259,60.5400009155,60.7799987793,2256700.0,57.6747131348
2017-08-03,60.8400001526,60.3100013733,60.6500015259,60.4599990845,2224500.0,57.3710670471
2017-08-04,61.3300018311,60.9300003052,61.0,61.0400009155,1829900.0,57.9214324951
2017-08-07,61.5,60.8600006104,60.8600006104,61.3899993896,2020500.0,58.2535514832
2017-08-08,62.5400009155,61.0099983215,61.2799987793,61.9599990845,2902100.0,58.7944259644
2017-08-09,61.6300010681,60.9700012207,61.4900016785,61.2599983215,1834000.0,58.1301956177
2017-08-10,61.0800018311,60.0900001526,60.8899993896,60.0999984741,2280900.0,57.0294532776
2017-08-11,60.2200012207,59.5600013733,60.1199989319,59.6399993896,2163700.0,56.592956543
2017-08-14,60.6800003052,60.1199989319,60.2099990845,60.5,1802400.0,57.4090194702
2017-08-15,62.1100006104,61.0299987793,61.0299987793,61.8699989319,2876300.0,58.7090263367
2017-08-16,62.4700012207,61.5900001526,62.1800003052,61.7099990845,2309300.0,58.5572013855
2017-08-17,61.6699981689,59.9000015259,61.4500007629,59.9000015259,1905600.0,56.8396720886
2017-08-18,60.0,59.4000015259,59.7299995422,59.4300003052,2044300.0,56.3936805725
2017-08-21,59.5800018311,59.1100006104,59.4900016785,59.2700004578,1555900.0,56.2418632507
2017-08-22,59.5800018311,58.9700012207,59.25,59.5,2627800.0,56.795501709
2017-08-23,59.7099990845,58.9199981689,59.1399993896,59.3100013733,1498600.0,56.6141357422
2017-08-24,59.7299995422,59.2400016785,59.4199981689,59.4700012207,1730200.0,56.7668571472
2017-08-25,60.4700012207,59.6300010681,59.6300010681,59.6899986267,2776800.0,56.9768638611
2017-08-28,59.9599990845,59.0099983215,59.8300018311,59.0999984741,1200000.0,56.4136734009
