Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,93.0599975586,91.7900009155,92.2600021362,93.0,1038600.0,87.9494018555
2017-01-11,93.8399963379,92.4400024414,93.0800018311,93.2699966431,720200.0,88.204750061
2017-01-12,93.1800003052,92.3499984741,92.9400024414,93.1200027466,686100.0,88.0628890991
2017-01-13,93.6800003052,92.4300003052,93.2900009155,92.6999969482,663200.0,87.6657028198
2017-01-17,92.6600036621,91.6900024414,92.5899963379,92.2600021362,767700.0,87.2495803833
2017-01-18,93.3700027466,92.1500015259,92.7099990845,92.9599990845,803500.0,87.911567688
2017-01-19,93.0299987793,91.4599990845,92.7099990845,91.5299987793,1257900.0,86.5592269897
2017-01-20,91.7900009155,90.4700012207,91.6600036621,91.0,1167700.0,86.0580215454
2017-01-23,91.2099990845,90.5,91.0500030518,91.0699996948,1207800.0,86.1242141724
2017-01-24,91.4499969482,90.9100036621,91.4199981689,91.3399963379,929100.0,86.3795547485
2017-01-25,92.4400024414,91.3799972534,91.4499969482,91.8799972534,1008000.0,86.8902282715
2017-01-26,95.1399993896,90.5599975586,91.6100006104,92.8899993896,1672300.0,87.845375061
2017-01-27,93.5800018311,92.1500015259,93.5199966431,92.7200012207,1374700.0,87.6846008301
2017-01-30,92.5699996948,90.1299972534,92.5699996948,90.5400009155,1093800.0,85.6230010986
2017-01-31,91.9499969482,90.2399978638,90.6800003052,91.9199981689,1384300.0,86.9280548096
2017-02-01,92.5999984741,91.9599990845,92.1299972534,92.5500030518,1266700.0,87.5238494873
2017-02-02,92.9899978638,91.9300003052,92.3000030518,92.4800033569,1050400.0,87.4576339722
2017-02-03,93.4300003052,92.3899993896,92.9499969482,93.3099975586,745700.0,88.2425689697
2017-02-06,93.2900009155,92.3600006104,93.2900009155,92.7799987793,743700.0,87.7413482666
2017-02-07,92.9599990845,92.0899963379,92.6100006104,92.6200027466,816700.0,87.5900421143
2017-02-08,93.2600021362,92.3199996948,92.5899963379,93.0500030518,623800.0,87.9966888428
2017-02-09,94.0299987793,92.7300033569,93.0500030518,93.7699966431,760100.0,88.6775665283
2017-02-10,94.2200012207,93.4499969482,93.8399963379,93.5599975586,877700.0,88.4789810181
2017-02-13,94.0899963379,93.6100006104,93.6100006104,93.9599990845,650600.0,88.8572616577
2017-02-14,94.6699981689,93.7600021362,93.7600021362,94.6100006104,766000.0,89.4719696045
2017-02-15,95.5100021362,94.2600021362,94.2600021362,95.3899993896,1077400.0,90.2096099854
2017-02-16,96.4499969482,94.9000015259,95.5800018311,95.3000030518,761700.0,90.1245040894
2017-02-17,95.6600036621,94.5599975586,94.8000030518,95.6399993896,978700.0,90.4460296631
2017-02-21,96.2300033569,95.3600006104,95.4800033569,95.8700027466,638300.0,90.6635437012
2017-02-22,95.9599990845,95.3399963379,95.5400009155,95.5999984741,781500.0,90.408203125
2017-02-23,96.0800018311,95.2699966431,95.6999969482,95.6100006104,705200.0,90.4176712036
2017-02-24,97.3499984741,95.4899978638,95.7200012207,97.3099975586,807100.0,92.0253372192
2017-02-27,97.6100006104,97.1500015259,97.3899993896,97.4700012207,516500.0,92.1766433716
2017-02-28,97.8300018311,97.1299972534,97.1999969482,97.4400024414,694900.0,92.1482772827
2017-03-01,98.75,97.4800033569,97.7699966431,98.4000015259,837000.0,93.0561447144
2017-03-02,98.6100006104,97.8499984741,98.25,98.2699966431,608800.0,92.9331893921
2017-03-03,98.6500015259,98.0,98.2900009155,98.5199966431,510100.0,93.1696166992
2017-03-06,98.5999984741,97.7799987793,98.0599975586,98.3700027466,688300.0,93.0277786255
2017-03-07,98.5899963379,97.5500030518,97.9499969482,98.1699981689,689700.0,92.8386306763
2017-03-08,98.5699996948,97.8199996948,97.9499969482,97.9199981689,601000.0,92.6022033691
2017-03-09,98.5999984741,97.5999984741,98.0100021362,98.1999969482,507500.0,92.8669967651
2017-03-10,98.9599990845,98.0199966431,98.1299972534,98.7799987793,549100.0,93.4154968262
2017-03-13,98.9700012207,98.1299972534,98.9400024414,98.7900009155,612200.0,93.4249649048
2017-03-14,99.4599990845,98.1900024414,99.0,98.6600036621,829100.0,93.3020248413
2017-03-15,99.8399963379,98.5400009155,98.8700027466,99.7399978638,909700.0,94.3233566284
2017-03-16,100.0,98.4000015259,99.8199996948,98.7200012207,1083800.0,93.358757019
2017-03-17,99.3399963379,98.7600021362,98.8300018311,99.0599975586,1547800.0,93.680305481
2017-03-20,99.4599990845,98.8700027466,99.3399963379,99.1699981689,576100.0,93.7843093872
2017-03-21,99.7699966431,98.0199966431,99.3600006104,98.4300003052,1125000.0,93.0845108032
2017-03-22,98.7900009155,97.9899978638,98.6399993896,98.5699996948,875800.0,93.2168960571
2017-03-23,99.3600006104,98.0999984741,98.4599990845,98.2699966431,685800.0,92.9331893921
2017-03-24,99.2099990845,98.2699966431,98.3899993896,98.6999969482,884000.0,93.33984375
2017-03-27,98.8199996948,97.4899978638,98.0599975586,98.6399993896,807600.0,93.2831039429
2017-03-28,99.0400009155,97.75,98.5100021362,98.8399963379,727900.0,93.4722518921
2017-03-29,98.6500015259,98.1200027466,98.6200027466,98.2200012207,500100.0,92.885925293
2017-03-30,98.5699996948,98.0,98.1999969482,98.3700027466,449000.0,93.0277786255
