Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,26.1900005341,25.6100006104,26.1800003052,25.7600002289,1738900,25.7600002289
2017-01-11,26.0200004578,25.5599994659,25.7000007629,25.9899997711,2257100,25.9899997711
2017-01-12,26.7299995422,25.7800006866,25.7800006866,26.6499996185,1448200,26.6499996185
2017-01-13,26.9200000763,26.5400009155,26.75,26.8199996948,1568700,26.8199996948
2017-01-17,27.1900005341,26.6399993896,26.6900005341,27.1399993896,1075400,27.1399993896
2017-01-18,27.5400009155,27.1000003815,27.2099990845,27.3999996185,984300,27.3999996185
2017-01-19,27.5699996948,27.1100006104,27.3600006104,27.3500003815,709800,27.3500003815
2017-01-20,27.5799999237,27.2099990845,27.4699993134,27.3099994659,890100,27.3099994659
2017-01-23,27.6700000763,27.25,27.25,27.5799999237,1246300,27.5799999237
2017-01-24,27.8899993896,27.4200000763,27.5799999237,27.7999992371,817200,27.7999992371
2017-01-25,28.2399997711,26.9500007629,27.8500003815,27.0499992371,2502100,27.0499992371
2017-01-26,27.5499992371,26.9699993134,27.1100006104,27.2800006866,1189500,27.2800006866
2017-01-27,27.6499996185,27.1000003815,27.3999996185,27.4099998474,945400,27.4099998474
2017-01-30,27.5200004578,27.1000003815,27.4099998474,27.3999996185,884900,27.3999996185
2017-01-31,28.0300006866,26.9500007629,27.2999992371,27.7099990845,1595000,27.7099990845
2017-02-01,27.9200000763,27.1100006104,27.7099990845,27.3999996185,1112000,27.3999996185
2017-02-02,27.3999996185,27.0100002289,27.3199996948,27.1599998474,1156600,27.1599998474
2017-02-03,27.5200004578,27.2199993134,27.2399997711,27.4400005341,590800,27.4400005341
2017-02-06,27.5799999237,27.2199993134,27.4200000763,27.2399997711,838700,27.2399997711
2017-02-07,27.3700008392,26.8899993896,27.2299995422,27.25,914100,27.25
2017-02-08,27.25,26.6200008392,27.1399993896,26.7800006866,1326000,26.7800006866
2017-02-09,27.4599990845,26.8700008392,26.8700008392,27.2199993134,1024000,27.2199993134
2017-02-10,27.7199993134,27.1399993896,27.2099990845,27.6499996185,860100,27.6499996185
