Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,34.8448562622,34.0990753174,34.6271095276,34.4801292419,4374400.0,33.9430999756
2017-01-11,34.5400123596,33.8486671448,34.393032074,34.1262931824,4528300.0,33.5947761536
2017-01-12,34.5672302246,34.1371803284,34.414806366,34.2623825073,2735600.0,33.7287521362
2017-01-13,34.354927063,33.7942314148,34.278717041,33.8323364258,2371900.0,33.3054046631
2017-01-17,34.0718574524,33.5764846802,33.7996749878,33.8105621338,5272000.0,33.2839698792
2017-01-18,34.0881881714,33.5002708435,33.5764846802,34.0391960144,3738400.0,33.5090370178
2017-01-19,34.2406082153,33.8268928528,34.0936317444,34.0174179077,2203600.0,33.4875984192
2017-01-20,34.45835495,33.6635818481,34.34948349,34.2188339233,3953900.0,33.6858825684
2017-01-23,34.40391922,33.7452354431,34.0119743347,33.9793128967,3108000.0,33.450088501
2017-01-24,35.0244979858,34.1589546204,34.2079467773,34.8557434082,3156500.0,34.3128700256
2017-01-25,35.1878051758,34.8013076782,34.9537277222,34.9047355652,1768600.0,34.3610992432
2017-01-26,35.683177948,35.0462722778,35.1551437378,35.5307579041,3968400.0,34.9773750305
2017-01-27,35.645072937,34.8775177002,35.2476882935,34.9319534302,2971700.0,34.3878936768
2017-01-30,34.7795333862,33.4839401245,34.5944480896,33.7016868591,3424900.0,33.1767883301
2017-01-31,33.8922157288,32.7708206177,33.5655975342,33.0048980713,5646900.0,32.4908447266
2017-02-01,33.4893836975,32.9395751953,33.4893836975,33.086555481,7377500.0,32.5712356567
2017-02-02,35.0299415588,33.1790962219,34.0010871887,34.7686462402,8958800.0,34.2271270752
2017-02-03,35.5253143311,34.393032074,34.393032074,35.4218826294,6268200.0,34.8701896667
2017-02-06,36.0097999573,34.6924324036,35.3728904724,34.8502998352,3622100.0,34.307510376
2017-02-07,34.9210662842,33.8323364258,34.9156227112,33.9085464478,3830300.0,33.3804244995
2017-02-08,33.8486671448,33.1845397949,33.6145896912,33.5710411072,3113300.0,33.0481719971
2017-02-09,34.9265098572,33.5057144165,34.1317367554,34.7033195496,4729300.0,34.1628189087
2017-02-10,35.579750061,34.4855728149,34.7414245605,35.0299415588,3933200.0,34.4843482971
2017-02-13,34.8666305542,34.0283088684,34.8121948242,34.0391960144,2966500.0,33.5090370178
2017-02-14,34.436580658,33.7942314148,33.9575386047,34.409362793,1908400.0,33.8734397888
2017-02-15,34.9972763062,34.327709198,34.376701355,34.8557434082,2477100.0,34.3428192139
2017-02-16,34.8775177002,33.8486671448,34.7849769592,33.8867721558,3059500.0,33.3880958557
2017-02-17,34.414806366,33.5220451355,33.7016868591,33.7887878418,1948100.0,33.2915534973
2017-02-21,34.1698417664,33.0103416443,33.6309204102,33.9738693237,3757200.0,33.4739112854
2017-02-22,34.0773010254,32.9069137573,33.6907997131,32.9613494873,4113700.0,32.4762916565
2017-02-23,33.6200332642,32.8089294434,33.4948272705,33.091999054,2795700.0,32.6050186157
2017-02-24,33.4567222595,32.4986381531,33.086555481,32.6292877197,2801000.0,32.1491203308
2017-02-27,33.1301040649,32.4224281311,32.5530738831,32.9831237793,2995700.0,32.4977455139
2017-02-28,32.9232444763,32.4224281311,32.9123573303,32.6020698547,2372100.0,32.1222953796
2017-03-01,33.4458351135,32.7817077637,33.059337616,33.2226448059,2706600.0,32.7337417603
2017-03-02,33.4676094055,32.8851394653,33.0157852173,33.064781189,2940600.0,32.5781974792
2017-03-03,33.2879676819,32.1937942505,33.0048980713,32.2754478455,2991700.0,31.8004817963
2017-03-06,33.1083297729,32.3298873901,32.7327156067,32.7109413147,5336100.0,32.2295684814
2017-03-07,32.9885673523,31.9270553589,32.7490463257,32.0032653809,3211600.0,31.5323066711
2017-03-08,32.5530738831,31.4915618896,32.0849227905,31.556886673,3585000.0,31.0924987793
