Date,High,Low,Open,Close,Volume,Adj Close
2018-01-04,76.3199996948,75.0800018311,75.8899993896,76.0800018311,3532487.0,76.0800018311
2018-03-05,75.5899963379,74.2200012207,74.3000030518,74.7600021362,3699342.0,74.7600021362
2018-03-13,78.7300033569,76.7099990845,78.5199966431,77.0,7995743.0,77.0
2018-03-14,77.5400009155,75.9000015259,77.2399978638,76.6999969482,8366125.0,76.6999969482
2018-03-15,77.0299987793,76.0,76.6200027466,76.3300018311,4027654.0,76.3300018311
2018-03-16,76.9100036621,75.8850021362,76.8499984741,76.0199966431,5624840.0,76.0199966431
2018-03-19,75.8499984741,72.8799972534,75.7799987793,72.9899978638,7891936.0,72.9899978638
2018-03-20,73.8600006104,72.2099990845,73.5299987793,72.4199981689,6355985.0,72.4199981689
2018-03-21,72.8199996948,71.5699996948,72.1999969482,71.6800003052,5994907.0,71.6800003052
2018-03-22,71.9800033569,70.3600006104,71.1800003052,70.4700012207,4631776.0,70.4700012207
2018-03-23,71.1399993896,69.7699966431,70.5500030518,70.1600036621,5224477.0,70.1600036621
2018-03-26,71.8799972534,69.2203979492,70.6600036621,71.6999969482,7627677.0,71.6999969482
2018-03-27,72.5199966431,69.9400024414,71.9300003052,70.3700027466,6231604.0,70.3700027466
2018-03-28,70.9499969482,69.6999969482,70.5599975586,69.7300033569,5565354.0,69.7300033569
2018-03-29,70.4899978638,69.0049972534,70.2099990845,69.0800018311,4558988.0,69.0800018311
2018-04-02,68.9385986328,66.9300003052,68.8899993896,67.8700027466,4445157.0,67.8700027466
2018-04-03,69.8300018311,67.3399963379,68.1800003052,69.0100021362,2920836.0,69.0100021362
2018-04-04,71.0199966431,68.0500030518,68.4000015259,70.0400009155,6806653.0,70.0400009155
2018-04-05,70.6399993896,69.0199966431,70.2799987793,69.1800003052,3209202.0,69.1800003052
2018-04-06,69.2900009155,67.3700027466,68.6900024414,67.8799972534,3195176.0,67.8799972534
2018-04-09,69.5,67.75,68.2300033569,68.0299987793,4428888.0,68.0299987793
2018-04-10,70.1900024414,68.4000015259,68.5999984741,69.8199996948,3692462.0,69.8199996948
2018-04-11,70.0299987793,69.0,69.2600021362,69.7200012207,2868636.0,69.7200012207
