Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,67.5400009155,66.7699966431,67.2099990845,67.2099990845,2214500.0,61.2843132019
2017-01-11,68.4899978638,66.7699966431,66.9499969482,68.4599990845,2126400.0,62.4241027832
2017-01-12,68.4000015259,67.1500015259,68.3899993896,68.1999969482,1357100.0,62.1870155334
2017-01-13,68.9400024414,68.3499984741,68.3600006104,68.6600036621,1264700.0,62.6064720154
2017-01-17,68.3600006104,67.2799987793,68.3399963379,67.5599975586,1697700.0,61.6034507751
2017-01-18,68.0,67.4000015259,67.6900024414,67.8000030518,1651300.0,61.8222923279
2017-01-19,68.4899978638,67.2799987793,68.1299972534,67.7300033569,1431100.0,61.7584609985
2017-01-20,68.5,67.5699996948,68.0199966431,67.9300003052,1559900.0,61.9408302307
2017-01-23,68.1600036621,66.9800033569,67.9199981689,67.7399978638,1195900.0,61.7675743103
2017-01-24,69.3199996948,67.75,68.0500030518,69.1699981689,2044400.0,63.0715065002
2017-01-25,71.2799987793,69.6399993896,69.6399993896,71.1800003052,3278100.0,64.9042892456
2017-01-26,71.6800003052,70.3300018311,70.8199996948,71.3099975586,2249900.0,65.0228118896
2017-01-27,71.3899993896,70.8099975586,71.1299972534,70.9499969482,1899800.0,64.6945571899
2017-01-30,71.0199966431,69.6800003052,71.0199966431,70.4100036621,2034900.0,64.2021865845
2017-01-31,70.9100036621,69.4700012207,70.0899963379,70.7799987793,3016700.0,64.5395507812
2017-02-01,71.7099990845,70.2799987793,70.9700012207,71.3099975586,3919500.0,65.0228118896
2017-02-02,72.0,69.4100036621,70.6900024414,70.0199966431,4690700.0,63.8465576172
2017-02-03,70.7300033569,69.6100006104,70.3300018311,70.2200012207,2946200.0,64.0289230347
2017-02-06,70.3099975586,69.4599990845,70.1100006104,69.9800033569,2548200.0,63.8100891113
2017-02-07,71.0999984741,70.1299972534,70.3300018311,70.2399978638,2221400.0,64.0471572876
2017-02-08,70.2399978638,69.4499969482,70.0199966431,69.9700012207,2304700.0,63.8009719849
2017-02-09,71.2699966431,69.9700012207,69.9700012207,70.7900009155,2204400.0,64.5486755371
2017-02-10,71.1699981689,70.8000030518,71.0299987793,71.0,1946100.0,64.7401657104
2017-02-13,72.2600021362,71.3099975586,71.3099975586,72.1999969482,2537100.0,65.8343505859
2017-02-14,72.1900024414,71.5800018311,72.0,72.0100021362,2083900.0,65.6611099243
2017-02-15,72.2799987793,71.6800003052,72.0599975586,72.0999984741,1971800.0,65.7431716919
2017-02-16,72.2399978638,71.2399978638,72.0400009155,71.7799987793,2081000.0,65.4513931274
2017-02-17,71.6299972534,70.8899993896,71.5400009155,71.6299972534,2356700.0,65.3146057129
2017-02-21,72.1500015259,71.5800018311,71.6399993896,71.8899993896,1903500.0,65.5516967773
2017-02-22,72.7399978638,71.5199966431,71.6800003052,72.5,2315200.0,66.1079101562
2017-02-23,72.9199981689,71.75,72.8199996948,72.1200027466,2237900.0,65.7613983154
2017-02-24,72.3899993896,71.1299972534,71.5400009155,72.3899993896,2528800.0,66.007598877
2017-02-27,72.6999969482,72.1200027466,72.2099990845,72.3499984741,2287700.0,65.9711303711
2017-02-28,72.5899963379,71.7099990845,72.3499984741,71.9800033569,2504200.0,65.6337432861
2017-03-01,73.8600006104,72.8099975586,72.8099975586,73.2399978638,2653600.0,66.7826690674
2017-03-02,72.7399978638,71.7799987793,72.6699981689,72.1100006104,2236600.0,66.2954025269
2017-03-03,72.4400024414,71.4000015259,72.2300033569,71.9300003052,2024900.0,66.1299057007
2017-03-06,72.1200027466,71.0800018311,71.2200012207,71.8399963379,2711700.0,66.047164917
2017-03-07,72.0,71.4400024414,71.6399993896,71.5400009155,1391900.0,65.7713623047
2017-03-08,72.3399963379,71.5199966431,71.5999984741,71.8300018311,2008700.0,66.0379943848
2017-03-09,72.1200027466,71.2300033569,71.7200012207,71.5999984741,2473200.0,65.8265304565
2017-03-10,72.5899963379,72.0,72.0400009155,72.4899978638,2131100.0,66.6447525024
2017-03-13,72.9800033569,72.3600006104,72.6699981689,72.75,1832600.0,66.8837966919
2017-03-14,72.3300018311,71.4800033569,72.1999969482,71.8199996948,1394800.0,66.0287780762
