Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,189.899993896,188.350006104,189.059997559,188.419998169,1358100.0,183.417999268
2017-01-11,189.440002441,188.0,188.25,189.240005493,1045300.0,184.216247559
2017-01-12,188.869995117,186.339996338,188.660003662,187.380004883,1177900.0,182.405639648
2017-01-13,188.699996948,186.679992676,187.789993286,187.009994507,1140600.0,182.045425415
2017-01-17,186.740005493,184.440002441,186.119995117,186.050003052,1343800.0,181.110931396
2017-01-18,187.979995728,185.75,186.440002441,187.229995728,903000.0,182.259597778
2017-01-19,188.100006104,185.679992676,187.270004272,186.169998169,1061300.0,181.227752686
2017-01-20,187.0,184.369995117,186.020004272,185.729995728,2192900.0,180.799407959
2017-01-23,186.710006714,184.300003052,185.809997559,185.460006714,1070500.0,180.536575317
2017-01-24,191.990005493,185.509994507,185.509994507,191.61000061,2138500.0,186.523330688
2017-01-25,194.020004272,190.61000061,191.600006104,192.949996948,1807000.0,187.82774353
2017-01-26,192.940002441,191.13999939,192.309997559,192.580001831,1067600.0,187.467559814
2017-01-27,196.419998169,191.800003052,192.770004272,195.919998169,1991400.0,190.718887329
2017-01-30,195.479995728,191.179992676,195.479995728,193.25,2304100.0,188.119812012
2017-01-31,190.479995728,186.160003662,190.279998779,189.11000061,2952300.0,184.089691162
2017-02-01,189.300003052,184.710006714,189.279998779,186.270004272,2076100.0,181.32510376
2017-02-02,186.919998169,183.869995117,186.119995117,184.61000061,1461900.0,179.709152222
2017-02-03,188.940002441,185.38999939,186.089996338,188.210006714,1356300.0,183.213607788
2017-02-06,190.75,187.729995728,190.429992676,188.199996948,1352500.0,183.203826904
2017-02-07,188.669998169,187.190002441,188.199996948,188.020004272,1158500.0,183.028610229
2017-02-08,188.279998779,186.809997559,187.75,187.960006714,955600.0,182.970245361
2017-02-09,190.119995117,187.830001831,187.960006714,188.570007324,1347800.0,183.564041138
2017-02-10,191.0,188.309997559,188.779998779,190.86000061,1188300.0,185.793273926
2017-02-13,193.149993896,190.630004883,191.050003052,192.570007324,1068300.0,187.457855225
2017-02-14,193.070007324,191.330001831,192.089996338,192.460006714,945300.0,187.350769043
2017-02-15,194.789993286,192.220001221,192.770004272,194.669998169,1308700.0,189.502120972
2017-02-16,194.720001221,192.160003662,194.380004883,193.350006104,1143800.0,188.21711731
2017-02-17,193.699996948,192.300003052,192.800003052,193.699996948,808100.0,188.557861328
2017-02-21,195.570007324,193.759994507,194.369995117,195.36000061,1269600.0,190.173782349
2017-02-22,194.5,192.61000061,194.419998169,193.830001831,2126100.0,188.684402466
2017-02-23,194.5,190.710006714,194.0,191.179992676,1806500.0,186.104736328
2017-02-24,193.11000061,190.119995117,190.740005493,193.11000061,2209900.0,187.983535767
2017-02-27,194.429992676,191.770004272,192.970001221,194.369995117,1777000.0,189.21005249
2017-02-28,195.399993896,192.910003662,194.470001221,192.979995728,1788200.0,187.856948853
2017-03-01,198.600006104,194.88999939,194.88999939,197.419998169,2212700.0,192.179092407
2017-03-02,196.990005493,194.229995728,196.979995728,194.710006714,1786400.0,189.541046143
2017-03-03,195.289993286,193.960006714,194.539993286,194.350006104,819900.0,189.190597534
2017-03-06,195.429992676,193.339996338,194.0,193.949996948,925100.0,188.801208496
2017-03-07,194.600006104,192.369995117,193.850006104,192.910003662,1217600.0,187.788833618
2017-03-08,193.839996338,192.039993286,193.11000061,192.919998169,1206800.0,187.798553467
2017-03-09,192.899993896,189.899993896,192.699996948,191.309997559,1406200.0,186.618225098
2017-03-10,193.36000061,190.38999939,192.449996948,192.149993896,1226600.0,187.43762207
2017-03-13,193.240005493,191.38999939,191.869995117,193.119995117,1283000.0,188.383834839
2017-03-14,193.029998779,190.979995728,192.899993896,191.380004883,1352200.0,186.686508179
2017-03-15,194.259994507,191.5,191.949996948,193.259994507,1412100.0,188.52041626
2017-03-16,194.0,192.440002441,193.38999939,193.11000061,1244000.0,188.374099731
2017-03-17,196.089996338,192.380004883,193.88999939,194.589996338,2390700.0,189.8177948
2017-03-20,195.509994507,192.179992676,195.050003052,192.270004272,2189300.0,187.5546875
2017-03-21,193.86000061,191.679992676,193.089996338,191.839996338,3352300.0,187.135223389
2017-03-22,197.479995728,192.5,195.669998169,195.919998169,6132700.0,191.11517334
2017-03-23,195.13999939,189.100006104,195.0,189.190002441,3489800.0,184.550231934
2017-03-24,190.309997559,187.229995728,189.339996338,188.119995117,2862300.0,183.506469727
2017-03-27,187.619995117,184.300003052,186.789993286,187.039993286,2405900.0,182.452957153
2017-03-28,190.490005493,187.0,187.0,189.88999939,1675600.0,185.233062744
2017-03-29,191.660003662,189.149993896,189.440002441,190.919998169,1648300.0,186.237808228
2017-03-30,194.339996338,191.679992676,192.5,194.169998169,1890800.0,189.408081055
2017-03-31,196.229995728,193.220001221,193.949996948,195.149993896,2175500.0,190.364044189
2017-04-03,197.199996948,194.399993896,195.86000061,195.36000061,1796500.0,190.568893433
2017-04-04,196.580001831,194.649993896,195.059997559,196.270004272,1866400.0,191.456604004
2017-04-05,199.169998169,195.5,197.0,195.850006104,1651300.0,191.046905518
2017-04-06,197.259994507,195.63999939,196.0,195.990005493,1410500.0,191.183456421
2017-04-07,196.880004883,195.369995117,195.539993286,195.649993896,1612000.0,190.851806641
2017-04-10,197.229995728,195.229995728,196.130004883,195.759994507,1152400.0,190.959091187
2017-04-11,195.130004883,192.679992676,195.050003052,192.990005493,2393500.0,188.257019043
2017-04-12,193.229995728,186.149993896,193.119995117,186.309997559,3427400.0,181.740844727
2017-04-13,186.800003052,183.710006714,186.490005493,183.729995728,2691600.0,179.224121094
2017-04-17,185.899993896,183.070007324,184.369995117,185.539993286,2372600.0,180.989730835
2017-04-18,185.779998779,183.550003052,184.86000061,183.61000061,1525900.0,179.107055664
2017-04-19,186.070007324,182.88999939,185.13999939,183.559997559,1567300.0,179.058303833
2017-04-20,186.949996948,183.789993286,184.63999939,186.479995728,1672200.0,181.906677246
2017-04-21,187.649993896,185.199996948,186.979995728,185.279998779,1725000.0,180.736099243
2017-04-24,188.660003662,187.309997559,187.5,188.559997559,1533400.0,183.935653687
2017-04-25,190.589996338,188.600006104,189.199996948,188.970001221,1472600.0,184.335617065
2017-04-26,191.059997559,188.630004883,189.059997559,189.580001831,1598000.0,184.930664062
2017-04-27,192.369995117,188.740005493,190.0,191.710006714,2119500.0,187.008453369
2017-04-28,192.320007324,188.770004272,192.089996338,189.699996948,1377500.0,185.047714233
2017-05-01,190.289993286,188.160003662,189.910003662,188.229995728,1349700.0,183.61378479
2017-05-02,189.740005493,188.240005493,188.649993896,189.029998779,1159500.0,184.394134521
2017-05-03,190.119995117,188.449996948,189.039993286,189.919998169,805000.0,185.26234436
2017-05-04,191.229995728,189.880004883,190.369995117,191.190002441,1361500.0,186.501190186
2017-05-05,192.800003052,190.729995728,191.509994507,192.419998169,1116500.0,187.701019287
2017-05-08,192.119995117,190.820007324,192.119995117,191.11000061,1054700.0,186.423141479
2017-05-09,191.619995117,189.63999939,191.36000061,190.789993286,1129500.0,186.110977173
2017-05-10,191.0,189.009994507,190.539993286,189.75,971000.0,185.096496582
2017-05-11,191.160003662,187.940002441,189.13999939,190.839996338,1328700.0,186.159759521
2017-05-12,192.070007324,189.779998779,189.779998779,191.660003662,1352300.0,186.959640503
2017-05-15,195.940002441,191.270004272,191.880004883,194.759994507,2088500.0,189.983612061
2017-05-16,195.25,194.029998779,194.839996338,194.13999939,1069200.0,189.378845215
2017-05-17,194.13999939,187.070007324,194.13999939,187.490005493,2284400.0,182.891921997
2017-05-18,190.740005493,186.0,188.5,188.729995728,1604700.0,184.101486206
2017-05-19,191.190002441,188.75,189.300003052,189.369995117,1308100.0,184.725799561
2017-05-22,191.899993896,189.440002441,190.38999939,191.649993896,1083800.0,186.949890137
2017-05-23,193.309997559,190.929992676,191.679992676,193.059997559,907000.0,188.325317383
2017-05-24,193.899993896,192.600006104,193.429992676,193.270004272,715800.0,188.530166626
2017-05-25,194.940002441,192.929992676,193.699996948,194.809997559,1357600.0,190.03237915
2017-05-26,194.940002441,193.580001831,193.770004272,194.259994507,758000.0,189.495864868
2017-05-30,194.979995728,192.679992676,193.820007324,193.880004883,1083500.0,189.125198364
2017-05-31,194.300003052,191.929992676,194.279998779,193.839996338,1303100.0,189.086196899
2017-06-01,198.75,193.940002441,194.580001831,198.36000061,1420100.0,193.495330811
2017-06-02,204.88999939,198.850006104,199.039993286,203.11000061,3027100.0,198.128829956
2017-06-05,204.399993896,202.059997559,202.669998169,202.25,1721000.0,197.289916992
2017-06-06,204.910003662,200.839996338,201.289993286,203.169998169,2120100.0,198.187362671
2017-06-07,206.309997559,202.419998169,203.300003052,206.149993896,2175700.0,201.094284058
2017-06-08,206.929992676,204.300003052,206.149993896,205.839996338,1975200.0,200.791900635
2017-06-09,207.11000061,204.949996948,205.88999939,206.399993896,1511100.0,201.338150024
2017-06-12,209.350006104,205.259994507,206.13999939,209.119995117,1841300.0,203.991455078
2017-06-13,210.649993896,208.449996948,209.899993896,209.419998169,1210800.0,204.284103394
2017-06-14,210.119995117,207.690002441,210.119995117,208.899993896,1110300.0,203.77684021
2017-06-15,210.820007324,207.759994507,207.839996338,210.449996948,1281100.0,205.288818359
2017-06-16,211.880004883,209.570007324,210.850006104,210.5,1842200.0,205.337600708
2017-06-19,211.419998169,208.600006104,211.229995728,210.949996948,2318000.0,205.776565552
2017-06-20,211.0,208.949996948,210.440002441,208.949996948,2344600.0,204.309890747
2017-06-21,213.86000061,205.5,208.0,212.300003052,3534300.0,207.585510254
2017-06-22,212.669998169,208.61000061,209.800003052,211.630004883,2027300.0,206.930374146
2017-06-23,216.960006714,211.259994507,211.38999939,215.350006104,2547200.0,210.567764282
2017-06-26,217.289993286,215.0,216.38999939,215.36000061,1246600.0,210.577545166
2017-06-27,216.130004883,214.289993286,215.029998779,214.330001831,1541500.0,209.570419312
2017-06-28,217.330001831,215.289993286,216.190002441,217.149993896,1463300.0,212.327789307
2017-06-29,217.0,215.0,217.0,215.229995728,1574000.0,210.450408936
2017-06-30,218.36000061,216.059997559,216.479995728,217.330001831,1412800.0,212.50378418
2017-07-03,219.279998779,217.380004883,218.490005493,217.380004883,991600.0,212.55267334
2017-07-05,219.36000061,217.029998779,217.399993896,218.309997559,1169200.0,213.462020874
2017-07-06,218.0,214.63999939,217.300003052,215.029998779,1501100.0,210.254882812
2017-07-07,218.990005493,215.38999939,216.270004272,218.509994507,1069200.0,213.657608032
2017-07-10,219.990005493,217.710006714,218.0,218.869995117,1018200.0,214.009597778
2017-07-11,219.259994507,216.36000061,219.089996338,217.539993286,1164900.0,212.709136963
2017-07-12,219.25,217.869995117,218.869995117,218.320007324,1031600.0,213.471832275
2017-07-13,218.539993286,217.210006714,218.36000061,217.970001221,977800.0,213.129592896
2017-07-14,219.449996948,216.88999939,217.25,219.059997559,1000100.0,214.195373535
2017-07-17,216.470001221,211.529998779,215.25,215.479995728,2838900.0,210.694869995
2017-07-18,215.160003662,210.949996948,215.160003662,211.039993286,2231000.0,206.35345459
2017-07-19,212.949996948,210.100006104,211.130004883,212.880004883,2616200.0,208.152618408
2017-07-20,213.470001221,211.339996338,213.199996948,211.880004883,1975900.0,207.174819946
2017-07-21,212.61000061,209.710006714,210.800003052,212.509994507,1235700.0,207.790817261
2017-07-24,213.399993896,211.630004883,212.089996338,212.679992676,1035900.0,207.957046509
2017-07-25,215.589996338,213.649993896,213.779998779,214.369995117,898300.0,209.609512329
