Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,52.0800018311,50.9199981689,51.1500015259,51.0299987793,1907100.0,48.693649292
2016-12-13,51.5499992371,50.2400016785,51.4500007629,50.5600013733,1370500.0,48.2451629639
2016-12-14,51.1500015259,49.0699996948,50.4300003052,49.2400016785,1353300.0,46.9856071472
2016-12-15,49.4700012207,48.5999984741,49.0800018311,48.9700012207,1677200.0,46.7279624939
2016-12-16,49.2999992371,48.1199989319,49.0400009155,48.2000007629,1745000.0,45.9932174683
2016-12-19,48.5499992371,47.6399993896,48.2200012207,48.4900016785,656200.0,46.2699432373
2016-12-20,49.2099990845,48.3899993896,48.7299995422,49.0699996948,739200.0,46.8233833313
2016-12-21,49.6800003052,48.7400016785,49.1500015259,49.3800010681,1186300.0,47.1191902161
2016-12-22,49.4900016785,49.0699996948,49.3699989319,49.1599998474,822800.0,46.9092636108
2016-12-23,49.3100013733,48.7799987793,49.1100006104,48.8199996948,431700.0,46.5848236084
2016-12-27,49.5999984741,48.9199981689,48.9900016785,49.4399986267,974300.0,47.1764450073
2016-12-28,49.8199996948,48.4900016785,49.4099998474,48.5099983215,757600.0,46.289024353
2016-12-29,48.6800003052,47.8100013733,48.4199981689,48.0499992371,464300.0,46.0303764343
2016-12-30,48.3800010681,47.7999992371,48.2700004578,48.0499992371,497400.0,46.0303764343
2017-01-03,49.4700012207,48.4099998474,48.6100006104,49.0099983215,990400.0,46.9500236511
2017-01-04,49.6300010681,49.0800018311,49.25,49.5600013733,593400.0,47.4769058228
2017-01-05,50.0,48.4700012207,49.3800010681,48.6500015259,1176100.0,46.6051559448
2017-01-06,49.1500015259,48.2599983215,48.8800010681,48.8600006104,972700.0,46.8063278198
2017-01-09,48.8899993896,48.0999984741,48.4000015259,48.5099983215,741100.0,46.4710426331
2017-01-10,49.1500015259,48.2999992371,48.7200012207,49.0099983215,510900.0,46.9500236511
2017-01-11,49.7099990845,48.7999992371,49.1699981689,49.6300010681,869700.0,47.543964386
2017-01-12,49.6500015259,48.3100013733,49.6500015259,49.3100013733,1257000.0,47.2374191284
2017-01-13,50.2200012207,49.3100013733,49.3100013733,49.7599983215,684600.0,47.6684989929
2017-01-17,50.0600013733,49.1500015259,49.5699996948,49.5299987793,1108800.0,47.4481697083
2017-01-18,49.9700012207,49.1899986267,49.4900016785,49.8600006104,638600.0,47.7642974854
2017-01-19,50.6899986267,49.7099990845,50.0400009155,50.3300018311,875300.0,48.2145462036
2017-01-20,51.0800018311,50.0900001526,50.6699981689,50.2599983215,1284400.0,48.1474761963
2017-01-23,50.7099990845,49.5200004578,50.5900001526,50.0,874700.0,47.8984031677
2017-01-24,51.1599998474,50.1500015259,50.3699989319,50.9500007629,1359900.0,48.8084869385
2017-01-25,51.8899993896,50.9500007629,51.0999984741,51.8499984741,1469700.0,49.6706504822
2017-01-26,52.0999984741,51.2200012207,51.8100013733,51.5400009155,1447800.0,49.3736801147
2017-01-27,51.6699981689,51.2299995422,51.4399986267,51.4399986267,1159300.0,49.277885437
2017-01-30,51.3800010681,49.9300003052,51.3800010681,50.4799995422,1238100.0,48.3582382202
2017-01-31,50.3100013733,48.8300018311,50.2299995422,49.1599998474,1748200.0,47.0937156677
2017-02-01,49.8600006104,48.8100013733,49.2900009155,49.2700004578,1102300.0,47.1990852356
2017-02-02,49.0999984741,47.9599990845,48.9500007629,48.1899986267,2063100.0,46.1644935608
2017-02-03,48.8600006104,48.2200012207,48.6100006104,48.6500015259,1740000.0,46.6051559448
2017-02-06,48.9000015259,47.9799995422,48.3699989319,48.3600006104,949900.0,46.3273429871
2017-02-07,49.6500015259,48.5,48.6199989319,49.5900001526,1881200.0,47.5056419373
2017-02-08,51.1699981689,49.0200004578,49.3199996948,50.6300010681,2829600.0,48.5019340515
2017-02-09,51.25,50.5600013733,50.8699989319,50.6800003052,1463400.0,48.5498275757
2017-02-10,51.2000007629,50.6800003052,50.9500007629,50.9599990845,2306200.0,48.8180618286
2017-02-13,51.8199996948,51.2000007629,51.2000007629,51.5,1410600.0,49.3353652954
2017-02-14,51.5200004578,50.7900009155,51.2000007629,50.9300003052,1719600.0,48.7893218994
2017-02-15,51.25,50.6300010681,50.7900009155,51.2000007629,2007700.0,49.0479736328
2017-02-16,51.5800018311,50.5299987793,51.3499984741,50.8100013733,2255300.0,48.674369812
2017-02-17,50.0299987793,48.1800003052,48.5,48.3699989319,5094000.0,46.3369255066
2017-02-21,49.2099990845,48.1500015259,48.2000007629,48.3800010681,2124100.0,46.3465042114
2017-02-22,48.75,47.9199981689,48.1100006104,48.6500015259,1984700.0,46.6051559448
2017-02-23,49.0699996948,46.7200012207,48.8899993896,46.7799987793,2350500.0,44.8137550354
2017-02-24,47.7299995422,46.0,46.3499984741,47.7200012207,2410700.0,45.7142486572
2017-02-27,48.0200004578,47.2700004578,47.6599998474,47.9399986267,1061300.0,45.9249954224
2017-02-28,47.9700012207,46.3199996948,47.7799987793,46.4500007629,1587100.0,44.4976234436
2017-03-01,48.3800010681,47.2000007629,47.2000007629,48.0900001526,1465100.0,46.068687439
2017-03-02,48.1599998474,46.9300003052,47.9500007629,47.0299987793,1682800.0,45.0532455444
2017-03-03,47.2799987793,46.3699989319,47.0900001526,46.5200004578,1005400.0,44.5646820068
2017-03-06,46.4300003052,45.9399986267,46.0400009155,46.1500015259,1071100.0,44.2102394104
2017-03-07,46.4900016785,45.8800010681,46.2200012207,46.0,1186700.0,44.0665359497
2017-03-08,46.3699989319,45.7999992371,46.0699996948,45.9700012207,2219500.0,44.0377998352
2017-03-09,45.9399986267,44.7799987793,45.8499984741,45.2200012207,2575700.0,43.3193244934
2017-03-10,46.1300010681,45.5,45.5299987793,46.0,1398600.0,44.0665359497
2017-03-13,46.6300010681,45.8800010681,46.0499992371,46.2200012207,1020900.0,44.2772903442
2017-03-14,45.9199981689,44.7099990845,45.7599983215,45.4900016785,1811700.0,43.5779762268
2017-03-15,47.5099983215,45.9500007629,46.3100013733,47.1800003052,1726200.0,45.1969413757
2017-03-16,47.5200004578,46.4900016785,47.2799987793,46.9199981689,1103100.0,44.9478683472
2017-03-17,47.1300010681,46.5099983215,47.0400009155,46.9900016785,1332500.0,45.0149269104
2017-03-20,47.0099983215,46.4900016785,46.9799995422,46.7799987793,873400.0,44.8137550354
2017-03-21,47.1599998474,45.7000007629,46.9799995422,45.8100013733,1225400.0,43.8845252991
2017-03-22,46.1800003052,45.3600006104,45.3899993896,45.9500007629,1633100.0,44.2019729614
2017-03-23,46.3600006104,45.7700004578,45.9099998474,46.0800018311,879500.0,44.3270225525
2017-03-24,46.5400009155,45.4199981689,46.2099990845,45.6500015259,1011300.0,43.9133872986
2017-03-27,47.1500015259,44.8800010681,45.6500015259,46.9700012207,1807700.0,45.1831703186
2017-03-28,47.5200004578,46.7599983215,46.8800010681,47.1800003052,1332600.0,45.385181427
2017-03-29,47.6399993896,46.9900016785,47.0400009155,47.4000015259,812000.0,45.5968132019
2017-03-30,48.3699989319,47.2599983215,47.4099998474,48.0,1632200.0,46.1739845276
2017-03-31,48.5999984741,47.7099990845,47.75,48.4199981689,1395300.0,46.5780029297
2017-04-03,48.7000007629,47.4799995422,48.4199981689,48.1500015259,1622600.0,46.3182830811
2017-04-04,48.2200012207,47.6800003052,48.1800003052,47.8300018311,1488000.0,46.0104522705
2017-04-05,49.1100006104,47.6599998474,48.2700004578,47.6899986267,1109300.0,45.8757781982
2017-04-06,49.0299987793,47.6599998474,47.8199996948,48.7900009155,1470600.0,46.9339332581
2017-04-07,49.0800018311,48.2900009155,48.6300010681,48.6399993896,1014700.0,46.789642334
2017-04-10,49.4199981689,48.5,48.8400001526,49.2000007629,1036400.0,47.328338623
2017-04-11,49.2799987793,48.5800018311,49.2000007629,49.1599998474,945300.0,47.2898521423
2017-04-12,48.7400016785,47.5900001526,48.5400009155,47.7200012207,1373500.0,45.9046401978
2017-04-13,47.8800010681,46.9099998474,47.6300010681,47.0,962800.0,45.2120246887
2017-04-17,47.9599990845,47.0200004578,47.3300018311,47.9399986267,1164800.0,46.1162643433
2017-04-18,47.8800010681,47.3600006104,47.4700012207,47.7000007629,1010800.0,45.88539505
2017-04-19,49.2799987793,47.9300003052,48.3600006104,48.0800018311,1534100.0,46.2509422302
2017-04-20,49.4300003052,48.4700012207,48.5,49.1699981689,940200.0,47.2994728088
2017-04-21,49.3499984741,48.5499992371,49.3199996948,48.6599998474,1086300.0,46.8088722229
2017-04-24,49.8499984741,49.0200004578,49.5,49.3499984741,834400.0,47.4726295471
2017-04-25,50.7700004578,49.8400001526,49.8400001526,50.5999984741,1326500.0,48.6750717163
2017-04-26,51.6199989319,50.5299987793,50.5299987793,51.1399993896,1618300.0,49.1945304871
2017-04-27,51.4300003052,50.7000007629,51.0900001526,50.7799987793,993200.0,48.8482284546
