Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,201.899993896,200.190002441,200.509994507,201.089996338,1122100.0,191.458572388
2017-05-26,202.580001831,200.850006104,201.089996338,202.240005493,751100.0,192.553497314
2017-05-30,202.649993896,200.949996948,202.190002441,202.009994507,921100.0,192.334503174
2017-05-31,203.279998779,201.580001831,202.369995117,203.25,1488800.0,193.51512146
2017-06-01,203.470001221,201.880004883,203.160003662,202.520004272,1293500.0,192.820114136
2017-06-02,205.070007324,202.580001831,202.699996948,203.699996948,917400.0,193.943572998
2017-06-05,203.479995728,201.339996338,203.369995117,201.470001221,902000.0,191.820358276
2017-06-06,201.240005493,198.300003052,200.929992676,198.440002441,1192700.0,188.935516357
2017-06-07,199.020004272,197.729995728,198.850006104,198.869995117,938600.0,189.344909668
2017-06-08,199.830001831,197.589996338,198.869995117,199.63999939,996500.0,190.078018188
2017-06-09,200.740005493,198.440002441,199.63999939,199.470001221,1056500.0,189.916168213
2017-06-12,200.059997559,197.029998779,199.470001221,198.399993896,1858300.0,188.897415161
2017-06-13,200.929992676,198.119995117,198.399993896,200.550003052,1263500.0,190.944442749
2017-06-14,202.449996948,200.350006104,200.550003052,201.279998779,934600.0,191.639480591
2017-06-15,202.270004272,199.240005493,199.770004272,202.029998779,827500.0,192.353530884
2017-06-16,203.300003052,201.660003662,202.369995117,202.669998169,1391500.0,192.962905884
2017-06-19,204.740005493,203.0,203.410003662,204.520004272,1066100.0,194.724304199
2017-06-20,205.169998169,203.759994507,203.759994507,203.86000061,838400.0,194.095932007
2017-06-21,204.880004883,203.5,204.399993896,203.88999939,669700.0,194.124465942
2017-06-22,203.979995728,201.190002441,203.789993286,201.259994507,907800.0,191.620452881
2017-06-23,202.419998169,200.809997559,201.229995728,201.320007324,1203300.0,191.67755127
2017-06-26,202.330001831,200.130004883,201.770004272,200.199996948,676900.0,190.611206055
2017-06-27,200.36000061,198.830001831,200.11000061,198.839996338,713800.0,189.316345215
2017-06-28,201.419998169,199.330001831,199.820007324,200.830001831,787100.0,191.211029053
2017-06-29,201.070007324,196.130004883,200.990005493,196.960006714,1423000.0,187.526382446
2017-06-30,199.210006714,196.259994507,197.75,198.100006104,944700.0,188.611785889
2017-07-03,200.550003052,198.13999939,199.419998169,199.660003662,750600.0,190.097061157
2017-07-05,201.210006714,198.949996948,199.029998779,200.740005493,1152300.0,191.932830811
2017-07-06,201.070007324,198.789993286,200.699996948,199.020004272,799700.0,190.288299561
2017-07-07,202.179992676,199.119995117,199.5,201.259994507,1300600.0,192.430038452
2017-07-10,202.240005493,200.210006714,201.220001221,201.070007324,1028600.0,192.24836731
2017-07-11,201.009994507,198.75,200.800003052,199.910003662,1139400.0,191.139251709
2017-07-12,202.470001221,199.869995117,201.320007324,201.11000061,1404100.0,192.286590576
2017-07-13,201.470001221,199.970001221,201.190002441,200.149993896,778900.0,191.368728638
2017-07-14,201.679992676,200.059997559,200.279998779,201.149993896,1032700.0,192.324829102
2017-07-17,201.419998169,199.5,201.080001831,200.13999939,1150800.0,191.359146118
2017-07-18,201.669998169,199.279998779,200.25,201.419998169,1128900.0,192.583007812
2017-07-19,202.460006714,201.25,202.0,202.339996338,739800.0,193.462631226
2017-07-20,203.190002441,202.0,202.509994507,202.399993896,1064400.0,193.519989014
2017-07-21,204.550003052,201.830001831,202.11000061,204.550003052,992900.0,195.575668335
2017-07-24,205.509994507,204.130004883,204.550003052,204.929992676,1073400.0,195.938964844
2017-07-25,205.899993896,202.910003662,205.660003662,203.559997559,1209100.0,194.629104614
2017-07-26,199.369995117,193.570007324,199.100006104,194.660003662,4079700.0,186.119567871
2017-07-27,195.929992676,192.839996338,195.729995728,193.839996338,2265700.0,185.33555603
2017-07-28,198.070007324,194.039993286,194.050003052,197.940002441,1785800.0,189.255691528
2017-07-31,198.589996338,196.080001831,198.580001831,196.330001831,1470400.0,187.716308594
2017-08-01,196.979995728,193.899993896,196.960006714,196.529998779,1403100.0,187.907531738
2017-08-02,198.179992676,196.080001831,196.529998779,198.039993286,980900.0,189.351272583
2017-08-03,199.399993896,197.330001831,198.300003052,199.330001831,1070700.0,190.584686279
2017-08-04,200.070007324,198.470001221,199.520004272,200.070007324,1247100.0,191.292221069
2017-08-07,201.550003052,199.429992676,200.339996338,201.13999939,1482100.0,192.3152771
2017-08-08,200.929992676,198.220001221,199.240005493,198.800003052,1352600.0,190.077957153
2017-08-09,201.919998169,198.25,199.289993286,201.0,1353900.0,192.181427002
2017-08-10,200.990005493,198.039993286,200.669998169,198.279998779,1122800.0,189.580749512
2017-08-11,199.86000061,197.800003052,198.520004272,197.88999939,1105900.0,189.207885742
2017-08-14,200.5,198.490005493,199.169998169,200.300003052,1192200.0,191.512115479
2017-08-15,200.559997559,198.88999939,200.559997559,199.490005493,1017900.0,190.737670898
2017-08-16,201.330001831,199.630004883,200.0,200.61000061,876400.0,191.808532715
2017-08-17,200.100006104,197.88999939,199.36000061,197.990005493,1020500.0,189.303466797
2017-08-18,199.800003052,196.770004272,198.380004883,198.729995728,1581700.0,190.011016846
2017-08-21,199.029998779,196.88999939,198.740005493,198.729995728,1202000.0,190.011016846
2017-08-22,201.580001831,198.990005493,199.449996948,201.229995728,877500.0,192.40133667
2017-08-23,201.169998169,199.399993896,200.699996948,199.75,831300.0,190.98626709
2017-08-24,200.270004272,198.75,200.220001221,199.470001221,723500.0,190.718551636
2017-08-25,200.759994507,198.940002441,200.320007324,199.050003052,651500.0,190.317001343
2017-08-28,199.910003662,197.699996948,199.910003662,197.869995117,808600.0,189.188735962
2017-08-29,201.020004272,198.25,198.270004272,200.949996948,984900.0,192.133590698
2017-08-30,201.259994507,200.070007324,200.949996948,201.220001221,893600.0,192.391769409
2017-08-31,202.270004272,201.160003662,201.740005493,201.350006104,842700.0,192.516082764
2017-09-01,201.869995117,199.979995728,201.770004272,200.0,734700.0,191.225296021
2017-09-05,200.910003662,198.13999939,200.910003662,198.729995728,1114100.0,190.011016846
2017-09-06,199.580001831,196.649993896,199.550003052,196.740005493,997800.0,188.108322144
2017-09-07,197.75,195.699996948,197.0,197.039993286,977100.0,188.395141602
2017-09-08,198.399993896,196.0,196.520004272,197.869995117,614000.0,189.188735962
2017-09-11,200.5,198.570007324,198.619995117,200.330001831,1048900.0,191.540817261
2017-09-12,200.309997559,198.570007324,199.88999939,199.0,749300.0,190.269180298
2017-09-13,198.5,196.800003052,198.300003052,196.850006104,852600.0,188.213500977
2017-09-14,197.809997559,196.449996948,196.630004883,197.630004883,920000.0,188.959274292
2017-09-15,198.720001221,197.600006104,198.100006104,198.270004272,2095600.0,189.57119751
2017-09-18,202.350006104,198.86000061,199.0,202.179992676,1313000.0,193.309646606
2017-09-19,203.940002441,201.259994507,201.910003662,203.119995117,784100.0,194.208435059
2017-09-20,205.289993286,202.699996948,202.779998779,204.270004272,1308300.0,195.307952881
2017-09-21,206.570007324,204.0,204.559997559,205.720001221,860000.0,196.694335938
2017-09-22,206.509994507,204.630004883,206.089996338,205.410003662,1040800.0,196.39793396
2017-09-25,205.5,203.220001221,205.5,204.869995117,1202800.0,195.881622314
2017-09-26,206.210006714,204.729995728,205.050003052,205.330001831,705300.0,196.321456909
2017-09-27,207.600006104,205.350006104,205.770004272,206.800003052,903700.0,197.726959229
2017-09-28,206.059997559,204.410003662,205.869995117,205.029998779,638900.0,196.034606934
2017-09-29,205.710006714,204.020004272,204.830001831,205.580001831,732200.0,196.560470581
2017-10-02,208.759994507,205.580001831,205.580001831,208.720001221,721900.0,199.562713623
2017-10-03,210.940002441,208.419998169,208.720001221,210.529998779,907100.0,201.293304443
2017-10-04,211.63999939,209.919998169,210.050003052,211.300003052,843000.0,202.029510498
2017-10-05,214.11000061,210.619995117,210.759994507,213.449996948,1215200.0,204.899765015
2017-10-06,213.289993286,211.729995728,212.86000061,212.600006104,941900.0,204.083816528
2017-10-09,213.589996338,212.240005493,213.020004272,213.529998779,671600.0,204.976547241
2017-10-10,214.080001831,212.009994507,214.0,212.550003052,642500.0,204.035797119
2017-10-11,213.100006104,212.229995728,212.940002441,212.830001831,704900.0,204.304580688
2017-10-12,213.979995728,212.479995728,212.479995728,213.720001221,727200.0,205.158950806
2017-10-13,214.809997559,213.279998779,214.5,213.339996338,782700.0,204.794143677
2017-10-16,214.550003052,212.559997559,213.5,213.440002441,748000.0,204.890151978
2017-10-17,213.330001831,210.949996948,212.75,211.539993286,770000.0,203.066238403
2017-10-18,212.0,209.86000061,211.300003052,210.38999939,945600.0,201.962310791
2017-10-19,211.949996948,209.710006714,210.300003052,211.63999939,674500.0,203.162261963
2017-10-20,214.020004272,211.729995728,212.589996338,213.86000061,898900.0,205.293334961
2017-10-23,214.169998169,212.470001221,213.86000061,212.509994507,837300.0,203.997406006
2017-10-24,214.809997559,211.86000061,212.509994507,212.080001831,1350900.0,203.584640503
2017-10-25,211.25,206.009994507,208.199996948,207.25,2000800.0,198.948120117
2017-10-26,208.5,202.029998779,208.179992676,203.910003662,1474200.0,195.741897583
2017-10-27,205.679992676,204.100006104,204.5,204.990005493,1255100.0,196.778656006
2017-10-30,206.929992676,204.820007324,204.820007324,206.169998169,1259700.0,197.911376953
2017-10-31,206.36000061,202.929992676,206.36000061,202.979995728,995800.0,194.849151611
2017-11-01,204.210006714,200.539993286,203.570007324,201.619995117,1735300.0,193.543640137
2017-11-02,204.179992676,201.309997559,201.729995728,203.820007324,1079300.0,195.655502319
2017-11-03,205.5,203.25,204.320007324,204.059997559,995300.0,195.885879517
2017-11-06,204.020004272,202.339996338,204.0,202.369995117,739900.0,194.263595581
2017-11-07,203.86000061,202.210006714,202.369995117,203.759994507,918000.0,195.597885132
2017-11-08,203.960006714,202.5,203.88999939,202.619995117,841200.0,194.503570557
2017-11-09,202.380004883,198.600006104,202.169998169,198.869995117,1363700.0,190.903793335
2017-11-10,201.869995117,198.080001831,198.850006104,199.770004272,929800.0,191.767745972
2017-11-13,201.75,199.020004272,199.130004883,200.130004883,912200.0,192.113327026
2017-11-14,201.050003052,199.009994507,199.25,200.220001221,813600.0,192.199707031
2017-11-15,201.649993896,198.850006104,199.449996948,198.990005493,1069100.0,191.018997192
2017-11-16,200.169998169,198.669998169,199.490005493,199.220001221,1103800.0,191.239761353
2017-11-17,199.559997559,197.75,198.259994507,197.770004272,762500.0,189.847839355
2017-11-20,199.399993896,197.710006714,198.009994507,198.740005493,1283900.0,190.778991699
2017-11-21,200.339996338,197.880004883,198.720001221,200.100006104,1190800.0,192.084533691
2017-11-22,200.649993896,199.220001221,199.820007324,200.039993286,921800.0,192.026885986
2017-11-24,200.759994507,199.88999939,200.190002441,200.0,411400.0,191.988525391
2017-11-27,201.350006104,199.759994507,200.0,201.070007324,1026700.0,193.015686035
2017-11-28,204.729995728,201.149993896,201.88999939,204.190002441,1159400.0,196.010665894
2017-11-29,204.960006714,203.649993896,204.61000061,204.169998169,724300.0,195.991500854
2017-11-30,207.850006104,203.75,204.210006714,207.160003662,1912200.0,198.861709595
2017-12-01,207.179992676,199.789993286,207.11000061,202.63999939,1311500.0,194.522766113
2017-12-04,204.61000061,201.13999939,203.75,201.690002441,1706000.0,193.610839844
2017-12-05,202.520004272,199.830001831,202.419998169,199.910003662,960200.0,191.902145386
2017-12-06,201.339996338,199.929992676,199.929992676,200.210006714,1223000.0,192.190109253
2017-12-07,201.160003662,199.279998779,200.279998779,200.169998169,1236100.0,192.151702881
2017-12-08,201.210006714,198.869995117,200.240005493,201.070007324,1344600.0,193.015686035
2017-12-11,201.330001831,199.309997559,201.199996948,199.63999939,804200.0,191.642929077
2017-12-12,198.479995728,196.070007324,197.910003662,196.179992676,1961000.0,188.321533203
2017-12-13,198.13999939,196.38999939,196.669998169,196.630004883,1417900.0,188.75352478
2017-12-14,198.429992676,195.690002441,198.070007324,196.220001221,1136700.0,188.359939575
2017-12-15,199.88999939,196.330001831,196.330001831,198.839996338,1982000.0,190.875
2017-12-18,199.320007324,196.75,199.160003662,198.449996948,1559000.0,190.50062561
2017-12-19,200.539993286,198.130004883,198.600006104,199.830001831,1300000.0,191.8253479
2017-12-20,201.770004272,199.949996948,200.080001831,201.300003052,1049100.0,193.236465454
2017-12-21,203.160003662,200.690002441,201.449996948,202.479995728,1502000.0,194.369171143
2017-12-22,203.449996948,202.160003662,203.0,202.63999939,787500.0,194.522766113
2017-12-26,203.729995728,201.690002441,202.850006104,201.970001221,574800.0,193.879638672
2017-12-27,203.36000061,201.179992676,202.009994507,202.720001221,601000.0,194.599563599
2017-12-28,204.039993286,202.779998779,203.449996948,203.86000061,692800.0,195.69392395
2017-12-29,204.63999939,203.210006714,204.0,203.449996948,768800.0,195.300308228
2018-01-02,204.0,199.970001221,203.539993286,200.490005493,1588000.0,192.458908081
2018-01-03,202.149993896,199.5,200.210006714,201.740005493,1692700.0,193.658843994
2018-01-04,205.529998779,201.830001831,202.369995117,205.210006714,1473200.0,196.989837646
2018-01-05,206.25,203.630004883,205.979995728,204.699996948,1722600.0,196.500244141
2018-01-08,205.580001831,204.320007324,204.850006104,204.699996948,1044900.0,196.500244141
2018-01-09,206.979995728,205.0,205.490005493,205.880004883,1290200.0,197.632995605
2018-01-10,206.050003052,204.25,205.0,204.75,956900.0,196.548233032
2018-01-11,206.169998169,204.699996948,204.789993286,205.509994507,1245600.0,197.277816772
2018-01-12,211.75,205.589996338,206.529998779,210.589996338,1892700.0,202.154312134
2018-01-16,211.619995117,206.0,211.009994507,206.330001831,1753800.0,198.064987183
2018-01-17,209.050003052,206.789993286,207.759994507,208.520004272,1421000.0,200.167236328
2018-01-18,209.440002441,207.190002441,208.36000061,207.800003052,1241700.0,200.282913208
2018-01-19,209.410003662,207.529998779,209.410003662,209.100006104,1413900.0,201.535858154
2018-01-22,209.229995728,207.039993286,209.080001831,208.199996948,1895000.0,200.668426514
