Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,22.6599998474,22.2700004578,22.3199996948,22.4300003052,6031100.0,20.5286769867
2017-01-11,22.4799995422,21.8999996185,22.4300003052,21.9300003052,4907800.0,20.071062088
2017-01-12,22.0599994659,21.5799999237,21.8500003815,21.9200000763,3125700.0,20.0619125366
2017-01-13,22.1399993896,21.9300003052,21.9300003052,22.0599994659,3141700.0,20.1900444031
2017-01-17,22.8999996185,22.1700000763,22.1700000763,22.8600006104,5965400.0,20.9222297668
2017-01-18,23.0,21.9300003052,22.8999996185,22.0100002289,6623000.0,20.14427948
2017-01-19,22.2999992371,22.0100002289,22.1399993896,22.0799999237,4074100.0,20.2083473206
2017-01-20,22.3799991608,22.0,22.1100006104,22.3700008392,3044600.0,20.4737682343
2017-01-23,22.6399993896,22.1700000763,22.2999992371,22.5300006866,4560600.0,20.6202049255
2017-01-24,22.7399997711,22.5,22.5699996948,22.6299991608,3233100.0,20.711725235
2017-01-25,23.9500007629,22.9799995422,22.9799995422,23.8299999237,8814400.0,21.8100070953
2017-01-26,23.9799995422,23.6100006104,23.7999992371,23.6399993896,6951600.0,21.6361122131
2017-01-27,23.7299995422,22.8799991608,23.6000003815,22.8799991608,7956200.0,20.940536499
2017-01-30,23.4400005341,22.5499992371,22.8899993896,23.3299999237,6796900.0,21.3523902893
2017-01-31,23.75,22.7000007629,22.9799995422,23.7099990845,11092800.0,21.7001781464
2017-02-01,23.7399997711,23.0699996948,23.7299995422,23.2299995422,5840300.0,21.2608661652
2017-02-02,23.2199993134,22.5699996948,23.1100006104,22.7099990845,7459100.0,20.7849407196
2017-02-03,20.0,18.9099998474,20.0,18.9799995422,36597000.0,17.3711242676
2017-02-06,19.7600002289,19.0599994659,19.1100006104,19.3199996948,19807700.0,17.682302475
2017-02-07,19.7000007629,19.2000007629,19.3199996948,19.2999992371,11589800.0,17.6639995575
2017-02-08,20.0499992371,19.4200000763,19.4799995422,19.8899993896,13787800.0,18.2039890289
2017-02-09,20.5,19.8899993896,19.8899993896,20.2399997711,10000500.0,18.5243167877
2017-02-10,20.9200000763,20.2800006866,20.3700008392,20.8500003815,8495700.0,19.2250919342
2017-02-13,21.0400009155,20.3700008392,21.0200004578,20.4500007629,8045200.0,18.8562641144
2017-02-14,21.1200008392,20.6599998474,20.6599998474,20.8500003815,6749800.0,19.2250919342
2017-02-15,21.2099990845,20.7299995422,20.8099994659,21.1299991608,7131600.0,19.4832687378
2017-02-16,21.3099994659,20.7600002289,21.1700000763,20.8500003815,5091600.0,19.2250919342
2017-02-17,21.0200004578,20.7099990845,20.7700004578,21.0200004578,8313700.0,19.3818416595
2017-02-21,21.25,20.8500003815,21.0200004578,20.9799995422,5630300.0,19.3449554443
2017-02-22,21.3299999237,20.9699993134,21.0900001526,21.2700004578,5607300.0,19.6123600006
2017-02-23,21.4799995422,20.8799991608,21.1599998474,20.9200000763,7871500.0,19.2896327972
2017-02-24,21.5300006866,20.7999992371,20.9300003052,21.3799991608,8587300.0,19.7137851715
2017-02-27,21.25,20.4099998474,21.0100002289,20.6499996185,12525900.0,19.0406780243
2017-02-28,20.7900009155,19.9599990845,20.6399993896,20.0100002289,8465100.0,18.450553894
2017-03-01,20.2199993134,19.8500003815,20.1200008392,20.1000003815,6582900.0,18.5335407257
2017-03-02,20.4899997711,20.1700000763,20.2900009155,20.3500003815,6146200.0,18.7640590668
2017-03-03,20.6700000763,20.2999992371,20.4599990845,20.5400009155,6700800.0,18.939250946
2017-03-06,20.5799999237,20.2199993134,20.4300003052,20.4300003052,4666800.0,18.8378238678
2017-03-07,20.2600002289,19.7999992371,19.9200000763,19.9799995422,7823500.0,18.4228897095
2017-03-08,20.2800006866,19.8899993896,20.0,20.2199993134,4626200.0,18.6441879272
2017-03-09,20.2900009155,19.9699993134,20.2900009155,19.9899997711,3212000.0,18.4321117401
2017-03-10,20.2000007629,19.8500003815,20.0400009155,19.9699993134,4188100.0,18.4136734009
2017-03-13,20.1599998474,19.9400005341,20.0200004578,20.1499996185,3112800.0,18.5796432495
2017-03-14,20.5300006866,20.1700000763,20.2199993134,20.2600002289,3048300.0,18.6810722351
2017-03-15,20.3999996185,19.9200000763,20.1900005341,20.3299999237,3371700.0,18.7456150055
2017-03-16,20.6599998474,20.2199993134,20.3299999237,20.5100002289,3089400.0,18.9115848541
2017-03-17,20.5200004578,20.1000003815,20.5100002289,20.2800006866,6680200.0,18.699508667
2017-03-20,20.4099998474,20.0400009155,20.3700008392,20.1900005341,4570500.0,18.6165294647
2017-03-21,20.2700004578,19.7600002289,20.2299995422,20.1200008392,6268800.0,18.5519828796
2017-03-22,20.2299995422,19.8400001526,19.9799995422,20.2099990845,3616300.0,18.6349620819
2017-03-23,20.4699993134,20.2299995422,20.2800006866,20.3199996948,4425200.0,18.7363929749
