Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,40.1800003052,39.4300003052,39.6599998474,39.75,5200300,39.75
2016-12-13,40.6100006104,39.7099990845,39.9500007629,40.5200004578,4091900,40.5200004578
2016-12-14,41.0099983215,40.4700012207,40.5499992371,40.7900009155,4022500,40.7900009155
2016-12-15,40.9900016785,40.2599983215,40.8100013733,40.6899986267,3432300,40.6899986267
2016-12-16,41.0,39.8100013733,40.9099998474,40.0900001526,11098200,40.0900001526
2016-12-19,40.6199989319,39.9300003052,40.0900001526,40.0800018311,2254600,40.0800018311
2016-12-20,40.3699989319,39.9799995422,40.1500015259,40.0299987793,1430600,40.0299987793
2016-12-21,40.2700004578,39.8199996948,40.0499992371,39.9900016785,1493700,39.9900016785
2016-12-22,40.3400001526,39.9599990845,39.9900016785,40.0699996948,1830300,40.0699996948
2016-12-23,40.5099983215,39.9900016785,40.0400009155,40.3300018311,1026700,40.3300018311
2016-12-27,40.7999992371,40.25,40.4199981689,40.2799987793,947900,40.2799987793
2016-12-28,40.2900009155,39.7700004578,40.2900009155,39.8899993896,1355900,39.8899993896
2016-12-29,40.3499984741,39.8899993896,39.8899993896,40.0800018311,1384000,40.0800018311
2016-12-30,40.2900009155,39.8400001526,40.2099990845,40.1199989319,1661100,40.1199989319
2017-01-03,40.4000015259,39.7599983215,40.0,40.1500015259,2077600,40.1500015259
2017-01-04,40.2900009155,39.5,40.25,40.0299987793,2803900,40.0299987793
2017-01-05,40.1899986267,39.6500015259,40.0499992371,39.7900009155,1948400,39.7900009155
2017-01-06,40.0800018311,39.75,39.8899993896,39.8800010681,2337600,39.8800010681
2017-01-09,40.1300010681,39.8100013733,39.8199996948,40.0499992371,1810900,40.0499992371
2017-01-10,40.7700004578,40.0099983215,40.0099983215,40.4399986267,2375600,40.4399986267
2017-01-11,40.7599983215,40.2599983215,40.5099983215,40.6899986267,2211700,40.6899986267
2017-01-12,40.7299995422,39.75,40.6199989319,40.1699981689,1358300,40.1699981689
2017-01-13,40.4500007629,40.0900001526,40.1699981689,40.1800003052,1206400,40.1800003052
