Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,36.9300003052,36.5299987793,36.5499992371,36.5400009155,15918800.0,34.004360199
2017-01-11,37.0,36.5099983215,36.5099983215,36.9500007629,22398400.0,34.3859100342
2017-01-12,36.8300018311,36.3199996948,36.8300018311,36.7099990845,20391900.0,34.1625671387
2017-01-13,36.8600006104,36.6199989319,36.7099990845,36.7900009155,15072200.0,34.2370109558
2017-01-17,36.8300018311,36.5900001526,36.6699981689,36.7999992371,20195200.0,34.2463150024
2017-01-18,37.0099983215,36.6100006104,36.8899993896,36.7599983215,15382500.0,34.2090950012
2017-01-19,36.9099998474,36.5099983215,36.5099983215,36.5699996948,13654500.0,34.0322761536
2017-01-20,37.0299987793,36.5800018311,36.7599983215,36.9399986267,23950900.0,34.3765983582
2017-01-23,37.2099990845,36.5499992371,37.0699996948,36.7700004578,27752600.0,34.2184028625
2017-01-24,37.7400016785,36.8100013733,36.8400001526,37.6199989319,35140900.0,35.0094146729
2017-01-25,38.0,37.5200004578,37.8699989319,37.7999992371,32276400.0,35.1769294739
2017-01-26,37.9199981689,37.4199981689,37.8199996948,37.5600013733,34144800.0,34.953578949
2017-01-27,38.4500007629,37.8100013733,38.0,37.9799995422,44368600.0,35.3444290161
2017-01-30,37.8400001526,37.3300018311,37.7400016785,37.4199981689,23954700.0,34.8232917786
2017-01-31,37.3699989319,36.6399993896,37.2200012207,36.8199996948,27059100.0,34.2649307251
2017-02-01,36.9500007629,36.0200004578,36.8199996948,36.5200004578,28380600.0,33.9857444763
2017-02-02,36.7000007629,36.2000007629,36.2599983215,36.6800003052,31916900.0,34.1346473694
2017-02-03,36.8199996948,36.4500007629,36.6899986267,36.5200004578,21038100.0,34.2283744812
2017-02-06,36.5099983215,36.1500015259,36.5099983215,36.2700004578,21427000.0,33.9940605164
2017-02-07,36.5200004578,36.2400016785,36.4500007629,36.3499984741,18581900.0,34.0690345764
2017-02-08,36.6500015259,36.1399993896,36.3400001526,36.3800010681,20807400.0,34.09715271
2017-02-09,36.5,35.4000015259,36.5,35.4599990845,47802700.0,33.2348823547
2017-02-10,35.4300003052,34.8400001526,35.2599983215,35.3400001526,44106500.0,33.1224136353
2017-02-13,35.8499984741,35.3400001526,35.5699996948,35.7999992371,28180600.0,33.5535545349
2017-02-14,35.9599990845,35.5299987793,35.8400001526,35.9300003052,25734800.0,33.6753921509
2017-02-15,36.0600013733,35.6699981689,35.9799995422,36.0499992371,18452200.0,33.7878608704
2017-02-16,36.5600013733,36.0999984741,36.1800003052,36.4099998474,21317500.0,34.1252708435
2017-02-17,36.4799995422,36.0999984741,36.3199996948,36.4799995422,18909900.0,34.1908798218
2017-02-21,36.6500015259,36.3300018311,36.5299987793,36.5200004578,20556000.0,34.2283744812
2017-02-22,36.4000015259,35.7900009155,36.3400001526,36.0699996948,29904400.0,33.8066062927
2017-02-23,36.2999992371,35.9000015259,36.2400016785,36.1800003052,22775000.0,33.9097061157
2017-02-24,36.5299987793,35.9500007629,36.1399993896,36.5299987793,18617600.0,34.2377471924
2017-02-27,36.6800003052,36.2700004578,36.4199981689,36.5099983215,14065200.0,34.2189979553
2017-02-28,36.4599990845,36.0,36.4199981689,36.2000007629,24977000.0,33.9284477234
2017-03-01,36.0999984741,35.4399986267,35.8499984741,35.9300003052,34085900.0,33.6753921509
2017-03-02,36.0200004578,35.6500015259,35.9300003052,35.9099998474,23602100.0,33.6566505432
2017-03-03,36.0900001526,35.6699981689,35.9399986267,35.9000015259,17538100.0,33.6472702026
2017-03-06,35.7999992371,35.4199981689,35.7900009155,35.5699996948,24416700.0,33.3379821777
2017-03-07,35.7999992371,35.3899993896,35.5400009155,35.7999992371,23434900.0,33.5535545349
2017-03-08,35.9000015259,35.5299987793,35.6699981689,35.6199989319,20920100.0,33.3848419189
2017-03-09,35.9399986267,35.5,35.5999984741,35.8199996948,23616800.0,33.5722923279
2017-03-10,36.2999992371,35.7799987793,36.1199989319,35.9099998474,25402300.0,33.6566505432
2017-03-13,36.0400009155,34.9399986267,35.8499984741,35.1599998474,53582900.0,32.953704834
2017-03-14,35.2299995422,34.6599998474,35.0600013733,35.1800003052,28586900.0,32.9724502563
2017-03-15,35.1699981689,34.6800003052,34.9399986267,35.0999984741,27996100.0,32.8974723816
2017-03-16,35.3600006104,35.0699996948,35.1699981689,35.1399993896,19616100.0,32.9349632263
2017-03-17,35.3300018311,35.0999984741,35.3100013733,35.2700004578,30778900.0,33.056804657
2017-03-20,35.6300010681,35.2599983215,35.3699989319,35.4300003052,17322300.0,33.2067680359
2017-03-21,35.5999984741,35.0,35.5900001526,35.0400009155,22814500.0,32.8412399292
2017-03-22,35.4599990845,35.0,35.2200012207,35.3699989319,19144500.0,33.1505279541
2017-03-23,35.4900016785,35.0200004578,35.4900016785,35.2700004578,20640400.0,33.056804657
2017-03-24,35.7299995422,35.1199989319,35.6500015259,35.1599998474,22188000.0,32.953704834
2017-03-27,35.5,34.9399986267,35.0699996948,35.3899993896,16992200.0,33.1692810059
2017-03-28,35.7099990845,35.2099990845,35.3400001526,35.5999984741,18398100.0,33.366104126
2017-03-29,35.7000007629,35.4399986267,35.5200004578,35.5699996948,17202600.0,33.3379821777
2017-03-30,35.8899993896,35.5200004578,35.5800018311,35.75,16433000.0,33.5066833496
2017-03-31,36.25,35.7400016785,35.75,36.0699996948,21438400.0,33.8066062927
2017-04-03,36.7400016785,36.1199989319,36.1899986267,36.1599998474,32013600.0,33.8909606934
2017-04-04,36.3800010681,35.9900016785,36.1199989319,36.2799987793,18918000.0,34.0034294128
2017-04-05,36.7599983215,36.1699981689,36.4300003052,36.2200012207,22455500.0,33.9471931458
2017-04-06,36.2799987793,36.0299987793,36.1300010681,36.0299987793,20198200.0,33.7691192627
2017-04-07,36.3199996948,35.9900016785,36.0699996948,36.0299987793,15689500.0,33.7691192627
2017-04-10,36.0900001526,35.6100006104,36.0200004578,35.7999992371,19973700.0,33.5535545349
2017-04-11,35.7900009155,35.2099990845,35.7700004578,35.7400016785,22711800.0,33.4973182678
2017-04-12,36.0099983215,35.5,35.8699989319,35.6300010681,19289800.0,33.3942184448
2017-04-13,35.7599983215,35.25,35.5499992371,35.25,15764000.0,33.038066864
2017-04-17,35.5900001526,35.3300018311,35.4399986267,35.4799995422,12560700.0,33.2536277771
2017-04-18,35.8100013733,35.2999992371,35.4300003052,35.7700004578,12321100.0,33.5254325867
2017-04-19,36.2200012207,35.8899993896,35.9700012207,35.9099998474,16594600.0,33.6566505432
2017-04-20,36.2700004578,35.8600006104,36.1800003052,36.1800003052,22968300.0,33.9097061157
2017-04-21,36.4199981689,35.8499984741,36.2000007629,36.3199996948,20390500.0,34.0409202576
2017-04-24,36.8499984741,36.4599990845,36.6699981689,36.75,26305800.0,34.4439353943
2017-04-25,37.0,36.6599998474,36.7700004578,36.8699989319,22066800.0,34.5564041138
2017-04-26,37.2299995422,36.7799987793,36.7799987793,36.9300003052,27241000.0,34.6126403809
2017-04-27,37.5,36.7799987793,36.8699989319,37.4300003052,39890000.0,35.0812644958
2017-04-28,36.4900016785,35.8800010681,36.0999984741,36.1500015259,56769300.0,33.8815879822
2017-05-01,36.4000015259,35.9399986267,36.1100006104,36.3100013733,24825600.0,34.0315513611
2017-05-02,37.0299987793,36.3499984741,36.3699989319,36.9700012207,35813000.0,34.650138855
2017-05-03,37.1699981689,36.6199989319,36.7200012207,36.9799995422,22040300.0,34.9173431396
2017-05-04,37.1100006104,36.6399993896,36.9900016785,36.8499984741,16437100.0,34.7945976257
2017-05-05,36.9300003052,36.5,36.8600006104,36.8199996948,18119200.0,34.7662734985
2017-05-08,36.8499984741,36.4799995422,36.7299995422,36.5400009155,17660200.0,34.5018882751
2017-05-09,36.75,36.2799987793,36.4799995422,36.3699989319,17819100.0,34.3413772583
2017-05-10,36.3800010681,35.9300003052,36.2700004578,36.0099983215,25133800.0,34.001449585
2017-05-11,36.0,35.4500007629,35.9099998474,35.6899986267,21508900.0,33.6992988586
2017-05-12,35.7400016785,35.4000015259,35.7200012207,35.5299987793,19730800.0,33.5482215881
2017-05-15,35.7200012207,35.4199981689,35.5299987793,35.6300010681,22120100.0,33.6426467896
2017-05-16,35.8899993896,35.4199981689,35.75,35.8199996948,22291800.0,33.822052002
2017-05-17,35.9900016785,35.0200004578,35.6699981689,35.0400009155,26670200.0,33.0855522156
2017-05-18,35.4700012207,35.0800018311,35.1899986267,35.2200012207,17171900.0,33.2555198669
2017-05-19,35.5499992371,35.1300010681,35.1500015259,35.4000015259,18340100.0,33.4254798889
2017-05-22,36.1100006104,35.3800010681,35.4799995422,35.7700004578,14638100.0,33.7748374939
2017-05-23,35.9900016785,35.5600013733,35.8699989319,35.8600006104,16903700.0,33.8598175049
2017-05-24,36.1800003052,35.8899993896,35.9799995422,36.1199989319,20640600.0,34.1053123474
2017-05-25,36.3899993896,36.0600013733,36.1199989319,36.2599983215,13148500.0,34.2375030518
2017-05-26,36.3300018311,36.1300010681,36.2599983215,36.2599983215,11145500.0,34.2375030518
2017-05-30,36.4399986267,36.0900001526,36.2700004578,36.1800003052,13026900.0,34.1619758606
2017-05-31,36.3800010681,35.8699989319,36.3100013733,36.1100006104,17741900.0,34.0958709717
2017-06-01,36.1300010681,35.7999992371,36.1199989319,36.1199989319,17510900.0,34.1053123474
2017-06-02,36.3300018311,36.0,36.2700004578,36.3199996948,19127400.0,34.2941665649
2017-06-05,36.5,36.2000007629,36.2999992371,36.3400001526,11685700.0,34.3130455017
2017-06-06,36.4500007629,35.9799995422,36.1599998474,36.1300010681,18420900.0,34.1147575378
2017-06-07,36.5699996948,36.0999984741,36.1300010681,36.2599983215,17192000.0,34.2375030518
2017-06-08,36.5299987793,36.1599998474,36.3400001526,36.4799995422,17154200.0,34.4452323914
2017-06-09,36.5600013733,35.3100013733,36.5,35.7099990845,33322100.0,33.7181854248
2017-06-12,36.0099983215,35.4099998474,35.5900001526,35.7299995422,28488300.0,33.7370643616
2017-06-13,35.9500007629,35.5299987793,35.6800003052,35.8800010681,20588200.0,33.8787078857
2017-06-14,36.0499992371,35.2200012207,35.9900016785,35.5299987793,19149000.0,33.5482215881
2017-06-15,35.4799995422,35.1399993896,35.2099990845,35.3100013733,20410000.0,33.3404960632
2017-06-16,35.3300018311,35.0099983215,35.2799987793,35.2099990845,30762800.0,33.2460708618
2017-06-19,35.6100006104,35.3199996948,35.6100006104,35.5099983215,21583800.0,33.5293426514
2017-06-20,35.4500007629,34.8400001526,35.4500007629,34.8600006104,21536500.0,32.915599823
2017-06-21,34.5999984741,34.0900001526,34.3300018311,34.5800018311,27138500.0,32.6512107849
2017-06-22,34.6300010681,34.2900009155,34.5600013733,34.3600006104,24602900.0,32.44348526
2017-06-23,34.5499992371,34.0999984741,34.2099990845,34.1899986267,29260900.0,32.2829627991
2017-06-26,34.5099983215,34.0299987793,34.2599983215,34.0699996948,18854800.0,32.1696548462
2017-06-27,34.1500015259,33.6500015259,34.0,33.6500015259,27078900.0,31.7730865479
2017-06-28,34.2400016785,33.7400016785,33.7700004578,34.2000007629,25940100.0,32.2924079895
2017-06-29,34.0999984741,33.3400001526,33.9199981689,33.5400009155,25215700.0,31.6692237854
2017-06-30,33.9300003052,33.5299987793,33.8699989319,33.7400016785,24432000.0,31.8580665588
2017-07-03,34.0299987793,33.4300003052,33.5099983215,33.4599990845,12676900.0,31.5936832428
2017-07-05,34.4300003052,33.4900016785,33.5200004578,34.3400001526,30010800.0,32.4246063232
2017-07-06,34.2900009155,33.5600013733,34.1199989319,33.6300010681,20733200.0,31.7542057037
2017-07-07,34.1199989319,33.7000007629,33.7000007629,33.8800010681,18304500.0,31.9902610779
2017-07-10,33.7400016785,33.2299995422,33.25,33.6500015259,29918400.0,31.7730865479
2017-07-11,33.9300003052,33.4300003052,33.6399993896,33.9199981689,25737500.0,32.0280227661
2017-07-12,34.3899993896,33.9399986267,34.2799987793,34.25,23768300.0,32.3396148682
2017-07-13,34.4000015259,34.1199989319,34.3300018311,34.2400016785,15046200.0,32.3301773071
2017-07-14,34.7099990845,34.2700004578,34.4799995422,34.6800003052,16316400.0,32.7456321716
2017-07-17,34.7400016785,34.3600006104,34.7400016785,34.4700012207,21044400.0,32.5473518372
2017-07-18,34.5800018311,34.25,34.4300003052,34.5299987793,14362800.0,32.6040039062
2017-07-19,34.6800003052,34.4599990845,34.6800003052,34.5600013733,17036200.0,32.6323318481
2017-07-20,34.8400001526,34.4799995422,34.5400009155,34.75,17506200.0,32.8117294312
2017-07-21,34.8199996948,34.4000015259,34.5400009155,34.7299995422,22245000.0,32.7928504944
2017-07-24,34.7999992371,34.3800010681,34.7299995422,34.5,16146300.0,32.5756721497
2017-07-25,34.7400016785,34.4000015259,34.5499992371,34.6699981689,18096700.0,32.7361946106
2017-07-26,34.9700012207,34.5900001526,34.7000007629,34.75,15499300.0,32.8117294312
2017-07-27,35.25,34.6699981689,34.7799987793,34.9700012207,43062800.0,33.0194587708
2017-07-28,35.8600006104,35.0,35.1300010681,35.3100013733,36291500.0,33.3404960632
2017-07-31,35.7400016785,35.3199996948,35.4700012207,35.4700012207,27057000.0,33.4915733337
2017-08-01,36.4300003052,35.5699996948,35.6599998474,36.3499984741,38710200.0,34.3224830627
2017-08-02,36.6699981689,36.0600013733,36.3300018311,36.6399993896,35004300.0,34.5963096619
2017-08-03,36.5900001526,36.1500015259,36.5499992371,36.4900016785,26611300.0,34.7133216858
2017-08-04,36.5600013733,36.0999984741,36.4500007629,36.2999992371,20520300.0,34.5325698853
2017-08-07,36.5499992371,36.2200012207,36.3899993896,36.4300003052,18169300.0,34.6562461853
2017-08-08,36.7000007629,36.2999992371,36.3699989319,36.4099998474,22819900.0,34.6372184753
2017-08-09,36.6599998474,36.0200004578,36.2799987793,36.5900001526,22796800.0,34.8084564209
2017-08-10,36.5600013733,36.1100006104,36.4000015259,36.1399993896,22693300.0,34.3803672791
2017-08-11,36.4000015259,35.7900009155,36.2599983215,35.8699989319,19275100.0,34.1235084534
2017-08-14,36.4700012207,36.0800018311,36.1199989319,36.3400001526,18469400.0,34.5706253052
2017-08-15,36.3199996948,35.8199996948,36.2999992371,36.0,21706600.0,34.247177124
2017-08-16,36.0699996948,35.5600013733,35.9799995422,35.8100013733,22014000.0,34.0664253235
2017-08-17,35.6800003052,35.1699981689,35.5999984741,35.1699981689,19525000.0,33.4575881958
2017-08-18,35.3100013733,34.9900016785,35.2900009155,35.0099983215,16231400.0,33.3053817749
2017-08-21,35.2799987793,34.7000007629,35.0900001526,34.9199981689,26493300.0,33.2197647095
2017-08-22,35.1899986267,34.6199989319,35.0200004578,34.6500015259,26097800.0,32.9629211426
2017-08-23,34.8100013733,34.3800010681,34.5400009155,34.6599998474,19648100.0,32.9724235535
2017-08-24,34.8899993896,34.5499992371,34.7000007629,34.7099990845,14301900.0,33.019985199
2017-08-25,34.9300003052,34.5800018311,34.8199996948,34.6699981689,14726800.0,32.9819374084
2017-08-28,34.7999992371,34.5900001526,34.7799987793,34.6500015259,20712900.0,32.9629211426
