Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,80.1200027466,78.0,78.0,79.4100036621,1930800,79.4100036621
2016-12-13,80.2399978638,78.9300003052,80.0400009155,79.3199996948,1358400,79.3199996948
2016-12-14,80.0199966431,78.2099990845,79.2099990845,79.3899993896,1983200,79.3899993896
2016-12-15,80.9800033569,78.9499969482,79.4000015259,80.5400009155,2450800,80.5400009155
2016-12-16,79.8300018311,77.8499984741,78.2799987793,77.8799972534,2614700,77.8799972534
2016-12-19,78.3600006104,76.4000015259,78.1500015259,76.6800003052,1059100,76.6800003052
2016-12-20,77.25,76.3399963379,77.1299972534,76.8899993896,919600,76.8899993896
2016-12-21,77.6299972534,75.4000015259,77.4700012207,75.4400024414,1105500,75.4400024414
2016-12-22,75.9199981689,74.7300033569,75.6299972534,74.9499969482,1742800,74.9499969482
2016-12-23,76.2699966431,74.8399963379,74.8399963379,76.2200012207,623300,76.2200012207
2016-12-27,76.6600036621,75.5699996948,76.3300018311,75.8499984741,1177400,75.8499984741
2016-12-28,76.3000030518,75.8099975586,76.2399978638,75.9599990845,807800,75.9599990845
2016-12-29,76.3600006104,75.7300033569,75.8399963379,75.8799972534,549500,75.8799972534
2016-12-30,76.2099990845,75.5100021362,75.8899993896,76.0500030518,848600,76.0500030518
2017-01-03,77.4199981689,76.4700012207,76.7099990845,76.9300003052,1413000,76.9300003052
2017-01-04,77.5899963379,76.5899963379,77.3899993896,77.2799987793,1138600,77.2799987793
2017-01-05,77.5299987793,76.7399978638,77.0199966431,77.0,651900,77.0
2017-01-06,78.4300003052,77.0599975586,77.0599975586,77.8199996948,569300,77.8199996948
2017-01-09,78.5800018311,77.8099975586,78.0800018311,77.9899978638,638000,77.9899978638
2017-01-10,78.3399963379,77.3399963379,77.7200012207,77.8799972534,1163900,77.8799972534
2017-01-11,77.9499969482,75.6999969482,77.8499984741,76.9800033569,1784600,76.9800033569
2017-01-12,77.5100021362,76.4300003052,76.9100036621,77.1900024414,1207700,77.1900024414
2017-01-13,77.9599990845,76.9800033569,77.2300033569,77.1600036621,654100,77.1600036621
2017-01-17,77.1500015259,76.2200012207,77.1500015259,76.7900009155,1015000,76.7900009155
2017-01-18,77.2399978638,75.0500030518,77.0999984741,75.5899963379,1983000,75.5899963379
2017-01-19,76.7600021362,75.3199996948,75.4899978638,76.0699996948,1523200,76.0699996948
2017-01-20,76.25,75.7900009155,75.7900009155,76.0999984741,839400,76.0999984741
2017-01-23,76.2399978638,75.1100006104,75.8899993896,75.8499984741,952200,75.8499984741
2017-01-24,76.1800003052,74.8000030518,76.1600036621,75.3499984741,1547200,75.3499984741
2017-01-25,76.1100006104,75.4100036621,75.7900009155,75.5299987793,964400,75.5299987793
