Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,47.6699981689,47.2599983215,47.4500007629,47.5,648300.0,46.8921699524
2016-12-13,47.8600006104,47.2900009155,47.7299995422,47.7099990845,668800.0,47.0994758606
2016-12-14,47.7900009155,47.0,47.4599990845,47.2299995422,1376900.0,46.6256256104
2016-12-15,47.7599983215,47.0400009155,47.3100013733,47.4399986267,639400.0,46.8329353333
2016-12-16,47.6500015259,47.2700004578,47.5099983215,47.4900016785,1950500.0,46.8822937012
2016-12-19,47.5800018311,47.0499992371,47.5600013733,47.4300003052,683700.0,46.823059082
2016-12-20,47.7299995422,47.4099998474,47.6100006104,47.7200012207,772400.0,47.1093559265
2016-12-21,48.0499992371,47.5900001526,47.7299995422,47.9000015259,586700.0,47.2870521545
2016-12-22,47.8199996948,47.5900001526,47.8199996948,47.6800003052,698700.0,47.0698661804
2016-12-23,47.7700004578,47.4399986267,47.7700004578,47.5099983215,356600.0,46.9020347595
2016-12-27,47.5900001526,47.3400001526,47.5099983215,47.4399986267,533000.0,46.8329353333
2016-12-28,47.6100006104,47.1300010681,47.5099983215,47.1899986267,462000.0,46.5861320496
2016-12-29,47.4099998474,46.9099998474,47.2700004578,46.9500007629,511200.0,46.3492050171
2016-12-30,47.0999984741,46.7400016785,47.0999984741,46.8300018311,933400.0,46.2307434082
2017-01-03,47.4799995422,46.9599990845,47.2299995422,47.2000007629,725000.0,46.5960044861
2017-01-04,47.4799995422,46.8800010681,47.3300018311,46.9000015259,1075700.0,46.2998466492
2017-01-05,46.9599990845,46.3800010681,46.7599983215,46.5400009155,774100.0,45.9444580078
2017-01-06,46.9900016785,46.5,46.6199989319,46.75,725400.0,46.1517677307
2017-01-09,46.6199989319,46.2799987793,46.5,46.2900009155,543800.0,45.6976470947
2017-01-10,46.5699996948,46.0900001526,46.2900009155,46.4700012207,643600.0,45.8753471375
2017-01-11,46.5699996948,46.0999984741,46.4199981689,46.4300003052,854500.0,45.8358535767
2017-01-12,46.2999992371,45.8100013733,46.2799987793,46.1500015259,662900.0,45.5594406128
