Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,31.5200004578,31.1100006104,31.1100006104,31.2600002289,1482500,31.2600002289
2017-01-11,31.3700008392,30.9799995422,31.1900005341,31.1800003052,2135400,31.1800003052
2017-01-12,31.7000007629,31.0200004578,31.1299991608,31.6399993896,1669600,31.6399993896
2017-01-13,31.8600006104,31.4300003052,31.75,31.7999992371,1177100,31.7999992371
2017-01-17,31.8099994659,31.4500007629,31.6800003052,31.6000003815,1652800,31.6000003815
2017-01-18,31.8700008392,31.3999996185,31.6200008392,31.8700008392,1354500,31.8700008392
2017-01-19,31.9899997711,31.3799991608,31.9300003052,31.4799995422,3889900,31.4799995422
2017-01-20,31.8700008392,31.3799991608,31.6599998474,31.6200008392,1916500,31.6200008392
2017-01-23,31.9300003052,31.3899993896,31.5400009155,31.6599998474,1740400,31.6599998474
2017-01-24,31.8799991608,31.4599990845,31.8299999237,31.4799995422,2996600,31.4799995422
2017-01-25,31.8999996185,31.5,31.6599998474,31.6100006104,2180300,31.6100006104
2017-01-26,31.8500003815,31.3899993896,31.6599998474,31.5900001526,1580200,31.5900001526
2017-01-27,31.6700000763,31.2399997711,31.5799999237,31.4699993134,1675500,31.4699993134
2017-01-30,31.8600006104,31.0400009155,31.4200000763,31.8500003815,2563600,31.8500003815
2017-01-31,31.9200000763,31.5200004578,31.7700004578,31.9099998474,2489900,31.9099998474
2017-02-01,32.1699981689,31.4699993134,31.9099998474,31.7000007629,2051900,31.7000007629
2017-02-02,31.75,31.4599990845,31.6399993896,31.7399997711,1184100,31.7399997711
2017-02-03,32.0800018311,31.6100006104,31.7199993134,31.9599990845,1807500,31.9599990845
2017-02-06,31.9799995422,31.4300003052,31.8799991608,31.4799995422,2595200,31.4799995422
2017-02-07,31.6399993896,30.7299995422,31.6200008392,30.8899993896,2365700,30.8899993896
2017-02-08,30.9899997711,30.5799999237,30.8899993896,30.6399993896,1946000,30.6399993896
2017-02-09,31.2399997711,30.6100006104,30.6299991608,31.2399997711,2316000,31.2399997711
2017-02-10,31.3500003815,31.0900001526,31.2600002289,31.2000007629,1463200,31.2000007629
2017-02-13,31.3799991608,31.1499996185,31.25,31.3500003815,1516900,31.3500003815
2017-02-14,31.6599998474,31.0300006866,31.3799991608,31.6599998474,1608500,31.6599998474
2017-02-15,32.0600013733,31.3700008392,31.5100002289,31.9200000763,1627100,31.9200000763
2017-02-16,32.0699996948,31.75,31.9099998474,31.9799995422,2379300,31.9799995422
2017-02-17,31.9899997711,31.6100006104,31.8799991608,31.9400005341,2292400,31.9400005341
2017-02-21,32.9000015259,32.0900001526,32.1399993896,32.8300018311,3138300,32.8300018311
2017-02-22,33.1699981689,32.4599990845,32.7299995422,33.0499992371,4378400,33.0499992371
2017-02-23,32.0999984741,31.0900001526,32.0,31.5799999237,6674400,31.5799999237
2017-02-24,31.9400005341,31.3999996185,31.5599994659,31.8799991608,5093100,31.8799991608
2017-02-27,32.0,31.5400009155,31.9200000763,31.5900001526,3728400,31.5900001526
2017-02-28,31.7999992371,31.1900005341,31.4799995422,31.5799999237,4050800,31.5799999237
