Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,104.379997253,103.010002136,103.38999939,103.629997253,1261600.0,99.0063858032
2016-12-13,104.86000061,103.709999084,104.160003662,104.059997559,1370600.0,99.4172134399
2016-12-14,105.470001221,103.669998169,103.980003357,104.440002441,1409200.0,99.7802505493
2016-12-15,106.680000305,104.010002136,104.620002747,106.120002747,1437400.0,101.385284424
2016-12-16,106.879997253,104.279998779,106.099998474,104.449996948,2621100.0,99.7898101807
2016-12-19,108.599998474,106.529998779,106.730003357,106.989997864,2222700.0,102.216461182
2016-12-20,108.190002441,106.510002136,108.190002441,106.849998474,1310300.0,102.082725525
2016-12-21,107.5,106.410003662,106.680000305,106.480003357,1167600.0,101.729217529
2016-12-22,108.190002441,106.849998474,106.870002747,107.690002441,1386500.0,102.885253906
2016-12-23,108.120002747,107.059997559,107.419998169,108.059997559,1000300.0,103.238731384
2016-12-27,109.550003052,108.279998779,108.540000916,109.029998779,793700.0,104.165458679
2016-12-28,110.349998474,107.510002136,109.900001526,107.569999695,1096300.0,102.770599365
2016-12-29,107.519996643,106.379997253,107.480003357,107.150001526,1215600.0,102.36933136
2016-12-30,109.970001221,105.300003052,107.88999939,105.730003357,897900.0,101.012687683
2017-01-03,108.559997559,105.790000916,106.680000305,107.260002136,1937200.0,102.47442627
2017-01-04,108.11000061,106.910003662,107.61000061,107.319999695,1297400.0,102.531745911
2017-01-05,108.779998779,107.069999695,107.519996643,107.080001831,1634300.0,102.302467346
2017-01-06,107.879997253,106.080001831,106.879997253,107.599998474,1203600.0,102.799255371
2017-01-09,109.849998474,107.790000916,107.800003052,108.86000061,1440100.0,104.003044128
2017-01-10,108.989997864,107.779998779,108.970001221,108.470001221,1317700.0,103.630432129
2017-01-11,109.0,107.769996643,108.680000305,108.989997864,1271800.0,104.127227783
2017-01-12,108.739997864,106.800003052,108.739997864,108.169998169,996200.0,103.343826294
2017-01-13,111.099998474,108.629997253,108.709999084,110.540000916,1498600.0,105.608093262
2017-01-17,110.599998474,108.459999084,110.330001831,109.099998474,1502700.0,104.232337952
2017-01-18,111.290000916,109.330001831,109.959999084,111.239997864,1715600.0,106.276855469
2017-01-19,112.410003662,110.5,111.38999939,110.839996338,1870400.0,105.894699097
2017-01-20,112.830001831,111.339996338,111.910003662,112.349998474,1727500.0,107.337333679
2017-01-23,114.11000061,112.209999084,113.010002136,112.769996643,2520200.0,107.738594055
2017-01-24,114.849998474,113.099998474,113.099998474,114.63999939,1729300.0,109.525154114
2017-01-25,117.209999084,114.519996643,116.540000916,116.919998169,3497500.0,111.703422546
2017-01-26,116.160003662,112.86000061,115.029998779,114.330001831,3789200.0,109.228988647
2017-01-27,119.13999939,115.349998474,115.620002747,118.239997864,3618000.0,112.964538574
2017-01-30,117.0,114.720001221,116.779998779,116.0,2617300.0,110.824485779
2017-01-31,116.36000061,114.519996643,115.959999084,114.86000061,2384500.0,109.735343933
2017-02-01,117.760002136,115.519996643,115.910003662,117.739997864,2115500.0,112.486846924
2017-02-02,117.949996948,116.13999939,117.5,117.230003357,1203400.0,111.999610901
2017-02-03,118.169998169,116.910003662,117.5,117.650001526,1128700.0,112.400863647
2017-02-06,118.0,116.839996338,118.0,117.160003662,1138900.0,111.932731628
2017-02-07,117.879997253,116.150001526,117.879997253,117.0,3554100.0,111.779853821
2017-02-08,117.510002136,115.699996948,117.5,115.870002747,2334400.0,110.700279236
2017-02-09,116.459999084,115.739997864,116.459999084,116.0,1357200.0,110.824485779
2017-02-10,116.580001831,114.949996948,116.569999695,115.989997864,1542800.0,110.814926147
2017-02-13,117.669998169,116.169998169,117.019996643,116.260002136,943400.0,111.072891235
