Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,87.5400009155,86.3000030518,87.0199966431,86.8799972534,2707900.0,78.4563980103
2017-01-11,88.4599990845,86.5599975586,87.1800003052,88.4400024414,2841000.0,79.8651580811
2017-01-12,90.0,88.1999969482,88.4499969482,89.6200027466,3429400.0,80.9307403564
2017-01-13,90.6999969482,89.25,89.7300033569,89.7300033569,1920000.0,81.0300827026
2017-01-17,90.2200012207,89.3700027466,89.6399993896,89.9700012207,2778100.0,81.2468032837
2017-01-18,90.7099990845,89.6100006104,89.9899978638,90.0500030518,2030500.0,81.3190383911
2017-01-19,90.4700012207,89.0599975586,90.2399978638,89.7600021362,2095200.0,81.0571670532
2017-01-20,91.9499969482,90.1600036621,90.9199981689,90.8899993896,3372700.0,82.0776062012
2017-01-23,91.1999969482,90.2300033569,90.5899963379,91.1600036621,2396700.0,82.321434021
2017-01-24,95.8899993896,91.75,91.8799972534,95.1299972534,4948400.0,85.9065093994
2017-01-25,96.8300018311,94.1900024414,95.0999984741,96.3799972534,4606500.0,87.0353164673
2017-01-26,97.6399993896,94.8799972534,95.8199996948,95.3899993896,4841400.0,86.1413040161
2017-01-27,95.6800003052,94.4800033569,95.3199996948,95.3000030518,2579300.0,86.0600357056
2017-01-30,94.9700012207,93.6399993896,94.9700012207,94.3000030518,2846600.0,85.1569976807
2017-01-31,93.8799972534,92.8099975586,93.7699966431,93.2699966431,3850100.0,84.226852417
2017-02-01,95.3799972534,93.6800003052,93.75,95.0699996948,2506300.0,85.8523254395
2017-02-02,95.1900024414,93.4000015259,94.8600006104,93.75,4174800.0,84.6603164673
2017-02-03,95.9199981689,93.0,93.75,94.6900024414,5093800.0,85.5091705322
2017-02-06,95.4199981689,94.1200027466,94.2099990845,94.9400024414,2788400.0,85.7349319458
2017-02-07,94.2099990845,91.4000015259,93.1699981689,92.3499984741,4435000.0,83.3960494995
2017-02-08,92.5,91.3300018311,92.4000015259,91.6600036621,4523100.0,82.7729568481
2017-02-09,92.8099975586,91.6600036621,91.6600036621,92.2399978638,3110500.0,83.2967224121
2017-02-10,92.7900009155,91.3700027466,92.0,91.8600006104,3765200.0,82.9535751343
2017-02-13,92.7799987793,91.7600021362,92.6699981689,92.2200012207,2646700.0,83.2786636353
2017-02-14,93.25,92.0599975586,92.3000030518,93.1500015259,1991000.0,84.1184768677
2017-02-15,93.2799987793,92.3499984741,93.0199966431,93.0899963379,1765000.0,84.0643005371
2017-02-16,93.5400009155,92.4199981689,93.0,92.6900024414,1698400.0,83.7030944824
2017-02-17,93.5,92.25,92.4700012207,92.9100036621,2401800.0,83.901763916
2017-02-21,94.7099990845,92.8600006104,93.2399978638,94.5199966431,2704500.0,85.3556518555
2017-02-22,94.7900009155,93.6699981689,94.0199966431,94.0100021362,2244400.0,84.895111084
2017-02-23,94.6500015259,92.5999984741,94.2200012207,93.1299972534,2015100.0,84.1004257202
2017-02-24,92.5,91.3600006104,92.2300033569,92.4300003052,2639200.0,83.4682922363
2017-02-27,92.6399993896,90.5800018311,91.3199996948,91.3300018311,2683900.0,82.4749526978
2017-02-28,91.6800003052,89.8600006104,91.0199966431,91.2399978638,4352800.0,82.3936767578
2017-03-01,94.8300018311,92.5500030518,92.6100006104,93.8899993896,3413400.0,84.7867507935
2017-03-02,93.5100021362,92.2200012207,92.9400024414,92.2900009155,2671900.0,84.1032714844
2017-03-03,92.6699981689,91.7399978638,92.3000030518,92.2399978638,1672600.0,84.0577011108
2017-03-06,92.3199996948,91.4000015259,91.9499969482,91.5500030518,2361900.0,83.4289169312
2017-03-07,91.5,90.2600021362,91.3300018311,91.2300033569,2455300.0,83.1373062134
2017-03-08,91.5,89.5199966431,91.1900024414,89.7900009155,2968300.0,81.8250427246
2017-03-09,89.9100036621,88.6100006104,89.9000015259,89.5,3085600.0,81.560760498
2017-03-10,90.0899963379,88.8099975586,90.0699996948,89.7900009155,2666400.0,81.8250427246
2017-03-13,90.3199996948,89.5400009155,89.8399963379,90.1800003052,1673600.0,82.1804428101
2017-03-14,89.4100036621,87.9000015259,89.1999969482,88.5800018311,3030500.0,80.722366333
2017-03-15,91.4000015259,89.2399978638,89.6699981689,90.8899993896,3070100.0,82.8274536133
2017-03-16,91.1800003052,90.0899963379,91.1200027466,90.3499984741,1900800.0,82.335357666
2017-03-17,90.9800033569,90.0100021362,90.6500015259,90.0800018311,2405900.0,82.0893096924
2017-03-20,90.4700012207,89.3300018311,90.1299972534,90.3000030518,1694100.0,82.2898025513
2017-03-21,90.8799972534,87.9499969482,90.2399978638,88.1500015259,2728600.0,80.3305282593
2017-03-22,88.6800003052,87.5899963379,88.1699981689,88.1500015259,2252200.0,80.3305282593
2017-03-23,89.0599975586,87.3199996948,88.0500030518,88.3000030518,2165500.0,80.4672088623
2017-03-24,88.8099975586,87.0400009155,88.3499984741,87.5599975586,1698100.0,79.7928466797
2017-03-27,88.8799972534,85.6600036621,86.7399978638,88.6200027466,2467100.0,80.7588195801
2017-03-28,91.6600036621,88.6500015259,88.6500015259,90.9000015259,3151600.0,82.8365707397
2017-03-29,91.5299987793,90.2699966431,90.6500015259,90.7300033569,1996100.0,82.6816482544
2017-03-30,91.9199981689,90.6100006104,90.8600006104,91.2699966431,1487700.0,83.1737442017
2017-03-31,91.5199966431,90.6100006104,90.9800033569,91.1900024414,1850300.0,83.1008529663
2017-04-03,91.75,89.2399978638,91.4899978638,90.2600021362,1643900.0,82.2533493042
2017-04-04,90.8799972534,89.7200012207,90.3700027466,90.6900024414,2083800.0,82.6451950073
