Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,98.0299987793,96.5999984741,97.1100006104,97.5,743500.0,88.2497024536
2017-01-11,96.9800033569,94.7699966431,96.3000030518,94.9800033569,907900.0,86.7427902222
2017-01-12,96.2099990845,94.4000015259,94.7300033569,96.1100006104,670200.0,87.7747955322
2017-01-13,96.0800018311,94.8700027466,95.9499969482,95.1200027466,404700.0,86.8706512451
2017-01-17,96.7699966431,95.1699981689,95.1699981689,96.7099990845,843700.0,88.3227615356
2017-01-18,97.2300033569,96.0599975586,96.8799972534,96.3199996948,638100.0,87.966583252
2017-01-19,96.5400009155,94.6399993896,96.1699981689,95.2600021362,508700.0,86.9985046387
2017-01-20,95.9700012207,94.1999969482,95.3499984741,95.8700027466,495700.0,87.5556106567
2017-01-23,96.6900024414,95.6500015259,96.1800003052,95.9400024414,403300.0,87.6195526123
2017-01-24,96.75,95.4599990845,95.9300003052,96.6500015259,1032800.0,88.2679672241
2017-01-25,96.9000015259,95.6500015259,96.8199996948,96.6800003052,1029000.0,88.2953567505
2017-01-26,97.3700027466,96.1699981689,96.6399993896,96.8099975586,698100.0,88.4140777588
2017-01-27,97.4800033569,95.4199981689,97.2399978638,95.7300033569,502700.0,87.4277572632
2017-01-30,96.5999984741,94.4300003052,95.5199966431,94.8000030518,619600.0,86.5783996582
2017-01-31,96.4000015259,94.6399993896,94.9000015259,94.9499969482,1000600.0,86.7153930664
2017-02-01,95.25,93.2900009155,94.9700012207,93.7799987793,824700.0,85.6468505859
2017-02-02,97.8000030518,92.5,93.5899963379,97.6600036621,1624200.0,89.1903762817
2017-02-03,98.7699966431,97.2699966431,98.1900024414,97.9800033569,1054400.0,89.4826126099
2017-02-06,98.0800018311,96.6900024414,97.8000030518,97.8199996948,680400.0,89.3364868164
2017-02-07,98.1900024414,97.1100006104,97.6399993896,97.3700027466,661900.0,88.9255218506
2017-02-08,99.0,97.2200012207,97.4700012207,97.7300033569,616500.0,89.2543029785
2017-02-09,98.1900024414,97.4300003052,97.5800018311,97.9000015259,545900.0,89.4095611572
2017-02-10,98.5899963379,97.3000030518,97.5800018311,98.5100021362,393000.0,89.9666442871
2017-02-13,98.8300018311,97.5500030518,98.5599975586,98.4100036621,531200.0,89.875328064
2017-02-14,98.9300003052,97.4400024414,98.4599990845,98.7900009155,747600.0,90.2223587036
2017-02-15,98.6200027466,97.4100036621,97.8899993896,98.2099990845,572300.0,89.6926651001
2017-02-16,99.9000015259,98.2399978638,98.3300018311,99.4700012207,544400.0,90.8433837891
2017-02-17,100.220001221,99.1399993896,99.8000030518,99.6200027466,1069600.0,90.9803924561
2017-02-21,100.730003357,99.0199966431,99.2600021362,100.550003052,579100.0,91.8297271729
2017-02-22,100.970001221,99.6500015259,100.709999084,100.349998474,668000.0,91.6470794678
2017-02-23,101.779998779,100.019996643,100.720001221,101.559997559,542800.0,92.7521286011
2017-02-24,102.089996338,100.680000305,102.0,102.050003052,698000.0,93.1996383667
2017-02-27,103.050003052,101.779998779,102.319999695,102.709999084,612400.0,93.802406311
2017-02-28,102.970001221,102.180000305,102.779998779,102.730003357,666000.0,93.8206634521
2017-03-01,103.63999939,102.180000305,103.0,102.569999695,864500.0,93.6745376587
2017-03-02,103.029998779,101.199996948,102.63999939,101.379997253,1268700.0,92.5877456665
2017-03-03,101.319999695,100.339996338,101.220001221,101.089996338,950200.0,92.3228988647
2017-03-06,101.150001526,100.129997253,100.699996948,100.739997864,545300.0,92.0032501221
2017-03-07,100.830001831,99.6299972534,100.75,100.779998779,537200.0,92.0397796631
2017-03-08,100.709999084,99.6100006104,100.489997864,99.9599990845,653400.0,91.2909088135
2017-03-09,100.800003052,98.1100006104,100.080001831,98.1299972534,790500.0,89.6196060181
2017-03-10,99.6600036621,96.2699966431,98.1299972534,97.1500015259,1067800.0,88.724609375
2017-03-13,97.9499969482,96.7099990845,97.3799972534,97.7600021362,1116200.0,89.2816925049
2017-03-14,99.9199981689,98.1299972534,98.75,98.8899993896,1073600.0,90.3136901855
2017-03-15,101.540000916,98.0199966431,98.8700027466,101.129997253,993400.0,92.3594284058
2017-03-16,102.169998169,100.620002747,101.0,101.220001221,921600.0,92.4416275024
2017-03-17,102.739997864,100.720001221,101.319999695,101.779998779,2075900.0,92.9530563354
2017-03-20,101.930000305,100.88999939,101.910003662,101.160003662,385900.0,92.3868331909
2017-03-21,102.209999084,100.86000061,101.580001831,101.150001526,764000.0,92.3776855469
2017-03-22,101.680000305,100.459999084,101.680000305,101.269996643,628700.0,92.4872894287
2017-03-23,102.470001221,101.099998474,101.269996643,101.910003662,659900.0,93.0717849731
2017-03-24,102.809997559,101.809997559,102.199996948,101.910003662,350800.0,93.0717849731
2017-03-27,102.75,100.61000061,101.819999695,101.160003662,640500.0,92.3868331909
2017-03-28,101.38999939,99.75,101.089996338,101.019996643,599100.0,92.2589645386
2017-03-29,102.040000916,100.620002747,100.980003357,102.029998779,732800.0,93.1813659668
2017-03-30,102.010002136,100.800003052,101.819999695,101.779998779,609400.0,92.9530563354
2017-03-31,102.589996338,101.220001221,101.540000916,101.739997864,534700.0,92.916519165
2017-04-03,102.029998779,101.129997253,101.699996948,101.769996643,489900.0,92.9439239502
2017-04-04,103.550003052,101.569999695,101.75,102.550003052,638900.0,93.6562805176
2017-04-05,102.88999939,101.769996643,102.319999695,102.730003357,505900.0,93.8206634521
2017-04-06,103.099998474,101.970001221,102.61000061,102.790000916,380000.0,93.8754653931
2017-04-07,103.370002747,101.900001526,102.900001526,101.930000305,535900.0,93.090057373
2017-04-10,102.809997559,101.400001526,101.86000061,102.739997864,564200.0,93.8298110962
2017-04-11,103.080001831,101.739997864,102.089996338,102.849998474,872000.0,94.7324523926
2017-04-12,103.489997864,101.629997253,102.690002441,101.830001831,1128300.0,93.7929611206
2017-04-13,102.050003052,100.800003052,101.809997559,101.089996338,727800.0,93.1113586426
2017-04-17,101.730003357,101.209999084,101.379997253,101.720001221,1130400.0,93.6916427612
2017-04-18,102.38999939,101.540000916,101.669998169,101.900001526,746700.0,93.857421875
2017-04-19,102.050003052,101.069999695,101.930000305,101.38999939,541500.0,93.3876800537
2017-04-20,101.690002441,101.019996643,101.620002747,101.559997559,511300.0,93.5442733765
2017-04-21,101.819999695,101.089996338,101.489997864,101.269996643,450100.0,93.2771530151
2017-04-24,102.650001526,99.8000030518,101.930000305,101.330001831,586300.0,93.3324203491
2017-04-25,101.629997253,100.910003662,101.419998169,101.470001221,670600.0,93.4613800049
2017-04-26,101.910003662,100.650001526,101.540000916,101.0,960000.0,93.028465271
2017-04-27,101.0,96.1999969482,101.0,98.0,1624600.0,90.2652435303
2017-04-28,99.25,97.2900009155,97.2900009155,99.2099990845,1085700.0,91.3797454834
2017-05-01,100.010002136,98.6800003052,99.5899963379,99.6100006104,650700.0,91.7481765747
2017-05-02,100.309997559,99.1999969482,99.5899963379,99.5699996948,559100.0,91.7113342285
2017-05-03,99.7600021362,98.1399993896,99.4300003052,98.4400024414,391700.0,90.6705169678
2017-05-04,99.0999984741,97.4899978638,98.3300018311,99.0199966431,592300.0,91.2047424316
2017-05-05,100.080001831,98.8399963379,99.1200027466,100.050003052,540400.0,92.1534576416
2017-05-08,100.220001221,98.9499969482,100.190002441,99.4100036621,427200.0,91.5639648438
2017-05-09,99.2900009155,98.5899963379,99.25,98.7600021362,425900.0,90.9652557373
2017-05-10,99.2300033569,98.25,98.5699996948,98.6999969482,469300.0,90.9099884033
2017-05-11,99.3399963379,97.6900024414,98.3799972534,98.7900009155,487900.0,90.9928970337
2017-05-12,99.0599975586,98.0400009155,98.8300018311,98.3399963379,576200.0,90.5784072876
2017-05-15,99.4000015259,98.1999969482,98.3899993896,99.1500015259,461700.0,91.3244781494
2017-05-16,99.4800033569,98.1600036621,98.9300003052,98.6999969482,550700.0,90.9099884033
2017-05-17,100.550003052,98.5100021362,98.5100021362,99.3300018311,569600.0,91.4902648926
2017-05-18,100.400001526,99.0100021362,99.6399993896,99.8899993896,633600.0,92.006072998
2017-05-19,100.430000305,98.9599990845,100.11000061,100.0,642200.0,92.1073913574
2017-05-22,100.849998474,99.6600036621,100.029998779,100.059997559,438400.0,92.162651062
2017-05-23,100.800003052,99.7600021362,100.279998779,100.11000061,336200.0,92.2087097168
2017-05-24,100.779998779,99.9700012207,100.36000061,100.529998779,309300.0,92.5955505371
2017-05-25,101.330001831,99.75,100.839996338,100.790000916,286700.0,92.8350524902
2017-05-26,101.940002441,100.690002441,101.0,101.129997253,544500.0,93.1481933594
2017-05-30,101.480003357,100.839996338,101.0,101.050003052,394900.0,93.0745239258
2017-05-31,102.190002441,101.080001831,101.080001831,101.940002441,1012500.0,93.8942642212
2017-06-01,102.25,101.120002747,101.819999695,102.199996948,904400.0,94.1337509155
2017-06-02,104.709999084,101.769996643,102.779998779,104.290000916,900100.0,96.0587997437
2017-06-05,105.970001221,103.760002136,104.13999939,105.569999695,745400.0,97.2377624512
2017-06-06,105.779998779,104.599998474,105.650001526,105.019996643,576000.0,96.7311859131
2017-06-07,106.839996338,105.059997559,105.300003052,106.790000916,999700.0,98.3614730835
2017-06-08,107.629997253,105.959999084,106.790000916,107.370002747,750300.0,98.8956985474
