Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,64.5800018311,62.9500007629,64.3700027466,63.6100006104,1670500.0,60.8746261597
2016-12-13,65.4000015259,64.0100021362,64.1800003052,65.0999984741,1325600.0,62.300567627
2016-12-14,65.5999984741,64.9000015259,64.9599990845,65.0500030518,1600800.0,62.2527046204
2016-12-15,66.2900009155,64.9000015259,65.3199996948,65.8300018311,3158900.0,62.9991569519
2016-12-16,66.2399978638,64.4199981689,66.1900024414,64.5299987793,2881300.0,61.7550697327
2016-12-19,65.4899978638,64.4800033569,64.5699996948,65.0100021362,1006700.0,62.214427948
2016-12-20,65.7799987793,65.0100021362,65.3600006104,65.3000030518,1108300.0,62.4919509888
2016-12-21,65.7099990845,64.7600021362,65.4599990845,65.1699981689,1043000.0,62.3675498962
2016-12-22,65.5299987793,64.8300018311,65.5299987793,65.3799972534,1190800.0,62.5685081482
2016-12-23,65.4199981689,64.8799972534,65.1100006104,65.4000015259,520300.0,62.5876579285
2016-12-27,66.0599975586,65.3099975586,65.3600006104,65.4000015259,898100.0,62.5876579285
2016-12-28,65.6600036621,64.6600036621,65.5100021362,64.6699981689,843700.0,61.88904953
2016-12-29,65.0,64.4100036621,64.6500015259,64.7600021362,1242000.0,61.9751739502
2016-12-30,65.0500030518,63.8100013733,65.0500030518,64.1500015259,1006400.0,61.3914070129
2017-01-03,64.9800033569,63.1699981689,64.5100021362,63.8499984741,2553700.0,61.1043128967
2017-01-04,64.1299972534,63.4500007629,64.0699996948,63.8199996948,2230300.0,61.0755958557
2017-01-05,63.8300018311,62.2099990845,63.5400009155,62.5900001526,2712400.0,59.8984909058
2017-01-06,63.9300003052,62.5200004578,62.75,63.6800003052,1368600.0,60.9416160583
2017-01-09,64.8199996948,63.6100006104,63.6100006104,64.4199981689,1953700.0,61.6497879028
2017-01-10,64.9800033569,64.1200027466,64.4199981689,64.8499984741,1158300.0,62.0613021851
2017-01-11,66.5100021362,64.5,64.6900024414,66.4800033569,3248300.0,63.6212081909
2017-01-12,66.6299972534,65.4700012207,66.3600006104,66.4800033569,2440900.0,63.6212081909
2017-01-13,66.6999969482,66.2300033569,66.6200027466,66.3399963379,1381800.0,63.4872283936
2017-01-17,66.1299972534,64.6800003052,66.0199966431,64.9499969482,1485900.0,62.1570091248
2017-01-18,66.6500015259,65.0299987793,65.2099990845,66.5,3159700.0,63.6403503418
2017-01-19,67.1900024414,65.5999984741,66.3000030518,65.6900024414,1595300.0,62.8651885986
2017-01-20,66.9700012207,65.8499984741,65.9599990845,66.9300003052,1952100.0,64.0518569946
2017-01-23,67.1999969482,66.3700027466,66.7200012207,67.0299987793,1758200.0,64.1475601196
2017-01-24,67.9599990845,67.0599975586,67.3399963379,67.9000015259,1752400.0,64.9801559448
2017-01-25,69.0199966431,68.25,68.4000015259,68.8199996948,2127900.0,65.8605880737
2017-01-26,68.9400024414,67.5800018311,68.9400024414,67.6299972534,2653900.0,64.7217636108
2017-01-27,68.7799987793,67.8300018311,67.9499969482,68.7600021362,1420400.0,65.8031692505
2017-01-30,69.0899963379,67.7699966431,68.6500015259,69.0599975586,1652100.0,66.0902786255
2017-01-31,68.8600006104,66.8499984741,68.8300018311,67.3499984741,2398700.0,64.4537887573
2017-02-01,68.5199966431,67.3700027466,67.7099990845,68.4100036621,1938000.0,65.4682235718
2017-02-02,68.8300018311,67.4400024414,67.8300018311,68.7799987793,1760500.0,65.8222885132
2017-02-03,69.7300033569,68.4899978638,69.2200012207,69.4300003052,1849500.0,66.4443511963
2017-02-06,69.4300003052,68.8300018311,69.1500015259,69.1699981689,2244100.0,66.1955337524
2017-02-07,69.6500015259,69.0299987793,69.2799987793,69.6200027466,2322200.0,66.6261825562
2017-02-08,76.5,73.0199966431,76.5,73.8000030518,11809400.0,70.6264343262
2017-02-09,73.5,70.6200027466,72.0999984741,70.9300003052,30441100.0,67.8798599243
2017-02-10,71.0199966431,69.7600021362,70.5400009155,70.9000015259,17639800.0,67.8511352539
2017-02-13,71.5299987793,70.4100036621,71.0400009155,70.6600036621,7495900.0,67.6214599609
2017-02-14,71.3199996948,70.1800003052,70.6299972534,70.7799987793,5396900.0,67.7363128662
2017-02-15,72.0599975586,70.7200012207,70.9599990845,71.9000015259,5638400.0,68.8081512451
2017-02-16,71.75,70.9700012207,71.5500030518,71.7099990845,3261500.0,68.972618103
2017-02-17,71.6999969482,71.0599975586,71.5400009155,71.6800003052,2294900.0,68.9437561035
2017-02-21,72.5299987793,71.75,71.8899993896,72.4800033569,3901000.0,69.7132263184
2017-02-22,73.1299972534,72.2399978638,72.5100021362,73.0400009155,4322900.0,70.2518539429
2017-02-23,73.0999984741,72.3399963379,73.0400009155,72.7099990845,4276200.0,69.9344406128
2017-02-24,72.9100036621,71.8399963379,72.2399978638,72.8300018311,2793600.0,70.0498657227
2017-02-27,73.1500015259,72.4199981689,72.7099990845,73.1299972534,3338600.0,70.3384017944
2017-02-28,73.2200012207,72.0999984741,72.9400024414,72.5199966431,5667400.0,69.7516937256
