Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,163.399993896,160.509994507,161.229995728,162.36000061,2495000.0,157.721847534
2017-05-26,162.899993896,161.119995117,162.039993286,161.199996948,1126100.0,156.594970703
2017-05-30,163.75,160.509994507,160.529998779,162.11000061,1114100.0,157.478973389
2017-05-31,163.350006104,160.600006104,160.679992676,163.089996338,1997100.0,158.430984497
2017-06-01,165.940002441,162.270004272,162.660003662,165.919998169,2027400.0,161.457351685
2017-06-02,166.0,164.440002441,165.740005493,165.699996948,1522200.0,161.243286133
2017-06-05,166.179992676,164.270004272,166.160003662,165.899993896,1350000.0,161.437866211
2017-06-06,165.5,161.25,165.5,161.940002441,2362300.0,157.584396362
2017-06-07,162.179992676,160.61000061,162.100006104,161.589996338,1255100.0,157.243804932
2017-06-08,162.869995117,161.0,161.589996338,162.149993896,1205100.0,157.788726807
2017-06-09,163.509994507,161.619995117,161.979995728,163.38999939,1078800.0,158.995422363
2017-06-12,164.570007324,161.380004883,163.399993896,161.770004272,2147300.0,157.418960571
2017-06-13,162.910003662,161.300003052,162.619995117,162.149993896,1070600.0,157.788726807
2017-06-14,164.619995117,161.770004272,162.600006104,163.369995117,1004000.0,158.97593689
2017-06-15,164.880004883,161.490005493,162.149993896,163.910003662,1587000.0,159.501403809
2017-06-16,164.5,158.910003662,164.220001221,159.830001831,2961300.0,155.531173706
2017-06-19,162.179992676,159.520004272,160.320007324,161.75,1754600.0,157.399505615
2017-06-20,162.160003662,160.740005493,161.270004272,160.970001221,815800.0,156.640487671
2017-06-21,163.179992676,160.070007324,160.509994507,162.869995117,1181000.0,158.489379883
2017-06-22,167.229995728,162.86000061,163.179992676,165.570007324,1753600.0,161.116760254
2017-06-23,167.089996338,164.25,165.809997559,166.960006714,3922200.0,162.46937561
2017-06-26,168.589996338,166.600006104,167.300003052,167.61000061,1563200.0,163.101882935
2017-06-27,169.289993286,166.070007324,166.949996948,166.690002441,1450300.0,162.20664978
2017-06-28,168.429992676,165.919998169,167.75,166.619995117,1080100.0,162.138534546
2017-06-29,167.300003052,162.339996338,166.979995728,163.63999939,2021600.0,159.23866272
2017-06-30,165.320007324,163.270004272,164.490005493,164.539993286,1235200.0,160.114486694
2017-07-03,167.039993286,164.479995728,165.289993286,164.550003052,577100.0,160.124206543
2017-07-05,166.25,163.850006104,164.679992676,165.270004272,1029000.0,160.824829102
2017-07-06,166.369995117,162.25,164.990005493,163.080001831,1333700.0,158.693725586
2017-07-07,165.270004272,162.710006714,163.589996338,164.679992676,1119600.0,160.250701904
2017-07-10,165.61000061,163.61000061,164.0,164.710006714,1557600.0,160.279891968
2017-07-11,165.729995728,163.63999939,165.0,165.199996948,1075300.0,160.756698608
2017-07-12,167.38999939,165.070007324,166.0,166.339996338,947400.0,161.866043091
2017-07-13,167.039993286,165.070007324,166.679992676,166.330001831,720800.0,161.856323242
2017-07-14,168.330001831,165.699996948,166.089996338,167.5,908900.0,162.994842529
2017-07-17,168.869995117,166.669998169,167.570007324,168.119995117,1624200.0,163.598175049
2017-07-18,167.649993896,165.160003662,167.619995117,165.410003662,1575800.0,160.96105957
2017-07-19,166.259994507,162.589996338,166.220001221,164.850006104,1992900.0,160.416152954
2017-07-20,166.869995117,164.61000061,164.660003662,165.070007324,1908200.0,160.630187988
2017-07-21,166.179992676,164.619995117,165.479995728,165.919998169,1217300.0,161.457351685
2017-07-24,167.36000061,165.0,165.0,166.740005493,1365200.0,162.255310059
2017-07-25,168.080001831,166.009994507,166.830001831,167.630004883,939700.0,163.121353149
