Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,116.910003662,115.300003052,115.650001526,116.540000916,590500.0,113.501907349
2017-05-26,117.230003357,116.25,116.540000916,117.11000061,448600.0,114.057037354
2017-05-30,117.459999084,116.519996643,116.900001526,116.760002136,565500.0,113.716171265
2017-05-31,118.510002136,116.300003052,117.0,118.449996948,1040000.0,115.362129211
2017-06-01,119.0,117.430000305,118.569999695,119.0,698000.0,115.897781372
2017-06-02,119.440002441,118.209999084,119.050003052,118.819999695,595300.0,115.722473145
2017-06-05,119.449996948,118.620002747,118.919998169,118.86000061,509600.0,115.761413574
2017-06-06,118.370002747,117.400001526,118.339996338,117.769996643,712900.0,114.69985199
2017-06-07,118.11000061,117.080001831,117.980003357,117.669998169,676500.0,114.602455139
2017-06-08,118.040000916,117.220001221,117.669998169,117.379997253,750100.0,114.319999695
2017-06-09,118.089996338,116.069999695,117.61000061,116.819999695,545800.0,113.774597168
2017-06-12,117.220001221,115.589996338,116.550003052,117.190002441,588600.0,114.13495636
2017-06-13,119.199996948,117.040000916,117.199996948,118.919998169,701600.0,115.819869995
2017-06-14,120.819999695,118.730003357,118.739997864,120.010002136,736900.0,116.881454468
2017-06-15,121.120002747,119.220001221,119.489997864,121.080001831,517700.0,117.923561096
2017-06-16,122.540000916,121.13999939,121.319999695,122.25,1160000.0,119.063056946
2017-06-19,122.989997864,121.260002136,122.319999695,122.180000305,863400.0,118.994888306
2017-06-20,122.5,121.190002441,122.120002747,121.190002441,547800.0,118.030693054
2017-06-21,121.25,118.599998474,121.25,118.940002441,892900.0,115.839355469
2017-06-22,119.440002441,118.330001831,118.769996643,118.720001221,722100.0,115.625083923
2017-06-23,120.669998169,118.620002747,118.739997864,120.059997559,1298400.0,116.930145264
2017-06-26,121.519996643,120.440002441,120.88999939,120.620002747,609500.0,117.475547791
2017-06-27,121.260002136,119.779998779,120.589996338,120.419998169,548300.0,117.280761719
2017-06-28,122.489997864,120.440002441,121.25,122.220001221,579400.0,119.033836365
2017-06-29,122.699996948,120.900001526,122.550003052,121.370002747,786700.0,118.206008911
2017-06-30,122.199996948,121.290000916,121.63999939,121.680000305,628600.0,118.507919312
2017-07-03,122.849998474,121.660003662,122.069999695,122.019996643,399200.0,118.839050293
2017-07-05,124.400001526,121.529998779,122.25,123.980003357,819900.0,120.747962952
2017-07-06,123.650001526,122.050003052,123.489997864,122.169998169,714800.0,118.985145569
2017-07-07,123.680000305,122.269996643,122.510002136,123.419998169,598500.0,120.202552795
2017-07-10,123.440002441,122.529998779,123.089996338,123.029998779,515700.0,119.822715759
2017-07-11,123.459999084,122.059997559,123.180000305,122.61000061,586800.0,119.413650513
2017-07-12,124.720001221,123.120002747,123.180000305,124.279998779,480800.0,121.040138245
2017-07-13,124.849998474,123.089996338,124.510002136,124.680000305,820500.0,121.429710388
2017-07-14,125.589996338,123.940002441,124.519996643,125.099998474,403000.0,121.838760376
2017-07-17,125.580001831,124.38999939,124.800003052,125.370002747,492900.0,122.101715088
2017-07-18,125.989997864,124.620002747,124.900001526,125.849998474,663100.0,122.569206238
2017-07-19,126.629997253,125.069999695,126.059997559,126.599998474,845600.0,123.2996521
2017-07-20,127.650001526,126.069999695,126.61000061,127.169998169,1248500.0,123.854797363
2017-07-21,133.619995117,130.149993896,130.5,132.570007324,2559400.0,129.114044189
2017-07-24,135.199996948,133.029998779,133.149993896,133.570007324,1630700.0,130.087966919
