Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,177.490005493,176.309997559,177.36000061,176.580001831,2030100.0,163.999053955
2017-01-11,178.449996948,176.38999939,176.630004883,177.88999939,1579600.0,165.215682983
2017-01-12,177.699996948,175.75,176.970001221,177.440002441,1321800.0,164.79776001
2017-01-13,177.910003662,176.830001831,177.580001831,177.38999939,1265500.0,164.751327515
2017-01-17,177.679992676,176.25,177.0,177.259994507,1557500.0,164.630554199
2017-01-18,179.440002441,177.380004883,177.899993896,178.490005493,1804600.0,165.77293396
2017-01-19,179.800003052,177.759994507,179.25,178.679992676,1464400.0,165.949401855
2017-01-20,179.460006714,177.830001831,179.199996948,178.490005493,1761900.0,165.77293396
2017-01-23,178.990005493,177.130004883,177.910003662,178.509994507,1986800.0,165.791519165
2017-01-24,177.759994507,174.419998169,177.5,175.970001221,3473200.0,163.432479858
2017-01-25,178.630004883,176.570007324,177.089996338,176.729995728,3462600.0,164.13835144
2017-01-26,177.229995728,176.039993286,176.309997559,176.820007324,2235900.0,164.221954346
2017-01-27,177.979995728,176.830001831,177.479995728,177.479995728,1623700.0,164.834899902
2017-01-30,177.729995728,174.869995117,177.25,175.419998169,1823100.0,162.921691895
2017-01-31,175.460006714,173.809997559,174.740005493,174.820007324,1845500.0,162.3644104
2017-02-01,175.800003052,174.300003052,175.169998169,175.169998169,2272900.0,162.689468384
2017-02-02,174.779998779,173.550003052,174.130004883,174.179992676,3106800.0,161.770004272
2017-02-03,175.300003052,173.850006104,174.020004272,175.039993286,2820500.0,162.568771362
2017-02-06,176.199996948,173.899993896,174.119995117,175.100006104,1622800.0,162.624481201
2017-02-07,176.399993896,175.149993896,176.080001831,175.759994507,1247400.0,163.237472534
2017-02-08,177.600006104,175.490005493,175.619995117,177.070007324,2145700.0,164.454116821
2017-02-09,178.550003052,176.869995117,176.869995117,178.179992676,2009700.0,165.485046387
2017-02-10,179.580001831,178.190002441,178.300003052,179.0,1392400.0,166.246612549
2017-02-13,181.380004883,179.259994507,179.86000061,181.020004272,1929800.0,168.122695923
2017-02-14,182.0,180.649993896,180.86000061,181.600006104,2035900.0,168.661361694
2017-02-15,181.830001831,180.149993896,180.300003052,181.699996948,1762900.0,169.853240967
2017-02-16,183.460006714,181.619995117,181.75,183.410003662,2164000.0,171.451751709
2017-02-17,183.600006104,182.529998779,183.429992676,182.949996948,1961500.0,171.021743774
2017-02-21,183.619995117,182.039993286,182.789993286,183.369995117,1736300.0,171.414352417
2017-02-22,186.119995117,183.080001831,183.399993896,186.039993286,2850900.0,173.91027832
2017-02-23,187.460006714,185.710006714,185.910003662,187.190002441,2401600.0,174.985275269
2017-02-24,188.410003662,186.300003052,186.820007324,187.410003662,2126300.0,175.190933228
2017-02-27,187.550003052,186.380004883,187.5,186.910003662,1393800.0,174.723556519
2017-02-28,187.5,186.309997559,186.729995728,186.350006104,1932100.0,174.200073242
2017-03-01,190.539993286,188.009994507,188.080001831,189.86000061,2226200.0,177.481201172
2017-03-02,190.100006104,189.029998779,189.460006714,189.88999939,1764000.0,177.509262085
2017-03-03,190.240005493,188.539993286,189.88999939,189.309997559,1627400.0,176.967086792
2017-03-06,189.240005493,188.270004272,188.929992676,188.899993896,1668700.0,176.583770752
2017-03-07,189.259994507,188.25,188.289993286,189.089996338,1662300.0,176.761398315
2017-03-08,190.210006714,188.970001221,189.720001221,189.509994507,1563700.0,177.154022217
