Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,44.5,43.8499984741,43.8499984741,44.2700004578,1982700,44.2700004578
2016-12-13,45.2000007629,43.8899993896,44.1599998474,45.0,2629500,45.0
2016-12-14,45.0999984741,43.7999992371,44.9900016785,44.0200004578,2034800,44.0200004578
2016-12-15,44.5600013733,43.75,43.8100013733,44.2900009155,1560600,44.2900009155
2016-12-16,44.75,43.9099998474,44.2799987793,44.5,3924400,44.5
2016-12-19,44.5,43.6899986267,44.4000015259,43.8699989319,2199300,43.8699989319
2016-12-20,44.0,43.4599990845,43.9099998474,43.5400009155,2552000,43.5400009155
2016-12-21,45.7700004578,44.3699989319,45.2799987793,45.3699989319,4305100,45.3699989319
2016-12-22,45.5900001526,44.4900016785,45.5099983215,45.2999992371,2290100,45.2999992371
2016-12-23,46.0200004578,45.0299987793,45.0499992371,45.5699996948,2010400,45.5699996948
2016-12-27,46.0900001526,45.1399993896,45.5999984741,45.5299987793,1724500,45.5299987793
2016-12-28,45.6300010681,44.7000007629,45.6300010681,44.9099998474,1671100,44.9099998474
2016-12-29,45.2400016785,44.6899986267,44.9099998474,45.0299987793,1983200,45.0299987793
2016-12-30,45.1899986267,44.1100006104,45.0999984741,44.3400001526,2529500,44.3400001526
2017-01-03,45.5499992371,44.5699996948,44.6500015259,45.5400009155,3442600,45.5400009155
2017-01-04,46.1300010681,45.5400009155,45.7000007629,46.0200004578,2309600,46.0200004578
2017-01-05,46.2999992371,45.6300010681,45.9900016785,46.1899986267,2745000,46.1899986267
2017-01-06,46.2999992371,45.3499984741,46.1500015259,45.6199989319,2658600,45.6199989319
2017-01-09,45.5699996948,44.2000007629,45.4599990845,44.4000015259,2880700,44.4000015259
2017-01-10,44.4900016785,43.3899993896,44.25,43.5,3553300,43.5
2017-01-11,44.4799995422,43.5099983215,43.5400009155,43.9900016785,2010900,43.9900016785
2017-01-12,44.0,42.9799995422,44.0,43.1100006104,3333300,43.1100006104
2017-01-13,45.25,43.9500007629,45.25,44.5099983215,4524700,44.5099983215
2017-01-17,44.7000007629,43.8300018311,44.4900016785,43.9399986267,2383400,43.9399986267
2017-01-18,44.1500015259,43.1399993896,43.9599990845,43.4599990845,3182200,43.4599990845
2017-01-19,43.7700004578,43.1699981689,43.3199996948,43.3499984741,1975700,43.3499984741
2017-01-20,43.8499984741,43.1599998474,43.5600013733,43.5099983215,2396200,43.5099983215
2017-01-23,43.7599983215,43.2999992371,43.4500007629,43.5200004578,1674300,43.5200004578
2017-01-24,43.7799987793,42.8499984741,43.7099990845,43.7099990845,2046700,43.7099990845
2017-01-25,44.2400016785,43.0800018311,43.9099998474,43.1300010681,3326800,43.1300010681
2017-01-26,43.4599990845,42.2599983215,43.1100006104,42.6699981689,2904800,42.6699981689
2017-01-27,42.8600006104,42.0299987793,42.8199996948,42.2999992371,1546300,42.2999992371
2017-01-30,42.4799995422,41.9500007629,42.2599983215,42.4300003052,2076500,42.4300003052
2017-01-31,42.8100013733,42.2999992371,42.5,42.5999984741,1881200,42.5999984741
2017-02-01,42.5200004578,41.6599998474,42.5200004578,41.8199996948,1928400,41.8199996948
2017-02-02,42.2099990845,41.7799987793,41.8499984741,41.8100013733,2025600,41.8100013733
2017-02-03,43.1100006104,41.7799987793,42.1699981689,42.6399993896,2440800,42.6399993896
2017-02-06,42.9199981689,42.3600006104,42.5800018311,42.7299995422,1888900,42.7299995422
2017-02-07,43.2099990845,42.6599998474,42.75,43.0800018311,1424900,43.0800018311
2017-02-08,43.8100013733,42.9099998474,42.9399986267,43.6699981689,1820800,43.6699981689
2017-02-09,43.9700012207,43.2599983215,43.6399993896,43.7799987793,1919500,43.7799987793
2017-02-10,44.0499992371,43.6500015259,43.8600006104,44.0099983215,1430200,44.0099983215
2017-02-13,44.9799995422,43.3800010681,44.9199981689,43.4199981689,2178500,43.4199981689
2017-02-14,43.5,42.9700012207,43.4199981689,43.3800010681,1824400,43.3800010681
2017-02-15,43.5900001526,43.1300010681,43.3300018311,43.3499984741,1726600,43.3499984741
2017-02-16,43.6300010681,43.0699996948,43.5200004578,43.4500007629,1552900,43.4500007629
2017-02-17,43.7900009155,43.3300018311,43.4500007629,43.6300010681,3173300,43.6300010681
2017-02-21,44.0699996948,43.4000015259,43.7099990845,43.9900016785,2649300,43.9900016785
2017-02-22,44.4799995422,43.9099998474,44.0499992371,43.9399986267,1602300,43.9399986267
2017-02-23,44.1899986267,43.6899986267,43.9700012207,43.9099998474,1497400,43.9099998474
2017-02-24,44.3400001526,43.3600006104,44.2000007629,43.5499992371,2077500,43.5499992371
2017-02-27,43.4500007629,41.9000015259,43.3100013733,42.0900001526,4257800,42.0900001526
2017-02-28,42.2400016785,41.0200004578,42.0099983215,41.4399986267,8509300,41.4399986267
2017-03-01,42.2299995422,41.2900009155,41.4099998474,42.0099983215,4773100,42.0099983215
2017-03-02,48.9399986267,46.6699981689,47.8499984741,47.3699989319,13008900,47.3699989319
2017-03-03,48.1500015259,46.3400001526,46.9599990845,48.0400009155,5445600,48.0400009155
2017-03-06,47.9900016785,46.9700012207,47.7400016785,46.9799995422,6425400,46.9799995422
2017-03-07,46.9700012207,46.5600013733,46.6300010681,46.7000007629,1795700,46.7000007629
2017-03-08,47.3800010681,46.5099983215,46.5099983215,47.3699989319,2662400,47.3699989319
