Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,577.520019531,573.140014648,575.0,577.099975586,82900,577.099975586
2017-05-26,582.200012207,577.0,577.0,578.400024414,86300,578.400024414
2017-05-30,580.210021973,575.619995117,578.400024414,579.849975586,131200,579.849975586
2017-05-31,584.359985352,579.679992676,582.83001709,582.809997559,231400,582.809997559
2017-06-01,589.210021973,580.340026855,583.070007324,588.859985352,138900,588.859985352
2017-06-02,598.510009766,589.659973145,593.91998291,597.119995117,147300,597.119995117
2017-06-05,597.979980469,593.200012207,596.299987793,595.460021973,112800,595.460021973
2017-06-06,597.989990234,593.059997559,594.400024414,593.5,168000,593.5
2017-06-07,601.619995117,595.369995117,595.369995117,601.159973145,109800,601.159973145
2017-06-08,604.989990234,597.650024414,601.159973145,601.150024414,113100,601.150024414
2017-06-09,604.469970703,590.010009766,600.630004883,593.950012207,109200,593.950012207
2017-06-12,594.299987793,572.75,594.299987793,577.630004883,300100,577.630004883
2017-06-13,586.0,579.219970703,581.030029297,584.429992676,253800,584.429992676
2017-06-14,586.030029297,577.940002441,582.429992676,581.770019531,165400,581.770019531
2017-06-15,584.700012207,576.450012207,576.450012207,584.229980469,215000,584.229980469
2017-06-16,589.900024414,583.849975586,584.909973145,587.380004883,217100,587.380004883
2017-06-19,597.409973145,589.590026855,589.590026855,594.780029297,195500,594.780029297
2017-06-20,596.780029297,592.099975586,594.539978027,592.900024414,174300,592.900024414
2017-06-21,599.520019531,587.289978027,591.320007324,598.539978027,193700,598.539978027
2017-06-22,599.859985352,593.0,598.739990234,595.760009766,191700,595.760009766
2017-06-23,601.989990234,594.299987793,597.83001709,599.640014648,187000,599.640014648
2017-06-26,601.929992676,595.91998291,600.349975586,596.140014648,183900,596.140014648
2017-06-27,596.489990234,590.400024414,595.070007324,591.119995117,108500,591.119995117
2017-06-28,596.530029297,590.309997559,594.140014648,594.66998291,123400,594.66998291
2017-06-29,594.820007324,581.359985352,594.820007324,583.869995117,179500,583.869995117
2017-06-30,590.650024414,583.929992676,585.309997559,588.539978027,142100,588.539978027
2017-07-03,595.010009766,588.039978027,593.010009766,588.400024414,96000,588.400024414
2017-07-05,592.559997559,586.729980469,587.960021973,588.0,272100,588.0
2017-07-06,588.450012207,582.510009766,586.570007324,584.739990234,176600,584.739990234
2017-07-07,591.909973145,585.349975586,587.099975586,588.179992676,411700,588.179992676
2017-07-10,594.25,587.590026855,589.150024414,593.0,164700,593.0
2017-07-11,595.650024414,589.299987793,594.33001709,592.58001709,243800,592.58001709
2017-07-12,602.890014648,594.030029297,595.849975586,602.349975586,169200,602.349975586
2017-07-13,606.640014648,598.869995117,606.219970703,603.010009766,217000,603.010009766
2017-07-14,607.510009766,601.299987793,603.799987793,604.760009766,159600,604.760009766
2017-07-17,612.940002441,603.469970703,604.909973145,609.719970703,232000,609.719970703
2017-07-18,612.210021973,605.409973145,608.700012207,606.479980469,169300,606.479980469
2017-07-19,611.340026855,605.869995117,607.989990234,608.760009766,122100,608.760009766
2017-07-20,614.380004883,605.75,614.380004883,610.320007324,132500,610.320007324
2017-07-21,616.400024414,608.570007324,608.570007324,613.489990234,106100,613.489990234
2017-07-24,616.570007324,611.299987793,613.320007324,614.989990234,76600,614.989990234
2017-07-25,618.130004883,599.840026855,618.130004883,600.900024414,206600,600.900024414
2017-07-26,603.650024414,595.890014648,600.400024414,597.849975586,177600,597.849975586
2017-07-27,599.390014648,585.020019531,598.479980469,595.210021973,190700,595.210021973
2017-07-28,590.679992676,575.049987793,588.0,578.059997559,304100,578.059997559
2017-07-31,581.309997559,573.0,580.520019531,573.08001709,184400,573.08001709
2017-08-01,578.650024414,570.090026855,576.469970703,573.520019531,298300,573.520019531
2017-08-02,578.549987793,570.150024414,577.08001709,577.0,211300,577.0
2017-08-03,577.969970703,573.58001709,577.049987793,577.640014648,120900,577.640014648
2017-08-04,578.0,573.599975586,577.390014648,576.609985352,120900,576.609985352
2017-08-07,582.08001709,575.25,576.659973145,581.619995117,148700,581.619995117
2017-08-08,583.969970703,574.729980469,581.909973145,575.190002441,123000,575.190002441
2017-08-09,580.260009766,573.059997559,575.25,575.570007324,129100,575.570007324
2017-08-10,576.929992676,570.08001709,573.950012207,571.25,127600,571.25
2017-08-11,582.429992676,571.91998291,571.91998291,577.58001709,141200,577.58001709
2017-08-14,586.099975586,579.409973145,579.409973145,582.08001709,146800,582.08001709
2017-08-15,585.890014648,576.119995117,584.179992676,580.780029297,141300,580.780029297
2017-08-16,586.039978027,579.0,583.119995117,584.960021973,86700,584.960021973
2017-08-17,585.5,573.469970703,582.33001709,573.840026855,91800,573.840026855
2017-08-18,577.599975586,570.900024414,572.559997559,574.640014648,117800,574.640014648
2017-08-21,580.559997559,572.840026855,575.0,579.950012207,124400,579.950012207
2017-08-22,593.619995117,580.809997559,581.789978027,592.679992676,147600,592.679992676
2017-08-23,594.010009766,586.340026855,590.570007324,590.010009766,114500,590.010009766
2017-08-24,594.08001709,587.549987793,591.539978027,591.83001709,90100,591.83001709
2017-08-25,594.090026855,587.190002441,594.090026855,590.380004883,107100,590.380004883
2017-08-28,595.159973145,589.760009766,591.940002441,594.059997559,67200,594.059997559
2017-08-29,594.0,589.130004883,590.960021973,591.960021973,110700,591.960021973
2017-08-30,598.489990234,589.780029297,590.989990234,598.400024414,107100,598.400024414
2017-08-31,607.280029297,597.320007324,599.0,605.090026855,162700,605.090026855
2017-09-01,609.0,600.190002441,606.739990234,602.940002441,116100,602.940002441
2017-09-05,604.760009766,595.650024414,599.320007324,603.25,196900,603.25
2017-09-06,606.700012207,599.799987793,605.130004883,605.469970703,112100,605.469970703
2017-09-07,613.599975586,602.159973145,606.91998291,611.83001709,155600,611.83001709
2017-09-08,615.260009766,609.989990234,610.0,612.700012207,97500,612.700012207
2017-09-11,623.940002441,613.049987793,615.349975586,623.739990234,114500,623.739990234
2017-09-12,629.630004883,622.090026855,624.969970703,629.41998291,172400,629.41998291
2017-09-13,627.809997559,620.739990234,627.809997559,623.880004883,83500,623.880004883
2017-09-14,625.400024414,616.039978027,622.719970703,624.799987793,116300,624.799987793
2017-09-15,628.200012207,618.929992676,621.799987793,626.0,217400,626.0
2017-09-18,634.090026855,626.0,628.900024414,633.280029297,101400,633.280029297
2017-09-19,636.539978027,630.510009766,634.710021973,632.270019531,132600,632.270019531
2017-09-20,635.25,628.659973145,632.0,635.16998291,108700,635.16998291
2017-09-21,635.289978027,629.659973145,631.929992676,631.409973145,83400,631.409973145
2017-09-22,634.299987793,627.929992676,629.400024414,632.859985352,73800,632.859985352
2017-09-25,632.039978027,622.780029297,631.450012207,625.609985352,79400,625.609985352
2017-09-26,632.380004883,621.700012207,630.150024414,625.390014648,98000,625.390014648
2017-09-27,631.380004883,626.159973145,629.280029297,628.780029297,93900,628.780029297
2017-09-28,628.530029297,621.5,628.440002441,624.479980469,113500,624.479980469
2017-09-29,628.530029297,623.16998291,623.909973145,626.159973145,93100,626.159973145
2017-10-02,640.979980469,630.359985352,630.5,635.799987793,155000,635.799987793
2017-10-03,642.099975586,636.700012207,637.890014648,639.890014648,90200,639.890014648
2017-10-04,646.369995117,638.289978027,638.809997559,643.320007324,114600,643.320007324
2017-10-05,645.590026855,640.380004883,644.219970703,644.849975586,81500,644.849975586
2017-10-06,647.969970703,642.950012207,642.950012207,645.760009766,81300,645.760009766
2017-10-09,656.780029297,638.75,649.450012207,651.950012207,74700,651.950012207
2017-10-10,655.619995117,648.260009766,653.190002441,652.969970703,95600,652.969970703
2017-10-11,659.780029297,653.650024414,653.960021973,659.700012207,76500,659.700012207
2017-10-12,661.210021973,657.349975586,657.840026855,660.070007324,115900,660.070007324
2017-10-13,662.989990234,653.450012207,658.969970703,658.650024414,99500,658.650024414
2017-10-16,668.75,661.369995117,661.760009766,666.979980469,93400,666.979980469
2017-10-17,668.549987793,659.83001709,668.549987793,662.219970703,97100,662.219970703
2017-10-18,664.489990234,655.33001709,664.489990234,655.659973145,111500,655.659973145
2017-10-19,661.909973145,646.210021973,653.650024414,661.190002441,86800,661.190002441
2017-10-20,670.460021973,663.210021973,664.900024414,668.719970703,84100,668.719970703
2017-10-23,672.640014648,666.659973145,671.400024414,667.369995117,66500,667.369995117
2017-10-24,670.5,663.33001709,670.5,669.359985352,62000,669.359985352
2017-10-25,672.690002441,661.400024414,670.270019531,665.429992676,116000,665.429992676
2017-10-26,670.890014648,660.299987793,667.479980469,667.739990234,138800,667.739990234
2017-10-27,679.729980469,668.210021973,669.020019531,679.0,100700,679.0
2017-10-30,680.5,671.020019531,680.5,675.219970703,107900,675.219970703
2017-10-31,684.780029297,674.789978027,675.270019531,682.630004883,100200,682.630004883
2017-11-01,694.479980469,685.479980469,685.479980469,689.109985352,126000,689.109985352
2017-11-02,690.590026855,670.659973145,687.179992676,671.599975586,187900,671.599975586
2017-11-03,658.690002441,635.179992676,649.150024414,646.0,391600,646.0
2017-11-06,644.640014648,630.359985352,644.640014648,635.109985352,213500,635.109985352
2017-11-07,639.510009766,621.679992676,635.489990234,624.58001709,234300,624.58001709
2017-11-08,625.789978027,614.650024414,625.789978027,623.719970703,267900,623.719970703
2017-11-09,627.260009766,617.989990234,621.460021973,626.820007324,167800,626.820007324
2017-11-10,626.739990234,618.979980469,624.010009766,622.659973145,167800,622.659973145
2017-11-13,633.190002441,617.41998291,619.539978027,630.840026855,192600,630.840026855
2017-11-14,632.820007324,626.150024414,630.0,631.369995117,114400,631.369995117
2017-11-15,630.440002441,622.549987793,630.440002441,625.190002441,162400,625.190002441
2017-11-16,634.130004883,626.479980469,626.479980469,630.5,137200,630.5
2017-11-17,631.900024414,622.700012207,627.909973145,630.91998291,97300,630.91998291
2017-11-20,632.950012207,629.609985352,632.109985352,631.91998291,100000,631.91998291
2017-11-21,634.299987793,627.190002441,633.429992676,627.619995117,94800,627.619995117
2017-11-22,629.760009766,625.380004883,627.619995117,626.349975586,81700,626.349975586
2017-11-24,635.020019531,625.0,626.0,635.020019531,48800,635.020019531
2017-11-27,637.489990234,632.099975586,634.400024414,633.760009766,120800,633.760009766
2017-11-28,637.75,632.010009766,634.969970703,634.140014648,95400,634.140014648
