Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,39.3699989319,38.6699981689,39.2299995422,38.9500007629,3409800,38.9500007629
2017-01-11,39.5800018311,37.0800018311,39.5499992371,37.2799987793,11809800,37.2799987793
2017-01-12,37.4399986267,36.1699981689,37.4399986267,36.7700004578,7167200,36.7700004578
2017-01-13,37.0200004578,36.3499984741,36.7900009155,36.7299995422,5031400,36.7299995422
2017-01-17,37.3600006104,36.4500007629,36.8600006104,37.0699996948,4542900,37.0699996948
2017-01-18,37.3800010681,36.7099990845,37.1800003052,37.1899986267,4247600,37.1899986267
2017-01-19,37.2999992371,36.7099990845,37.1100006104,36.9500007629,4062700,36.9500007629
2017-01-20,37.3499984741,36.7999992371,36.9300003052,37.0699996948,3587000,37.0699996948
2017-01-23,37.1899986267,35.8199996948,36.8699989319,36.0299987793,4735300,36.0299987793
2017-01-24,36.1300010681,35.1599998474,36.0299987793,35.8100013733,5067200,35.8100013733
2017-01-25,36.6399993896,35.9799995422,36.0,36.4799995422,5124900,36.4799995422
2017-01-26,36.5900001526,35.8300018311,36.5400009155,36.0999984741,3517400,36.0999984741
2017-01-27,36.8300018311,36.0099983215,36.1599998474,36.6599998474,2982100,36.6599998474
2017-01-30,36.7299995422,35.5,36.5699996948,36.3400001526,5237900,36.3400001526
2017-01-31,38.0900001526,36.4099998474,37.0200004578,38.0499992371,7353700,38.0499992371
2017-02-01,38.75,38.0699996948,38.6800003052,38.6599998474,5917200,38.6599998474
2017-02-02,39.3499984741,38.1599998474,38.2599983215,39.0,6225400,39.0
2017-02-03,39.5,38.5200004578,39.2700004578,39.2099990845,5719500,39.2099990845
2017-02-06,40.25,39.3400001526,39.3600006104,39.9799995422,6182800,39.9799995422
2017-02-07,40.2999992371,39.2099990845,40.2599983215,39.3899993896,6061700,39.3899993896
2017-02-08,39.6500015259,39.0,39.2200012207,39.1899986267,5939500,39.1899986267
2017-02-09,39.5999984741,39.0,39.3600006104,39.2999992371,5517100,39.2999992371
2017-02-10,39.4599990845,39.0,39.0900001526,39.3100013733,2521900,39.3100013733
2017-02-13,39.8899993896,39.5600013733,39.7099990845,39.7799987793,3920300,39.7799987793
2017-02-14,40.9099998474,39.5600013733,39.5900001526,40.75,5501900,40.75
2017-02-15,42.5900001526,40.5900001526,40.6699981689,42.4399986267,10793900,42.4399986267
2017-02-16,42.6500015259,41.5600013733,42.5999984741,42.0,4437500,42.0
2017-02-17,42.3300018311,41.7799987793,41.8600006104,42.0499992371,6616400,42.0499992371
2017-02-21,42.7000007629,42.0699996948,42.4599990845,42.2999992371,7442800,42.2999992371
2017-02-22,42.2999992371,41.8600006104,42.2099990845,42.0,5059300,42.0
2017-02-23,42.5400009155,41.7700004578,42.0299987793,42.3300018311,4395100,42.3300018311
2017-02-24,42.3499984741,41.7599983215,42.3100013733,42.1599998474,4857700,42.1599998474
2017-02-27,42.5,41.7700004578,42.0400009155,42.4399986267,4060300,42.4399986267
2017-02-28,42.4799995422,41.4199981689,42.4500007629,41.8499984741,6874100,41.8499984741
2017-03-01,45.8699989319,44.0999984741,44.3400001526,44.8699989319,15930300,44.8699989319
2017-03-02,45.7299995422,44.4000015259,44.6699981689,45.2799987793,7235900,45.2799987793
2017-03-03,45.75,44.9099998474,45.2099990845,45.1800003052,5382300,45.1800003052
2017-03-06,45.4399986267,43.9799995422,45.3100013733,44.0400009155,5353300,44.0400009155
2017-03-07,43.75,42.7900009155,43.4500007629,43.3300018311,6585100,43.3300018311
2017-03-08,43.8800010681,43.0699996948,43.3199996948,43.4700012207,4298400,43.4700012207
2017-03-09,43.6599998474,42.9000015259,43.6199989319,43.2299995422,4391500,43.2299995422
2017-03-10,43.7299995422,42.9700012207,43.6800003052,43.4000015259,3670700,43.4000015259
2017-03-13,43.5,42.8899993896,43.5,42.9799995422,3195200,42.9799995422
2017-03-14,42.9300003052,42.3199996948,42.6800003052,42.7700004578,3593100,42.7700004578
2017-03-15,43.0,42.5999984741,42.8899993896,42.8300018311,6844200,42.8300018311
2017-03-16,42.8899993896,42.2999992371,42.7099990845,42.4900016785,4394500,42.4900016785
2017-03-17,42.6300010681,41.9399986267,42.5900001526,42.0299987793,6070600,42.0299987793
2017-03-20,42.5200004578,41.9500007629,42.0999984741,42.1699981689,5027300,42.1699981689
2017-03-21,42.1699981689,41.5800018311,42.1699981689,41.6699981689,4241500,41.6699981689
2017-03-22,41.8600006104,41.3699989319,41.5999984741,41.7000007629,4364700,41.7000007629
2017-03-23,42.0600013733,41.1199989319,41.2000007629,41.6100006104,5030000,41.6100006104
2017-03-24,41.2700004578,40.25,40.2799987793,40.9599990845,24463400,40.9599990845
2017-03-27,41.75,40.7900009155,40.8600006104,41.7099990845,8049700,41.7099990845
2017-03-28,42.4799995422,41.5499992371,41.9399986267,41.7200012207,4381200,41.7200012207
2017-03-29,41.8899993896,40.1300010681,41.5,40.3499984741,10250600,40.3499984741
2017-03-30,40.4300003052,39.5,40.2099990845,39.5900001526,7331500,39.5900001526
2017-03-31,39.6599998474,38.9500007629,39.4799995422,38.9900016785,6588100,38.9900016785
