Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,111.430000305,109.400001526,110.779998779,110.690002441,1854500.0,105.368843079
2016-12-13,111.38999939,108.449996948,110.830001831,109.830001831,1793200.0,104.550178528
2016-12-14,110.239997864,107.459999084,109.540000916,107.580001831,1867100.0,102.408348083
2016-12-15,109.239997864,106.790000916,107.230003357,108.11000061,1374800.0,102.912864685
2016-12-16,108.180000305,106.11000061,108.089996338,106.669998169,2614000.0,101.54209137
2016-12-19,107.169998169,106.169998169,106.559997559,106.930000305,1302300.0,101.789596558
2016-12-20,108.349998474,107.050003052,107.25,108.169998169,1197400.0,102.969985962
2016-12-21,108.980003357,107.569999695,108.330001831,108.050003052,1292200.0,102.855743408
2016-12-22,108.790000916,107.459999084,107.650001526,108.779998779,1645400.0,103.550643921
2016-12-23,109.790000916,108.190002441,108.660003662,109.279998779,2118500.0,104.026626587
2016-12-27,109.870002747,109.319999695,109.339996338,109.449996948,856000.0,104.188453674
2016-12-28,110.260002136,108.620002747,109.410003662,108.720001221,1034300.0,103.493553162
2016-12-29,109.319999695,107.769996643,108.86000061,108.819999695,926800.0,103.588745117
2016-12-30,108.989997864,107.5,108.849998474,108.069999695,1487300.0,102.874801636
2017-01-03,109.519996643,106.150001526,108.910003662,106.989997864,1770100.0,101.846702576
2017-01-04,110.980003357,107.150001526,107.569999695,110.63999939,2705500.0,105.321250916
2017-01-05,111.650001526,110.160003662,110.180000305,110.290000916,3135300.0,104.988067627
2017-01-06,112.989997864,109.919998169,110.180000305,111.660003662,2009200.0,106.292221069
2017-01-09,110.88999939,108.279998779,110.88999939,109.180000305,2081800.0,103.931442261
2017-01-10,110.050003052,108.330001831,109.230003357,109.260002136,1814500.0,104.007583618
2017-01-11,110.650001526,108.769996643,109.349998474,110.550003052,1180200.0,105.235580444
2017-01-12,111.440002441,109.36000061,110.61000061,111.010002136,1239600.0,105.673461914
2017-01-13,111.849998474,110.550003052,111.010002136,111.589996338,1702800.0,106.225578308
2017-01-17,111.449996948,108.470001221,111.180000305,108.900001526,1876300.0,103.664886475
2017-01-18,110.040000916,105.88999939,106.959999084,109.970001221,2589600.0,104.683456421
