Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,90.3799972534,88.5599975586,89.2399978638,89.2699966431,1053200.0,84.8751525879
2017-01-11,90.0400009155,88.8600006104,89.2200012207,90.0199966431,959800.0,85.5882339478
2017-01-12,89.8799972534,88.4499969482,89.6399993896,89.7900009155,689600.0,85.3695526123
2017-01-13,91.1399993896,89.9100036621,90.1500015259,90.1900024414,862600.0,85.7498550415
2017-01-17,89.8199996948,88.0299987793,89.6600036621,88.1500015259,1550100.0,83.810295105
2017-01-18,84.9000015259,82.4800033569,83.5400009155,83.9899978638,3433400.0,79.8551025391
2017-01-19,84.4499969482,83.3700027466,84.0999984741,83.5199966431,1872600.0,79.4082183838
2017-01-20,84.3399963379,82.7600021362,83.8000030518,83.3600006104,1757100.0,79.2561035156
2017-01-23,83.9100036621,82.4599990845,83.0599975586,82.6699981689,1215400.0,78.6000823975
2017-01-24,83.9700012207,82.3300018311,83.0199966431,83.4899978638,1247100.0,79.3797073364
2017-01-25,84.5299987793,82.8700027466,84.1600036621,84.0699996948,1544000.0,79.9311599731
2017-01-26,84.4100036621,83.1200027466,84.2099990845,83.9499969482,1228400.0,79.8170776367
2017-01-27,84.0100021362,83.0999984741,84.0,83.6800003052,845600.0,79.5603561401
2017-01-30,83.5899963379,81.9199981689,83.3199996948,83.1500015259,897700.0,79.0564575195
2017-01-31,83.8700027466,82.5699996948,82.8300018311,82.9599990845,1335000.0,78.875793457
2017-02-01,84.4300003052,83.0400009155,83.7600021362,83.3099975586,1258900.0,79.2085723877
2017-02-02,83.2699966431,81.9599990845,82.6100006104,82.8199996948,793400.0,78.7426834106
2017-02-03,84.5899963379,83.5999984741,83.8700027466,84.4000015259,1108900.0,80.2449188232
2017-02-06,84.7799987793,83.9899978638,84.0999984741,84.5500030518,1304800.0,80.3875350952
2017-02-07,84.7799987793,84.0500030518,84.7399978638,84.3600006104,1138300.0,80.2068786621
2017-02-08,84.1600036621,83.2099990845,83.7099990845,84.0,1069900.0,79.8646011353
2017-02-09,85.5800018311,83.6999969482,84.25,85.5100021362,1283400.0,81.3002700806
2017-02-10,86.0400009155,85.2699966431,85.8099975586,85.3700027466,1135400.0,81.1671600342
2017-02-13,86.8700027466,85.7399978638,85.7399978638,86.2799987793,721500.0,82.0323486328
2017-02-14,87.8700027466,86.1399993896,86.3799972534,87.5800018311,1256300.0,83.2683563232
2017-02-15,88.8399963379,86.5500030518,87.8300018311,88.6600036621,952600.0,84.2951889038
2017-02-16,88.9899978638,87.0899963379,88.5999984741,87.3399963379,1132800.0,83.0401763916
2017-02-17,87.5899963379,85.9400024414,86.5999984741,87.1999969482,913600.0,82.9070739746
2017-02-21,88.3600006104,87.3199996948,87.6200027466,88.0599975586,723100.0,83.7247314453
2017-02-22,87.9499969482,87.0500030518,87.4199981689,87.5,605000.0,83.1922912598
2017-02-23,87.9300003052,86.9800033569,87.9000015259,87.6900024414,591200.0,83.3729324341
2017-02-24,87.1900024414,85.4400024414,86.8499984741,87.0500030518,768100.0,82.7644500732
2017-02-27,87.5899963379,86.9400024414,87.1800003052,87.5299987793,528400.0,83.2208175659
2017-02-28,87.5400009155,86.6900024414,87.0800018311,87.3499984741,1011300.0,83.0496902466
2017-03-01,90.2200012207,88.7600021362,88.7699966431,89.4100036621,1299700.0,85.379699707
2017-03-02,89.4400024414,88.2699966431,89.4400024414,88.3399963379,879300.0,84.3579177856
2017-03-03,89.0100021362,87.8899993896,88.4100036621,88.7099990845,934300.0,84.7112426758
2017-03-06,88.3000030518,87.4400024414,88.0599975586,87.7099990845,1033900.0,83.7563247681
2017-03-07,88.7600021362,87.4000015259,87.8099975586,88.3899993896,973500.0,84.4056625366
2017-03-08,90.1999969482,88.7099990845,89.3000030518,88.9199981689,1432900.0,84.9117660522
2017-03-09,89.9899978638,89.0800018311,89.4400024414,89.4000015259,1223500.0,85.3701477051
2017-03-10,90.1500015259,88.7799987793,90.0,89.3000030518,831600.0,85.2746505737
2017-03-13,90.0199966431,88.5500030518,89.2300033569,89.8099975586,1048300.0,85.7616577148
2017-03-14,89.9800033569,88.75,89.5400009155,89.7200012207,804100.0,85.6757202148
2017-03-15,90.1600036621,89.4000015259,90.1500015259,89.5299987793,1220900.0,85.4942855835
2017-03-16,90.6699981689,89.5800018311,89.9400024414,89.9899978638,876700.0,85.9335479736
2017-03-17,90.2699966431,88.5800018311,90.1100006104,88.6800003052,1956200.0,84.6826019287
2017-03-20,88.8700027466,87.7900009155,88.5199966431,88.0199966431,1217200.0,84.0523529053
2017-03-21,88.75,86.1900024414,88.4199981689,86.3300018311,2777200.0,82.4385375977
2017-03-22,86.8399963379,84.9300003052,85.9300003052,86.5699996948,1599300.0,82.66771698
2017-03-23,87.7699966431,86.0199966431,86.7399978638,86.7399978638,1008500.0,82.830039978
2017-03-24,87.6100006104,85.0899963379,86.7600021362,85.75,1297100.0,81.8846740723
2017-03-27,85.3899993896,83.1699981689,84.4400024414,85.0699996948,1255600.0,81.2353134155
2017-03-28,86.4800033569,84.4100036621,84.9199981689,86.1900024414,1411300.0,82.3048477173
2017-03-29,86.4599990845,85.6999969482,85.8199996948,86.1200027466,750200.0,82.2379989624
2017-03-30,87.4599990845,85.8700027466,86.0,87.1900024414,975500.0,83.2597579956
2017-03-31,87.1900024414,86.3600006104,87.0100021362,86.5800018311,854300.0,82.6772613525
2017-04-03,87.4100036621,84.9700012207,86.4700012207,86.2200012207,952300.0,82.3334732056
2017-04-04,86.6100006104,85.6399993896,86.0299987793,86.2799987793,697400.0,82.3907699585
2017-04-05,87.7399978638,85.6800003052,87.0100021362,85.75,1388000.0,81.8846740723
2017-04-06,86.4400024414,84.9599990845,85.9100036621,86.4000015259,928000.0,82.5053710938
2017-04-07,86.7699966431,85.4100036621,85.8300018311,86.0899963379,717400.0,82.2093505859
2017-04-10,86.6299972534,85.3199996948,85.9300003052,85.5199966431,761500.0,81.6650390625
2017-04-11,86.6699981689,85.0199966431,86.1200027466,86.6399993896,1441700.0,82.7345581055
2017-04-12,86.6699981689,85.1500015259,86.6699981689,85.7699966431,849800.0,81.9037704468
2017-04-13,86.5999984741,85.0,85.3300018311,85.0299987793,703600.0,81.1971282959
2017-04-17,86.5699996948,84.9300003052,85.1500015259,86.4199981689,752300.0,82.5244674683
2017-04-18,86.3799972534,85.2200012207,85.7200012207,85.7600021362,762400.0,81.8942108154
2017-04-19,86.6200027466,85.7600021362,86.3199996948,86.0100021362,579600.0,82.1329574585
2017-04-20,87.6200027466,85.8499984741,86.3099975586,87.4499969482,1133100.0,83.5080337524
2017-04-21,87.7900009155,86.6200027466,87.1900024414,87.3600006104,1053200.0,83.4220962524
2017-04-24,89.9000015259,87.7399978638,89.5699996948,89.3799972534,1225600.0,85.3510437012
2017-04-25,91.7799987793,88.9400024414,89.9100036621,90.5800018311,2062500.0,86.496963501
2017-04-26,92.1800003052,90.2799987793,90.2799987793,91.6800003052,1324700.0,87.5473556519
2017-04-27,92.2900009155,91.0699996948,91.5999984741,91.5199966431,1155000.0,87.394569397
2017-04-28,91.7300033569,89.9599990845,91.5199966431,90.0,1216000.0,85.9430923462
2017-05-01,90.6999969482,89.6699981689,90.4899978638,90.1299972534,1007100.0,86.067237854
2017-05-02,90.4300003052,89.2900009155,90.3499984741,89.6200027466,1171800.0,85.5802154541
2017-05-03,90.3099975586,89.1800003052,89.2799987793,90.2099990845,1028300.0,86.1436309814
2017-05-04,91.3199996948,90.1699981689,90.7099990845,90.5400009155,984300.0,86.4587631226
2017-05-05,91.0,90.1399993896,91.0,90.5299987793,1038900.0,86.4492034912
2017-05-08,91.0,90.3799972534,90.6600036621,90.9300003052,932800.0,86.8311767578
2017-05-09,91.5999984741,90.6299972534,91.0199966431,90.7900009155,912700.0,86.697479248
2017-05-10,91.0599975586,90.4199981689,90.6500015259,90.8099975586,762200.0,86.716583252
2017-05-11,90.9000015259,89.6699981689,90.3600006104,90.3099975586,569800.0,86.2391204834
2017-05-12,89.7399978638,88.9400024414,89.6699981689,89.6600036621,764500.0,85.6184234619
2017-05-15,90.7699966431,89.6999969482,89.6999969482,90.1500015259,744300.0,86.0863265991
2017-05-16,90.7699966431,89.8499984741,90.1299972534,90.5999984741,907700.0,86.5160675049
2017-05-17,89.5100021362,85.4100036621,89.3300018311,85.7600021362,1740300.0,81.8942108154
2017-05-18,87.3499984741,85.6600036621,85.6999969482,86.7399978638,1281900.0,82.830039978
2017-05-19,87.5999984741,86.6699981689,86.9000015259,86.9400024414,1088100.0,83.0210266113
2017-05-22,87.8799972534,86.9300003052,87.2900009155,87.6800003052,939100.0,83.727684021
2017-05-23,88.9700012207,87.25,87.7900009155,88.5999984741,791400.0,84.6062011719
2017-05-24,88.8399963379,86.6100006104,88.6999969482,88.4100036621,669400.0,84.4247741699
2017-05-25,89.1699981689,87.9000015259,88.7799987793,88.2799987793,751800.0,84.3006210327
2017-05-26,88.9499969482,88.1500015259,88.3300018311,88.6900024414,882400.0,84.6921463013
2017-05-30,89.0,87.2200012207,88.3899993896,88.0999984741,816200.0,84.1287536621
2017-05-31,87.8199996948,85.8899993896,87.8099975586,87.4400024414,1317900.0,83.860206604
2017-06-01,89.1600036621,86.8099975586,87.7600021362,89.0,1115400.0,85.356338501
2017-06-02,89.0199966431,87.8099975586,88.1399993896,88.5100021362,1343000.0,84.8863983154
2017-06-05,89.4499969482,88.7200012207,88.7699966431,88.7300033569,933200.0,85.0973968506
2017-06-06,88.3799972534,87.0899963379,87.9700012207,87.6200027466,1038000.0,84.0328445435
2017-06-07,89.6200027466,87.5899963379,87.7200012207,89.1999969482,900700.0,85.5481414795
2017-06-08,91.0199966431,89.0299987793,89.4199981689,90.0899963379,1141900.0,86.4017105103
2017-06-09,91.8300018311,89.9499969482,90.4400024414,91.75,1222300.0,87.9937591553
2017-06-12,92.5599975586,91.3099975586,91.75,91.9100036621,1135300.0,88.1472091675
2017-06-13,93.0299987793,91.8199996948,92.1900024414,92.7300033569,1088600.0,88.933631897
2017-06-14,93.7200012207,91.25,91.5699996948,93.3600006104,1263900.0,89.5378494263
2017-06-15,94.2699966431,92.7600021362,93.1900024414,93.8899993896,882800.0,90.0461425781
2017-06-16,94.5899963379,93.5199966431,94.1200027466,94.5500030518,1525800.0,90.6791381836
2017-06-19,95.6299972534,94.75,94.9899978638,95.3000030518,907500.0,91.3984146118
2017-06-20,95.3899993896,94.5800018311,94.7600021362,94.6399993896,593400.0,90.7654418945
2017-06-21,94.7799987793,94.1100006104,94.75,94.3899993896,838600.0,90.5256729126
2017-06-22,94.7399978638,93.8000030518,94.0299987793,94.3399963379,801300.0,90.4777145386
2017-06-23,95.0199966431,93.6399993896,94.7900009155,94.0100021362,1143900.0,90.1612319946
2017-06-26,94.7699966431,93.5999984741,94.2099990845,94.1999969482,625600.0,90.3434448242
2017-06-27,95.75,94.1600036621,94.5699996948,95.4199981689,1189000.0,91.5134963989
2017-06-28,97.6999969482,95.7099990845,96.0,96.6600036621,1363900.0,92.7027511597
2017-06-29,98.7200012207,95.8499984741,98.0299987793,97.0,1440100.0,93.0288238525
2017-06-30,98.1200027466,96.9800033569,98.1200027466,97.2099990845,1138000.0,93.2302246094
2017-07-03,99.3000030518,97.6299972534,97.6699981689,98.3899993896,614800.0,94.361907959
2017-07-05,99.2900009155,97.9499969482,98.8799972534,98.9800033569,1175000.0,94.9277648926
2017-07-06,99.0500030518,97.2699966431,98.9899978638,97.5400009155,1403700.0,93.5467147827
2017-07-07,98.7099990845,97.4100036621,98.0800018311,98.1299972534,994100.0,94.1125564575
2017-07-10,99.0500030518,97.6999969482,97.8600006104,98.5500030518,863500.0,94.5153656006
2017-07-11,98.6299972534,97.6100006104,98.4100036621,97.9000015259,717900.0,93.8919677734
2017-07-12,98.0800018311,97.1699981689,97.9899978638,97.9800033569,828000.0,93.9686889648
2017-07-13,98.2399978638,97.5,98.2099990845,98.1900024414,940100.0,94.1701049805
2017-07-14,98.4400024414,96.6299972534,97.5299987793,98.1100006104,545100.0,94.0933685303
2017-07-17,98.9400024414,97.2300033569,98.0199966431,98.0299987793,623700.0,94.0166549683
2017-07-18,97.9400024414,96.6600036621,97.1699981689,97.3700027466,1340500.0,93.3836746216
2017-07-19,92.5,87.3600006104,91.5,89.2099990845,5279900.0,85.5577468872
2017-07-20,89.5299987793,87.0,89.2300033569,87.5,4028500.0,83.917755127
2017-07-21,87.9599990845,86.5699996948,87.5899963379,87.8399963379,2705800.0,84.2438278198
2017-07-24,88.4800033569,87.75,87.7799987793,87.9000015259,1760200.0,84.3013687134
2017-07-25,89.4400024414,87.8700027466,88.9599990845,88.1500015259,1553700.0,84.5411376953
2017-07-26,88.3700027466,87.5800018311,88.0800018311,87.9000015259,1307900.0,84.3013687134
2017-07-27,88.4300003052,86.9700012207,87.9199981689,87.6600036621,1213200.0,84.0712051392
2017-07-28,87.8899993896,87.0699996948,87.6500015259,87.2600021362,946300.0,83.6875686646
2017-07-31,87.8099975586,86.9599990845,87.3300018311,87.5100021362,981800.0,83.9273300171
2017-08-01,88.1999969482,87.1200027466,88.1600036621,88.1100006104,1282300.0,84.5027770996
2017-08-02,88.4000015259,87.3399963379,88.1100006104,88.1100006104,1053400.0,84.5027770996
2017-08-03,88.3700027466,87.8199996948,88.0999984741,87.9800033569,1196900.0,84.3781204224
2017-08-04,89.5,88.1500015259,88.4199981689,88.9899978638,1056800.0,85.3467559814
2017-08-07,89.1900024414,88.1200027466,88.8899993896,88.2900009155,645800.0,84.6754074097
2017-08-08,89.5100021362,87.7200012207,87.9199981689,88.7900009155,1042500.0,85.1549453735
2017-08-09,89.3099975586,88.0999984741,88.2399978638,89.2399978638,1271000.0,85.5865097046
2017-08-10,89.0699996948,87.0899963379,88.9400024414,87.1999969482,1845800.0,83.6300354004
2017-08-11,87.9300003052,86.7600021362,87.5999984741,87.1500015259,1043500.0,83.582069397
2017-08-14,89.0800018311,87.9199981689,88.1100006104,88.6399993896,1216600.0,85.0110778809
2017-08-15,89.6500015259,88.6699981689,89.25,88.6900024414,984300.0,85.0590362549
2017-08-16,89.8000030518,88.8000030518,89.0299987793,89.4800033569,1347200.0,85.816696167
2017-08-17,89.2399978638,87.3199996948,89.0999984741,87.4300003052,1376100.0,83.8506088257
2017-08-18,88.3499984741,87.0100021362,87.1699981689,87.9300003052,1149000.0,84.3301467896
2017-08-21,88.1399993896,87.4100036621,87.9000015259,87.8700027466,729800.0,84.272605896
2017-08-22,89.2399978638,87.8700027466,88.0999984741,89.0599975586,1285500.0,85.4138793945
2017-08-23,89.4899978638,88.4700012207,88.4800033569,89.2099990845,602800.0,85.5577468872
2017-08-24,89.9400024414,89.0400009155,89.5899963379,89.75,1746500.0,86.075630188
2017-08-25,90.5100021362,89.6600036621,89.9300003052,89.7300033569,1356300.0,86.0564575195
