Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,85.1800003052,83.5899963379,84.0,83.7600021362,3697700.0,76.5570678711
2017-01-11,85.5999984741,83.8000030518,83.9100036621,84.8899993896,3543500.0,77.5898895264
2017-01-12,85.1200027466,83.5100021362,85.0899963379,84.3399963379,2169400.0,77.0871963501
2017-01-13,84.1600036621,83.0699996948,84.0599975586,83.2900009155,2242900.0,76.127494812
2017-01-17,84.6500015259,83.0800018311,83.2099990845,83.5599975586,2379700.0,76.3742828369
2017-01-18,84.5100021362,83.5,83.5199966431,84.1299972534,1967400.0,76.8952560425
2017-01-19,84.0800018311,82.6800003052,83.9499969482,82.9899978638,1929600.0,75.8532791138
2017-01-20,84.0299987793,82.5800018311,83.4899978638,83.0400009155,2068200.0,75.8989715576
2017-01-23,83.3700027466,82.0199966431,83.2799987793,82.1999969482,2033700.0,75.1312255859
2017-01-24,84.4599990845,82.5500030518,82.6399993896,84.1900024414,2398500.0,76.9500961304
2017-01-25,85.2900009155,84.4700012207,84.7099990845,85.0,1707900.0,77.6904220581
2017-01-26,85.3399963379,84.0299987793,85.1800003052,84.2399978638,1618200.0,76.9957809448
2017-01-27,84.3499984741,82.5,84.0100021362,82.7699966431,2099300.0,75.6522064209
2017-01-30,82.75,81.6900024414,82.5,82.3300018311,2375000.0,75.2500457764
2017-01-31,82.3700027466,81.1500015259,82.0,81.6200027466,2740200.0,74.6011047363
2017-02-01,82.3199996948,80.3600006104,82.1100006104,80.75,3030200.0,73.8059005737
2017-02-02,81.2600021362,80.2300033569,80.9300003052,81.0500030518,3386800.0,74.080116272
2017-02-03,81.1999969482,78.8199996948,80.5,79.9499969482,3672500.0,73.0747070312
2017-02-06,80.1900024414,79.0,80.0,79.1399993896,3016700.0,72.3343734741
2017-02-07,79.1399993896,77.8099975586,79.0999984741,78.5500030518,3255400.0,71.7950973511
2017-02-08,79.0199966431,77.8099975586,78.25,78.8600006104,3042800.0,72.0784454346
2017-02-09,79.6299972534,78.8600006104,78.8600006104,79.25,2596900.0,72.4349060059
2017-02-10,79.9800033569,79.3799972534,79.4199981689,79.8600006104,2030700.0,72.9924468994
2017-02-13,80.1200027466,79.5699996948,79.8600006104,79.9000015259,2111900.0,73.029006958
2017-02-14,80.0999984741,79.1500015259,79.9800033569,79.9800033569,2543900.0,73.1021194458
2017-02-15,80.3899993896,79.6600036621,79.7300033569,80.0800018311,2272800.0,73.1935272217
2017-02-16,79.6900024414,78.4000015259,79.5999984741,78.5,2939200.0,72.3183517456
2017-02-17,79.2399978638,78.3499984741,78.4899978638,78.6600036621,2219200.0,72.4657516479
2017-02-21,79.3899993896,78.7600021362,79.0800018311,79.0299987793,2833700.0,72.8065948486
2017-02-22,79.0,78.2200012207,79.0,78.3799972534,2017500.0,72.2077941895
2017-02-23,79.3499984741,78.3600006104,79.0,78.6100006104,1864600.0,72.4196853638
2017-02-24,78.4899978638,77.6900024414,78.3899993896,78.0299987793,2225500.0,71.8853607178
2017-02-27,79.1900024414,78.0,78.1999969482,78.8600006104,2648400.0,72.6499938965
2017-02-28,79.1399993896,78.1100006104,78.7799987793,78.1900024414,3243100.0,72.0327606201
2017-03-01,80.0299987793,78.8799972534,78.9100036621,79.3700027466,3204500.0,73.1198348999
2017-03-02,79.3499984741,78.1600036621,79.2799987793,78.3300018311,2550400.0,72.1617355347
2017-03-03,79.0299987793,78.1800003052,78.5,78.3399963379,1737700.0,72.1709365845
