Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,78.8000030518,77.7600021362,78.1999969482,78.4100036621,1658500,78.4100036621
2016-12-13,81.1299972534,78.5,78.9499969482,80.5500030518,1679000,80.5500030518
2016-12-14,80.7900009155,78.8499984741,80.5800018311,79.0800018311,1923300,79.0800018311
2016-12-15,81.1399993896,78.7200012207,78.9599990845,80.4100036621,1080000,80.4100036621
2016-12-16,80.6999969482,79.5199966431,80.6500015259,79.9499969482,1868300,79.9499969482
2016-12-19,80.6200027466,79.3000030518,79.9199981689,80.4700012207,1295600,80.4700012207
2016-12-20,81.0800018311,79.2099990845,80.5299987793,79.3899993896,1530800,79.3899993896
2016-12-21,79.9899978638,78.3899993896,79.4400024414,79.7900009155,2997600,79.7900009155
2016-12-22,70.9499969482,68.5400009155,70.3000030518,68.7099990845,14674000,68.7099990845
2016-12-23,71.1800003052,69.0699996948,69.1800003052,71.0100021362,5656300,71.0100021362
2016-12-27,71.4499969482,69.9499969482,71.0599975586,70.1900024414,2707900,70.1900024414
2016-12-28,70.5599975586,69.6299972534,70.2699966431,70.0199966431,2290000,70.0199966431
2016-12-29,70.4800033569,69.5999984741,69.7699966431,69.6500015259,1781700,69.6500015259
2016-12-30,70.1900024414,68.9499969482,69.8000030518,69.6999969482,1621100,69.6999969482
2017-01-03,71.0599975586,69.3899993896,70.1200027466,70.1200027466,2187500,70.1200027466
2017-01-04,73.7699966431,71.1100006104,71.5199966431,73.0999984741,5529000,73.0999984741
2017-01-05,73.3700027466,72.3499984741,72.7399978638,73.0999984741,2259200,73.0999984741
2017-01-06,73.8899993896,72.9199981689,73.3099975586,73.8000030518,1687300,73.8000030518
2017-01-09,73.7600021362,71.9599990845,73.5199966431,72.1399993896,3246500,72.1399993896
2017-01-10,72.3700027466,71.1999969482,72.2600021362,71.6600036621,2439300,71.6600036621
2017-01-11,72.9700012207,71.9899978638,72.2399978638,72.3300018311,1710000,72.3300018311
2017-01-12,73.1399993896,71.5,72.7600021362,73.0299987793,1779300,73.0299987793
2017-01-13,73.6999969482,72.8399963379,72.8600006104,73.3600006104,1285700,73.3600006104
2017-01-17,73.3899993896,72.5999984741,73.3000030518,72.7699966431,1337500,72.7699966431
2017-01-18,73.6200027466,72.7799987793,72.8300018311,73.5999984741,1212400,73.5999984741
2017-01-19,74.4899978638,73.6399993896,73.6399993896,73.9199981689,2028000,73.9199981689
2017-01-20,74.5999984741,73.4599990845,74.1500015259,74.1999969482,1839500,74.1999969482
2017-01-23,74.3399963379,73.75,74.1999969482,74.0599975586,1097200,74.0599975586
2017-01-24,75.7900009155,73.8199996948,73.8499984741,75.4300003052,1437700,75.4300003052
2017-01-25,77.0999984741,75.9000015259,76.0,76.4300003052,2016000,76.4300003052
2017-01-26,77.1800003052,74.8899993896,77.0999984741,75.25,1859500,75.25
2017-01-27,75.8499984741,75.1200027466,75.6600036621,75.6999969482,1409700,75.6999969482
2017-01-30,75.6800003052,73.7600021362,75.1999969482,75.5100021362,1813500,75.5100021362
2017-01-31,76.0899963379,74.8600006104,75.4199981689,75.8799972534,1269100,75.8799972534
2017-02-01,76.25,74.6600036621,76.1200027466,76.0699996948,2383800,76.0699996948
2017-02-02,77.9599990845,75.2300033569,75.6699981689,77.7099990845,2069500,77.7099990845
2017-02-03,78.4899978638,77.4700012207,77.8399963379,78.1299972534,1327300,78.1299972534
2017-02-06,78.2900009155,77.4000015259,77.9599990845,78.2200012207,1326000,78.2200012207
2017-02-07,78.9800033569,78.2799987793,78.4599990845,78.8600006104,1154400,78.8600006104
2017-02-08,79.1800003052,78.4800033569,78.7399978638,78.6600036621,1590800,78.6600036621
2017-02-09,79.5599975586,78.6200027466,78.6600036621,79.3099975586,2041200,79.3099975586
2017-02-10,80.3600006104,78.8399963379,79.6200027466,79.25,1990400,79.25
2017-02-13,79.9300003052,78.6600036621,79.8199996948,79.7699966431,1738800,79.7699966431
2017-02-14,80.2300033569,79.3600006104,79.8300018311,80.0899963379,1314200,80.0899963379
2017-02-15,81.3600006104,79.5899963379,79.9300003052,81.0500030518,1845900,81.0500030518
2017-02-16,81.5500030518,80.8099975586,81.1900024414,81.5299987793,1476700,81.5299987793
2017-02-17,82.6399993896,81.2099990845,81.3899993896,82.5999984741,1816900,82.5999984741
2017-02-21,84.1500015259,82.4700012207,82.5,83.75,2124300,83.75
2017-02-22,84.7699966431,83.25,83.3499984741,84.7099990845,1713400,84.7099990845
2017-02-23,85.0,84.2399978638,84.8499984741,84.5999984741,1285300,84.5999984741
2017-02-24,84.8600006104,83.4400024414,83.6900024414,84.8600006104,1571100,84.8600006104
2017-02-27,85.0100021362,83.6100006104,84.6200027466,83.7799987793,2288200,83.7799987793
2017-02-28,83.6299972534,82.1699981689,83.0599975586,82.8099975586,2005800,82.8099975586
2017-03-01,84.1800003052,82.5100021362,83.4700012207,83.2399978638,2871900,83.2399978638
2017-03-02,82.9899978638,82.1800003052,82.9800033569,82.4300003052,1416500,82.4300003052
2017-03-03,82.4599990845,81.5500030518,82.2200012207,82.0500030518,1682200,82.0500030518
2017-03-06,82.4800033569,81.6100006104,81.8600006104,82.0299987793,1873000,82.0299987793
2017-03-07,82.8300018311,81.8000030518,82.1100006104,81.9700012207,1110800,81.9700012207
2017-03-08,82.5999984741,81.8700027466,82.2200012207,82.0500030518,1809000,82.0500030518
2017-03-09,82.0,80.9300003052,82.0,81.5599975586,1268800,81.5599975586
2017-03-10,82.8700027466,81.4199981689,82.3099975586,82.2099990845,1456100,82.2099990845
2017-03-13,83.2300033569,82.3499984741,82.4700012207,82.8799972534,1567600,82.8799972534
2017-03-14,82.7399978638,81.6500015259,82.6200027466,82.5800018311,923200,82.5800018311
2017-03-15,83.5100021362,82.5100021362,82.6900024414,83.2699966431,917700,83.2699966431
2017-03-16,84.5899963379,83.5500030518,83.6699981689,84.0999984741,1705200,84.0999984741
2017-03-17,84.6299972534,83.6100006104,84.4400024414,83.6500015259,1275500,83.6500015259
2017-03-20,84.7699966431,83.6399993896,83.75,84.5100021362,1250300,84.5100021362
2017-03-21,84.7200012207,81.2300033569,83.9599990845,81.3099975586,2677900,81.3099975586
2017-03-22,82.6999969482,81.0599975586,81.5800018311,82.5500030518,2024200,82.5500030518
2017-03-23,83.3300018311,82.1900024414,82.5100021362,82.7600021362,1472500,82.7600021362
2017-03-24,83.5699996948,82.6200027466,83.0100021362,82.9599990845,2286700,82.9599990845
2017-03-27,83.0999984741,81.9199981689,82.9000015259,82.1999969482,6108200,82.1999969482
2017-03-28,87.9100036621,85.8000030518,86.4700012207,86.4800033569,8557500,86.4800033569
2017-03-29,87.1800003052,86.1200027466,86.5699996948,86.7300033569,2370500,86.7300033569
2017-03-30,86.9499969482,85.7699966431,86.7600021362,85.9199981689,1802100,85.9199981689
2017-03-31,86.8300018311,85.6600036621,85.8899993896,86.5,2302900,86.5
2017-04-03,88.0500030518,85.9199981689,86.5599975586,86.4800033569,2448000,86.4800033569
2017-04-04,86.5999984741,85.4400024414,86.1800003052,85.6100006104,1519000,85.6100006104
2017-04-05,85.9499969482,84.4800033569,85.75,84.6800003052,2630900,84.6800003052
2017-04-06,85.3300018311,84.2099990845,84.7200012207,85.0,1824200,85.0
2017-04-07,85.3700027466,84.5899963379,84.9599990845,84.9100036621,1341400,84.9100036621
2017-04-10,85.4100036621,84.7600021362,84.8600006104,85.0400009155,1126800,85.0400009155
2017-04-11,85.6200027466,84.3600006104,84.8499984741,85.1600036621,957700,85.1600036621
2017-04-12,85.7699966431,84.9499969482,85.0,85.4300003052,1958500,85.4300003052
2017-04-13,86.4100036621,85.1699981689,85.3000030518,85.9300003052,1521500,85.9300003052
2017-04-17,86.4899978638,85.9700012207,86.1900024414,86.1699981689,2199300,86.1699981689
2017-04-18,87.0500030518,85.5,85.75,86.7399978638,1401900,86.7399978638
2017-04-19,87.4599990845,86.6200027466,86.75,87.2699966431,1185200,87.2699966431
2017-04-20,87.8300018311,86.3799972534,87.3300018311,87.4199981689,1430700,87.4199981689
2017-04-21,87.6800003052,86.9400024414,87.3700027466,87.0199966431,941200,87.0199966431
2017-04-24,88.0500030518,87.0599975586,87.9599990845,87.4400024414,1626100,87.4400024414
2017-04-25,88.0,87.5400009155,87.8000030518,87.5899963379,899900,87.5899963379
2017-04-26,87.9800033569,87.3399963379,87.6299972534,87.7099990845,1050500,87.7099990845
2017-04-27,88.5299987793,87.0500030518,87.75,88.1500015259,899900,88.1500015259
2017-04-28,88.2099990845,87.2300033569,88.0199966431,88.0800018311,1163400,88.0800018311
2017-05-01,88.4300003052,87.6800003052,88.2799987793,88.2900009155,1155200,88.2900009155
2017-05-02,89.2200012207,88.0999984741,88.6200027466,88.1800003052,1489000,88.1800003052
2017-05-03,87.9800033569,86.5199966431,87.9800033569,87.2300033569,1497500,87.2300033569
2017-05-04,88.0400009155,87.1200027466,87.4199981689,87.8899993896,1261400,87.8899993896
2017-05-05,88.6699981689,87.8300018311,88.1200027466,88.6100006104,709400,88.6100006104
2017-05-08,88.8199996948,87.9800033569,88.4599990845,88.1999969482,1163800,88.1999969482
2017-05-09,88.7900009155,87.9300003052,88.2300033569,88.5800018311,969700,88.5800018311
2017-05-10,89.2099990845,88.0999984741,88.5299987793,89.1399993896,1341800,89.1399993896
