Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,170.779998779,163.960006714,169.470001221,165.990005493,618600,165.990005493
2016-12-13,168.410003662,163.539993286,167.229995728,167.13999939,755500,167.13999939
2016-12-14,170.169998169,163.649993896,165.61000061,166.649993896,569300,166.649993896
2016-12-15,175.61000061,166.190002441,168.0,173.020004272,766200,173.020004272
2016-12-16,173.63999939,167.679992676,172.570007324,168.220001221,1442100,168.220001221
2016-12-19,169.419998169,166.070007324,168.649993896,169.070007324,404800,169.070007324
2016-12-20,172.050003052,169.949996948,170.449996948,171.899993896,251300,171.899993896
2016-12-21,173.270004272,170.490005493,172.100006104,172.309997559,337100,172.309997559
2016-12-22,173.5,171.630004883,173.199996948,173.429992676,335700,173.429992676
2016-12-23,173.759994507,170.539993286,173.0,173.5,244900,173.5
2016-12-27,175.740005493,171.740005493,173.520004272,174.220001221,244500,174.220001221
2016-12-28,175.229995728,171.589996338,175.0,172.679992676,263900,172.679992676
2016-12-29,173.440002441,168.800003052,170.880004883,170.380004883,243300,170.380004883
2016-12-30,173.050003052,169.75,171.419998169,171.660003662,264100,171.660003662
2017-01-03,176.779998779,169.410003662,174.660003662,172.119995117,488800,172.119995117
2017-01-04,179.380004883,172.130004883,172.130004883,178.979995728,597100,178.979995728
2017-01-05,179.970001221,173.259994507,178.289993286,175.169998169,601800,175.169998169
2017-01-06,179.350006104,175.479995728,176.410003662,177.520004272,401700,177.520004272
2017-01-09,176.339996338,173.419998169,176.339996338,174.330001831,495100,174.330001831
2017-01-10,176.479995728,173.509994507,175.679992676,175.949996948,470800,175.949996948
2017-01-11,177.550003052,173.86000061,175.949996948,177.529998779,406700,177.529998779
2017-01-12,177.36000061,171.36000061,176.039993286,174.509994507,418900,174.509994507
2017-01-13,180.479995728,174.020004272,175.910003662,176.589996338,307500,176.589996338
2017-01-17,174.759994507,167.169998169,174.100006104,167.570007324,616200,167.570007324
2017-01-18,168.990005493,165.050003052,168.5,168.809997559,1079100,168.809997559
2017-01-19,170.490005493,167.130004883,169.339996338,168.589996338,423100,168.589996338
2017-01-20,171.210006714,168.770004272,168.88999939,170.11000061,439200,170.11000061
2017-01-23,170.649993896,165.699996948,168.720001221,167.990005493,513500,167.990005493
2017-01-24,173.369995117,168.300003052,169.339996338,172.419998169,555100,172.419998169
2017-01-25,176.300003052,173.009994507,174.559997559,175.589996338,549100,175.589996338
2017-01-26,178.5,175.75,176.449996948,177.660003662,496100,177.660003662
2017-01-27,180.0,172.009994507,175.029998779,177.410003662,614900,177.410003662
2017-01-30,177.0,170.190002441,175.88999939,174.75,652000,174.75
2017-01-31,176.050003052,170.300003052,174.539993286,172.229995728,727800,172.229995728
2017-02-01,177.440002441,171.669998169,174.509994507,172.809997559,509800,172.809997559
2017-02-02,173.0,169.470001221,171.490005493,170.929992676,496900,170.929992676
2017-02-03,178.470001221,172.649993896,173.61000061,178.050003052,623500,178.050003052
2017-02-06,178.789993286,174.910003662,176.960006714,176.020004272,347500,176.020004272
2017-02-07,178.789993286,175.770004272,177.25,176.240005493,371700,176.240005493
