Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,107.190002441,105.629997253,107.080001831,106.050003052,666100.0,97.2663803101
2017-01-11,106.580001831,104.940002441,106.120002747,105.050003052,624000.0,96.3491973877
2017-01-12,106.269996643,104.269996643,105.080001831,106.169998169,527300.0,97.3764266968
2017-01-13,106.870002747,106.050003052,106.069999695,106.459999084,532700.0,97.6424102783
2017-01-17,108.230003357,105.779998779,106.309997559,108.010002136,951300.0,99.0640335083
2017-01-18,109.559997559,107.410003662,108.069999695,108.870002747,702200.0,99.8528137207
2017-01-19,108.970001221,106.900001526,108.519996643,107.330001831,666000.0,98.4403533936
2017-01-20,108.129997253,106.63999939,107.410003662,108.099998474,452100.0,99.1465835571
2017-01-23,109.75,107.839996338,107.849998474,109.61000061,384000.0,100.531517029
2017-01-24,110.330001831,109.019996643,109.900001526,109.379997253,528100.0,100.32056427
2017-01-25,110.489997864,108.160003662,109.660003662,108.730003357,695300.0,99.7244033813
2017-01-26,111.010002136,109.339996338,109.5,110.019996643,661400.0,100.907554626
2017-01-27,110.620002747,107.819999695,110.25,109.599998474,725600.0,100.522354126
2017-01-30,109.970001221,108.309997559,109.150001526,109.040000916,549500.0,100.008735657
2017-01-31,110.290000916,108.819999695,108.849998474,108.970001221,739600.0,99.9445343018
2017-02-01,110.779998779,106.760002136,109.040000916,106.900001526,674300.0,98.0459823608
2017-02-02,109.010002136,106.650001526,107.040000916,108.489997864,569300.0,99.5042877197
2017-02-03,110.540000916,108.680000305,109.620002747,108.879997253,556800.0,99.8619689941
2017-02-06,109.0,107.739997864,108.709999084,108.510002136,506800.0,99.5226211548
2017-02-07,109.930000305,107.129997253,108.809997559,107.38999939,594900.0,98.4953842163
2017-02-08,109.019996643,107.199996948,107.680000305,108.470001221,335800.0,99.4859390259
2017-02-09,109.209999084,108.230003357,108.63999939,108.989997864,449300.0,99.9628677368
2017-02-10,109.870002747,108.669998169,108.959999084,109.790000916,425600.0,100.696601868
2017-02-13,110.660003662,108.86000061,110.089996338,110.309997559,389300.0,101.173538208
2017-02-14,111.459999084,109.010002136,110.279998779,111.040000916,568100.0,101.843078613
2017-02-15,111.540000916,109.550003052,110.650001526,111.160003662,525000.0,101.953140259
2017-02-16,112.940002441,110.400001526,111.529998779,110.709999084,574100.0,101.540405273
2017-02-17,111.339996338,109.699996948,110.63999939,111.279998779,383800.0,102.063194275
2017-02-21,112.629997253,110.809997559,111.199996948,112.319999695,533400.0,103.017051697
2017-02-22,112.779998779,111.099998474,112.430000305,112.419998169,530100.0,103.108772278
2017-02-23,113.739997864,111.480003357,112.809997559,112.029998779,451400.0,102.751083374
2017-02-24,112.180000305,110.569999695,111.919998169,111.739997864,605200.0,102.485092163
2017-02-27,113.209999084,111.650001526,112.050003052,112.720001221,362500.0,103.383926392
2017-02-28,112.930000305,111.589996338,112.589996338,112.680000305,601400.0,103.347251892
2017-03-01,115.339996338,111.38999939,112.720001221,113.75,1087100.0,104.328613281
2017-03-02,113.75,111.069999695,113.75,111.5,842900.0,102.264976501
2017-03-03,112.599998474,110.919998169,111.88999939,112.290000916,620600.0,102.989547729
2017-03-06,113.239997864,111.75,112.069999695,112.819999695,662700.0,103.475639343
2017-03-07,113.040000916,111.400001526,112.63999939,112.120002747,496400.0,102.833625793
2017-03-08,112.010002136,110.690002441,111.779998779,110.779998779,578400.0,101.604614258
2017-03-09,111.319999695,108.029998779,110.86000061,108.849998474,750100.0,99.8344650269
2017-03-10,110.160003662,106.25,108.849998474,106.680000305,780800.0,97.8441925049
2017-03-13,107.279998779,106.239997864,106.709999084,106.440002441,829500.0,97.6240768433
2017-03-14,106.430000305,105.279998779,106.410003662,105.709999084,463400.0,96.9545288086
2017-03-15,109.300003052,105.790000916,105.790000916,108.800003052,610000.0,99.7886123657
2017-03-16,109.620002747,108.010002136,108.510002136,108.209999084,624400.0,99.247467041
2017-03-17,110.080001831,107.88999939,108.580001831,109.309997559,1418400.0,100.256355286
2017-03-20,109.510002136,108.430000305,109.25,108.88999939,329900.0,99.8711471558
2017-03-21,109.589996338,106.650001526,109.589996338,106.769996643,594600.0,97.9267349243
2017-03-22,107.129997253,104.970001221,107.0,105.709999084,633300.0,96.9545288086
2017-03-23,108.339996338,105.809997559,105.809997559,107.559997559,833100.0,98.6513137817
2017-03-24,108.199996948,106.620002747,107.930000305,106.790000916,419800.0,97.9450759888
2017-03-27,106.75,104.980003357,106.099998474,105.519996643,444700.0,96.7802734375
2017-03-28,105.959999084,103.660003662,105.660003662,105.5,538100.0,96.7619247437
2017-03-29,104.819999695,103.540000916,104.75,104.620002747,762800.0,96.6649169922
2017-03-30,105.459999084,103.930000305,104.589996338,105.160003662,420400.0,97.1638565063
2017-03-31,106.86000061,104.449996948,105.089996338,106.620002747,763700.0,98.512840271
2017-04-03,107.099998474,106.089996338,106.569999695,106.819999695,431300.0,98.6976242065
2017-04-04,107.63999939,106.239997864,106.800003052,107.36000061,608000.0,99.1965637207
2017-04-05,108.61000061,107.11000061,107.449996948,107.25,503000.0,99.0949401855
2017-04-06,108.980003357,106.680000305,107.120002747,108.589996338,580400.0,100.333023071
2017-04-07,109.349998474,107.489997864,108.629997253,107.61000061,802200.0,99.4275588989
2017-04-10,108.839996338,107.480003357,107.88999939,108.489997864,458200.0,100.240653992
2017-04-11,109.269996643,108.099998474,108.370002747,109.050003052,509900.0,100.75806427
2017-04-12,109.489997864,108.569999695,109.11000061,108.910003662,441000.0,100.628715515
2017-04-13,108.819999695,107.699996948,108.779998779,107.849998474,258500.0,99.649307251
2017-04-17,109.779998779,107.830001831,107.919998169,109.730003357,391500.0,101.386352539
2017-04-18,109.949996948,108.120002747,109.239997864,108.580001831,401300.0,100.323806763
2017-04-19,109.379997253,107.569999695,108.879997253,107.959999084,591700.0,99.7509384155
2017-04-20,107.940002441,104.819999695,106.919998169,106.86000061,1312000.0,98.734588623
2017-04-21,108.0,106.440002441,106.779998779,107.669998169,996600.0,99.4829864502
2017-04-24,108.75,106.120002747,108.569999695,107.069999695,1035100.0,98.9286193848
2017-04-25,108.36000061,106.660003662,107.069999695,108.260002136,751700.0,100.028129578
2017-04-26,108.230003357,105.989997864,108.0,106.029998779,843500.0,97.9676971436
2017-04-27,106.309997559,104.739997864,106.029998779,105.129997253,568900.0,97.1361236572
2017-04-28,105.260002136,104.040000916,105.010002136,104.930000305,677700.0,96.9513397217
2017-05-01,105.86000061,104.739997864,105.13999939,105.599998474,472400.0,97.5703964233
2017-05-02,106.459999084,104.88999939,105.690002441,106.209999084,761600.0,98.1340179443
2017-05-03,106.5,104.63999939,106.5,105.160003662,498800.0,97.1638565063
2017-05-04,105.11000061,103.790000916,105.010002136,104.86000061,759100.0,96.8866577148
2017-05-05,105.900001526,104.809997559,105.040000916,105.510002136,335200.0,97.4872360229
2017-05-08,106.029998779,104.239997864,105.699996948,104.739997864,538500.0,96.7757873535
2017-05-09,104.779998779,103.220001221,104.650001526,103.5,505400.0,95.6300811768
2017-05-10,104.800003052,103.059997559,103.5,104.230003357,432200.0,96.3045654297
2017-05-11,103.949996948,102.169998169,103.790000916,103.470001221,643700.0,95.602355957
2017-05-12,103.769996643,102.540000916,103.279998779,102.699996948,422800.0,94.8908996582
2017-05-15,104.230003357,102.180000305,102.760002136,102.720001221,584100.0,94.9093856812
2017-05-16,102.739997864,101.819999695,102.739997864,102.239997864,523200.0,94.4658737183
2017-05-17,103.61000061,100.690002441,101.230003357,102.019996643,768000.0,94.2626190186
2017-05-18,103.470001221,101.470001221,102.220001221,101.86000061,952000.0,94.1147689819
2017-05-19,103.209999084,101.580001831,101.839996338,102.25,1075400.0,94.4751281738
2017-05-22,103.36000061,102.309997559,102.510002136,102.5,558100.0,94.7061080933
2017-05-23,103.730003357,102.290000916,102.629997253,102.910003662,426700.0,95.0849456787
2017-05-24,103.519996643,102.120002747,103.190002441,102.169998169,498600.0,94.4011993408
2017-05-25,103.099998474,102.029998779,102.300003052,102.660003662,821700.0,94.8539505005
2017-05-26,103.129997253,101.480003357,102.739997864,101.839996338,455800.0,94.0962982178
2017-05-30,102.400001526,101.209999084,102.0,101.220001221,720800.0,93.5234451294
2017-05-31,101.980003357,100.800003052,101.199996948,101.029998779,1221400.0,93.3478851318
2017-06-01,102.879997253,100.879997253,100.930000305,102.709999084,808400.0,94.9001464844
2017-06-02,103.699996948,102.489997864,103.099998474,103.309997559,740000.0,95.4545135498
2017-06-05,103.519996643,102.489997864,103.25,103.169998169,440100.0,95.3251647949
2017-06-06,103.13999939,101.410003662,103.13999939,101.669998169,737100.0,93.9392318726
2017-06-07,102.410003662,101.660003662,101.949996948,102.330001831,683100.0,94.5490341187
2017-06-08,104.169998169,102.0,102.330001831,103.550003052,704800.0,95.6762771606
2017-06-09,106.5,103.349998474,103.599998474,106.180000305,848900.0,98.106300354
2017-06-12,109.0,106.099998474,106.36000061,108.330001831,1260300.0,100.092811584
2017-06-13,108.169998169,106.190002441,107.13999939,107.169998169,754300.0,99.0210113525
2017-06-14,107.870002747,105.849998474,107.550003052,106.239997864,617400.0,98.1617355347
2017-06-15,106.720001221,105.660003662,105.660003662,106.069999695,531100.0,98.0046615601
2017-06-16,106.36000061,105.190002441,106.349998474,105.730003357,1321500.0,97.6905136108
2017-06-19,105.790000916,104.739997864,105.580001831,105.13999939,630400.0,97.1453781128
2017-06-20,105.720001221,104.370002747,105.209999084,105.319999695,685800.0,97.3116912842
2017-06-21,107.519996643,105.800003052,105.800003052,106.519996643,1346100.0,98.4204330444
2017-06-22,107.699996948,106.089996338,106.63999939,106.300003052,1010000.0,98.2171707153
2017-06-23,108.13999939,106.309997559,106.309997559,106.769996643,590900.0,98.6514282227
2017-06-26,107.540000916,106.589996338,107.129997253,106.730003357,442300.0,98.6144790649
2017-06-27,107.190002441,105.849998474,106.519996643,105.970001221,653400.0,97.9122619629
2017-06-28,106.230003357,105.440002441,105.790000916,105.720001221,657100.0,98.4009094238
2017-06-29,106.0,105.099998474,105.510002136,105.720001221,1106700.0,98.4009094238
2017-06-30,106.400001526,105.330001831,106.13999939,105.800003052,1063900.0,98.4753799438
2017-07-03,107.800003052,105.739997864,106.089996338,107.519996643,419900.0,100.076286316
2017-07-05,107.879997253,105.660003662,107.419998169,105.919998169,557400.0,98.5870666504
2017-07-06,105.86000061,102.589996338,105.86000061,102.75,895400.0,95.6365203857
2017-07-07,103.089996338,101.870002747,102.739997864,102.430000305,744500.0,95.338684082
2017-07-10,102.870002747,100.699996948,102.599998474,100.720001221,523100.0,93.7470626831
2017-07-11,100.699996948,99.2200012207,100.699996948,99.4499969482,942900.0,92.5649795532
2017-07-12,101.330001831,99.8300018311,100.239997864,100.720001221,1077000.0,93.7470626831
2017-07-13,103.599998474,101.199996948,101.620002747,103.519996643,999400.0,96.3532180786
2017-07-14,105.059997559,103.730003357,103.959999084,104.699996948,585700.0,97.4515151978
2017-07-17,105.660003662,104.019996643,104.599998474,104.879997253,663300.0,97.6190643311
2017-07-18,105.11000061,103.0,104.63999939,103.339996338,802700.0,96.1856765747
