Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,79.2699966431,77.7099990845,78.8499984741,78.0400009155,979100,78.0400009155
2017-01-11,80.3399963379,78.0500030518,78.1900024414,80.1600036621,1318200,80.1600036621
2017-01-12,79.8199996948,78.2200012207,79.5599975586,79.5299987793,539100,79.5299987793
2017-01-13,80.2300033569,79.0100021362,79.4499969482,79.6600036621,440500,79.6600036621
2017-01-17,80.8000030518,79.0400009155,79.6900024414,80.6299972534,895200,80.6299972534
2017-01-18,81.1600036621,80.0800018311,80.4899978638,80.5100021362,637100,80.5100021362
2017-01-19,80.9800033569,79.75,80.7399978638,79.9599990845,999700,79.9599990845
2017-01-20,80.4300003052,79.5299987793,79.6299972534,80.3499984741,696100,80.3499984741
2017-01-23,80.0100021362,79.2799987793,79.5599975586,79.9199981689,844400,79.9199981689
2017-01-24,80.9400024414,79.6399993896,79.9899978638,80.9000015259,638300,80.9000015259
2017-01-25,81.8199996948,81.0800018311,81.1200027466,81.5100021362,669200,81.5100021362
2017-01-26,81.8499984741,80.1900024414,81.6299972534,80.9899978638,590500,80.9899978638
2017-01-27,80.6500015259,77.4199981689,80.6500015259,77.5800018311,1844300,77.5800018311
2017-01-30,78.4300003052,76.0599975586,77.1500015259,76.3000030518,1088200,76.3000030518
2017-01-31,77.1600036621,76.0,76.0999984741,77.1399993896,872900,77.1399993896
2017-02-01,77.5899963379,76.0599975586,77.1100006104,76.4800033569,772500,76.4800033569
2017-02-02,76.9000015259,75.9100036621,76.4499969482,76.8000030518,519100,76.8000030518
2017-02-03,77.0299987793,72.0,76.9100036621,73.7099990845,3443300,73.7099990845
2017-02-06,75.9800033569,73.3499984741,73.8300018311,75.3099975586,1539600,75.3099975586
2017-02-07,76.5599975586,74.4700012207,75.2900009155,74.8399963379,898200,74.8399963379
2017-02-08,75.7200012207,74.3700027466,74.8000030518,75.4499969482,564200,75.4499969482
2017-02-09,76.5599975586,75.4000015259,75.7099990845,76.1800003052,563600,76.1800003052
2017-02-10,77.0500030518,75.5599975586,76.2300033569,76.7699966431,483300,76.7699966431
2017-02-13,78.3199996948,76.2300033569,76.8499984741,78.1900024414,986600,78.1900024414
2017-02-14,78.3600006104,77.4599990845,78.1200027466,77.5599975586,696700,77.5599975586
2017-02-15,78.3099975586,76.8000030518,77.25,77.3899993896,861500,77.3899993896
2017-02-16,86.7699966431,80.8700027466,81.4599990845,83.3499984741,4370500,83.3499984741
2017-02-17,85.2900009155,82.7900009155,83.1800003052,85.1500015259,2140100,85.1500015259
2017-02-21,85.8899993896,84.5,84.7900009155,85.7600021362,1241600,85.7600021362
2017-02-22,86.75,84.9700012207,85.8499984741,85.4100036621,808400,85.4100036621
2017-02-23,85.8000030518,84.3600006104,85.25,84.6900024414,1111700,84.6900024414
2017-02-24,84.4000015259,82.0999984741,84.4000015259,82.9300003052,1021900,82.9300003052
2017-02-27,83.7900009155,82.9599990845,83.25,83.4199981689,753100,83.4199981689
2017-02-28,83.9800033569,82.7600021362,83.6399993896,82.8799972534,711500,82.8799972534
2017-03-01,83.4400024414,82.5699996948,83.3000030518,82.6399993896,512500,82.6399993896
2017-03-02,83.1100006104,81.6500015259,82.5299987793,82.1299972534,1026400,82.1299972534
2017-03-03,82.2900009155,80.0999984741,81.9000015259,80.7300033569,886800,80.7300033569
2017-03-06,80.7900009155,79.2600021362,80.75,79.8499984741,785300,79.8499984741
2017-03-07,82.2399978638,80.4899978638,81.1900024414,80.8600006104,1124500,80.8600006104
2017-03-08,81.8499984741,80.5100021362,80.6399993896,81.6399993896,839600,81.6399993896
2017-03-09,81.9300003052,80.8799972534,81.7399978638,81.7600021362,637000,81.7600021362
2017-03-10,82.3600006104,81.4899978638,81.9400024414,81.8199996948,546000,81.8199996948
2017-03-13,82.3499984741,81.4899978638,81.9199981689,82.2300033569,806300,82.2300033569
2017-03-14,82.5599975586,81.9899978638,82.0599975586,82.3099975586,546900,82.3099975586
2017-03-15,83.5100021362,82.0,82.25,83.0299987793,598100,83.0299987793
2017-03-16,83.4599990845,82.7900009155,82.9800033569,83.2799987793,512500,83.2799987793
2017-03-17,84.6800003052,83.0500030518,83.3799972534,84.1500015259,1067300,84.1500015259
2017-03-20,84.8600006104,83.3899993896,84.5299987793,83.5100021362,866400,83.5100021362
2017-03-21,83.6999969482,81.9599990845,83.6999969482,82.3799972534,1230000,82.3799972534
2017-03-22,82.6900024414,81.0,81.0,82.0899963379,864800,82.0899963379
2017-03-23,83.3600006104,81.6399993896,82.25,82.0400009155,1226800,82.0400009155
2017-03-24,82.4400024414,81.6999969482,82.2399978638,82.0500030518,536700,82.0500030518
2017-03-27,82.2300033569,81.1100006104,81.6699981689,81.6100006104,589700,81.6100006104
2017-03-28,81.75,80.5100021362,81.75,81.1299972534,550500,81.1299972534
2017-03-29,81.0,80.2900009155,80.9000015259,80.6500015259,670000,80.6500015259
2017-03-30,81.4700012207,80.3499984741,80.4300003052,81.3600006104,676600,81.3600006104
2017-03-31,83.2200012207,81.3899993896,81.4300003052,82.8899993896,754900,82.8899993896
2017-04-03,83.25,81.3499984741,82.9300003052,81.8499984741,1022200,81.8499984741
2017-04-04,82.6399993896,80.9499969482,81.9800033569,81.0699996948,470800,81.0699996948
2017-04-05,83.3199996948,80.9700012207,81.1600036621,82.3000030518,839700,82.3000030518
2017-04-06,82.9899978638,81.8300018311,82.4100036621,82.5100021362,658900,82.5100021362
2017-04-07,82.9899978638,81.6500015259,82.4700012207,81.8700027466,628500,81.8700027466
2017-04-10,82.6900024414,81.9000015259,81.9499969482,82.5699996948,417500,82.5699996948
2017-04-11,82.5500030518,81.1900024414,82.2399978638,81.8199996948,349900,81.8199996948
2017-04-12,81.7600021362,80.8499984741,81.6200027466,81.2699966431,433100,81.2699966431
2017-04-13,83.1100006104,81.3099975586,81.7200012207,81.9199981689,856000,81.9199981689
2017-04-17,83.0500030518,81.6699981689,82.3000030518,82.9499969482,514600,82.9499969482
2017-04-18,83.4000015259,82.2099990845,82.4899978638,83.2600021362,471900,83.2600021362
2017-04-19,84.1200027466,83.2200012207,83.5400009155,83.8199996948,621800,83.8199996948
2017-04-20,85.2399978638,83.8700027466,84.3199996948,85.1200027466,790500,85.1200027466
2017-04-21,85.8799972534,85.1100006104,85.25,85.5599975586,727900,85.5599975586
2017-04-24,86.9400024414,85.6999969482,86.3000030518,86.1999969482,1116100,86.1999969482
2017-04-25,86.8799972534,86.0,86.4499969482,86.7900009155,693100,86.7900009155
2017-04-26,87.3499984741,86.2900009155,86.7099990845,86.5400009155,582800,86.5400009155
2017-04-27,87.3300018311,85.4599990845,86.5699996948,85.6299972534,498300,85.6299972534
2017-04-28,85.9199981689,84.7799987793,85.4899978638,85.3399963379,797600,85.3399963379
