Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,24.9300003052,24.6800003052,24.8199996948,24.7000007629,6064600.0,23.8182220459
2016-12-13,25.1100006104,24.7600002289,24.8199996948,24.9099998474,4856900.0,24.0207252502
2016-12-14,25.0499992371,24.75,24.9500007629,24.8400001526,7303300.0,23.9532222748
2016-12-15,24.9400005341,24.4500007629,24.6399993896,24.7999992371,7206400.0,23.9146499634
2016-12-16,24.8899993896,23.9500007629,24.8700008392,24.0799999237,10620900.0,23.2203521729
2016-12-19,24.25,23.9500007629,24.0699996948,24.2199993134,4632600.0,23.3553581238
2016-12-20,24.4599990845,24.1000003815,24.2099990845,24.1499996185,4320900.0,23.2878570557
2016-12-21,24.3600006104,24.0499992371,24.1800003052,24.25,2456900.0,23.3842849731
2016-12-22,24.2600002289,24.0100002289,24.2399997711,24.1100006104,3664200.0,23.2492847443
2016-12-23,24.2399997711,24.0,24.1000003815,24.1399993896,3387400.0,23.2782115936
2016-12-27,24.5100002289,24.0900001526,24.2000007629,24.3600006104,4184100.0,23.49036026
2016-12-28,24.4699993134,24.0900001526,24.4699993134,24.1499996185,2739700.0,23.2878570557
2016-12-29,24.3299999237,24.0599994659,24.0900001526,24.2299995422,3071300.0,23.3649997711
2016-12-30,24.3700008392,23.8199996948,24.2299995422,23.8899993896,3747100.0,23.0371360779
2017-01-03,24.0599994659,23.7700004578,23.9400005341,24.0100002289,6176100.0,23.1528549194
2017-01-04,24.3999996185,23.9400005341,24.0799999237,24.2199993134,5506700.0,23.3553581238
2017-01-05,24.7199993134,24.1399993896,24.2000007629,24.6499996185,7982800.0,23.7700061798
2017-01-06,25.0599994659,24.5499992371,24.6499996185,25.0100002289,6615400.0,24.117149353
2017-01-09,25.1000003815,24.9599990845,25.0699996948,24.9899997711,4309000.0,24.0978679657
2017-01-10,25.25,24.9300003052,25.0400009155,25.1299991608,3859900.0,24.2328701019
2017-01-11,25.5,25.0499992371,25.1000003815,25.4699993134,3968100.0,24.5607318878
2017-01-12,25.7299995422,25.2000007629,25.3799991608,25.7000007629,4598000.0,24.7825241089
2017-01-13,26.1800003052,25.6399993896,25.7099990845,26.1399993896,5102700.0,25.2068119049
2017-01-17,26.2299995422,25.7900009155,26.0699996948,26.2000007629,6600700.0,25.2646770477
2017-01-18,26.6900005341,26.2099990845,26.25,26.4099998474,9641700.0,25.4671764374
2017-01-19,26.6800003052,26.3799991608,26.4500007629,26.5599994659,7631600.0,25.6118202209
2017-01-20,26.8299999237,26.5699996948,26.7000007629,26.6499996185,5620100.0,25.6986083984
2017-01-23,26.8299999237,26.5599994659,26.6499996185,26.7600002289,5430400.0,25.804681778
2017-01-24,27.4599990845,26.75,26.75,27.3500003815,6056800.0,26.3736171722
2017-01-25,27.6299991608,27.1900005341,27.4300003052,27.2600002289,16575300.0,26.2868309021
2017-01-26,27.4300003052,27.0499992371,27.3099994659,27.2099990845,8121400.0,26.2386169434
2017-01-27,27.4099998474,27.1299991608,27.2900009155,27.3500003815,6373100.0,26.3736171722
2017-01-30,27.3999996185,27.0499992371,27.3400001526,27.2700004578,5014900.0,26.2964725494
2017-01-31,27.5599994659,27.0,27.1200008392,27.5499992371,9917700.0,26.5664787292
2017-02-01,27.7000007629,26.9599990845,27.6499996185,27.25,12311300.0,26.2771854401
2017-02-02,27.8400001526,26.4400005341,26.6200008392,27.7600002289,15998200.0,26.7689819336
2017-02-03,28.5200004578,27.6700000763,27.8700008392,28.4099998474,6990600.0,27.3957748413
2017-02-06,28.4599990845,28.1200008392,28.3700008392,28.2600002289,7386200.0,27.2511310577
2017-02-07,28.6000003815,28.1599998474,28.3400001526,28.4400005341,5406800.0,27.4247055054
2017-02-08,28.7099990845,28.2800006866,28.3999996185,28.6100006104,5696300.0,27.5886383057
2017-02-09,29.1399993896,28.5200004578,28.6200008392,28.9899997711,6465400.0,27.9550685883
2017-02-10,29.2600002289,28.9400005341,29.0799999237,29.0200004578,4720300.0,27.9839992523
2017-02-13,29.3500003815,29.0100002289,29.1000003815,29.0599994659,3748500.0,28.0225696564
2017-02-14,29.1100006104,28.5400009155,29.0200004578,28.6800003052,11324200.0,27.6561336517
2017-02-15,28.6299991608,28.2000007629,28.5499992371,28.5200004578,8520500.0,27.5739536285
2017-02-16,28.6299991608,27.9699993134,28.2900009155,28.4699993134,9734600.0,27.5981884003
2017-02-17,28.8299999237,28.3299999237,28.4599990845,28.7999992371,5580200.0,27.9180850983
2017-02-21,29.1900005341,28.7000007629,28.7700004578,28.8099994659,7516300.0,27.9277763367
2017-02-22,28.9200000763,28.5599994659,28.7999992371,28.6000003815,7240500.0,27.7242107391
2017-02-23,28.7600002289,28.5,28.6399993896,28.5799999237,4043900.0,27.704826355
2017-02-24,28.8400001526,28.3999996185,28.6399993896,28.8400001526,3740800.0,27.956861496
2017-02-27,28.8400001526,28.4899997711,28.7999992371,28.6800003052,2732600.0,27.8017578125
2017-02-28,28.7199993134,28.4200000763,28.6200008392,28.5699996948,3889800.0,27.6951293945
2017-03-01,29.1900005341,28.6700000763,28.75,29.0900001526,4361100.0,28.1992034912
2017-03-02,29.4699993134,28.7099990845,28.9599990845,29.2000007629,9702600.0,28.3058357239
2017-03-03,29.2999992371,28.8999996185,29.1100006104,29.2199993134,6370900.0,28.3252239227
2017-03-06,29.1800003052,28.2199993134,28.3299999237,29.1200008392,5779900.0,28.2282867432
2017-03-07,29.3799991608,29.0,29.1299991608,29.2900009155,4059700.0,28.3930835724
2017-03-08,29.7000007629,29.2199993134,29.25,29.6299991608,5740700.0,28.7226676941
2017-03-09,29.75,29.3899993896,29.6000003815,29.6000003815,8591000.0,28.6935882568
2017-03-10,30.0599994659,29.5799999237,29.8400001526,30.0300006866,8442800.0,29.1104221344
2017-03-13,31.1000003815,30.0400009155,30.1100006104,30.75,9691100.0,29.8083744049
2017-03-14,30.7900009155,30.2800006866,30.7000007629,30.6499996185,4172300.0,29.7114334106
2017-03-15,30.8099994659,30.4300003052,30.7900009155,30.7199993134,5717500.0,29.779291153
2017-03-16,30.9300003052,30.5799999237,30.7600002289,30.7299995422,4502000.0,29.7889842987
2017-03-17,30.9799995422,30.6299991608,30.8099994659,30.7000007629,7362700.0,29.7599029541
2017-03-20,31.0200004578,30.6399993896,30.7199993134,30.7800006866,4179700.0,29.8374538422
2017-03-21,30.9500007629,29.9500007629,30.9099998474,30.0,6221100.0,29.0813350677
2017-03-22,30.7700004578,30.1499996185,30.1800003052,30.6599998474,4899200.0,29.7211284637
2017-03-23,30.8999996185,30.6299991608,30.6299991608,30.7000007629,3431500.0,29.7599029541
2017-03-24,30.9500007629,30.3799991608,30.7399997711,30.4699993134,4623100.0,29.5369472504
2017-03-27,30.5599994659,29.7700004578,30.1900005341,30.4699993134,7228900.0,29.5369472504
2017-03-28,30.7099990845,30.2199993134,30.5100002289,30.3600006104,8159200.0,29.4303150177
2017-03-29,30.9599990845,30.25,30.2600002289,30.8299999237,6798200.0,29.885925293
2017-03-30,30.9599990845,30.5300006866,30.8199996948,30.6499996185,6491100.0,29.7114334106
2017-03-31,30.9500007629,30.3799991608,30.4400005341,30.6800003052,7294700.0,29.7405147552
2017-04-03,30.8600006104,30.0300006866,30.6900005341,30.2399997711,5509800.0,29.3139858246
2017-04-04,30.4799995422,30.1299991608,30.2900009155,30.3799991608,5559300.0,29.4497051239
2017-04-05,30.6299991608,30.1499996185,30.4699993134,30.2800006866,4912400.0,29.352766037
2017-04-06,30.5599994659,30.1599998474,30.2800006866,30.5599994659,5196600.0,29.6241912842
2017-04-07,30.8099994659,30.2900009155,30.5100002289,30.8099994659,5680100.0,29.8665351868
2017-04-10,30.9500007629,30.5200004578,30.7099990845,30.6599998474,4687500.0,29.7211284637
2017-04-11,30.7399997711,30.1100006104,30.6100006104,30.3999996185,4322500.0,29.4690895081
2017-04-12,30.3999996185,29.9899997711,30.0699996948,30.0499992371,4874300.0,29.1298084259
2017-04-13,30.5,29.8999996185,30.0599994659,30.0400009155,5023900.0,29.1201114655
2017-04-17,30.3700008392,30.0599994659,30.0599994659,30.25,4553700.0,29.323682785
2017-04-18,30.5699996948,30.1200008392,30.2299995422,30.3999996185,3528200.0,29.4690895081
2017-04-19,30.7399997711,30.3400001526,30.5900001526,30.4099998474,3566100.0,29.4787807465
2017-04-20,30.6200008392,30.3500003815,30.6200008392,30.5,3766100.0,29.5660266876
2017-04-21,30.8299999237,30.5699996948,30.5799999237,30.7000007629,4896300.0,29.7599029541
2017-04-24,31.2000007629,30.8899993896,31.0799999237,30.9699993134,4631800.0,30.0216331482
2017-04-25,31.25,30.9899997711,31.0599994659,31.25,5075200.0,30.2930641174
2017-04-26,31.4400005341,31.0300006866,31.3099994659,31.25,4173100.0,30.2930641174
2017-04-27,31.5400009155,31.1000003815,31.2999992371,31.4799995422,3181900.0,30.5160179138
2017-04-28,31.6700000763,31.2800006866,31.5499992371,31.6299991608,5017100.0,30.6614246368
2017-05-01,32.2099990845,31.6000003815,31.6599998474,32.1199989319,5220500.0,31.136423111
2017-05-02,32.1800003052,31.8099994659,32.1199989319,31.9099998474,5525700.0,30.9328536987
2017-05-03,32.0699996948,31.7900009155,31.9599990845,31.9200000763,3572900.0,30.9425449371
2017-05-04,32.5499992371,31.9899997711,32.2000007629,32.2200012207,6600400.0,31.2333621979
2017-05-05,32.4099998474,32.0299987793,32.3400001526,32.2999992371,4320800.0,31.3109073639
2017-05-08,32.4500007629,32.0400009155,32.3300018311,32.4500007629,5363400.0,31.4563159943
2017-05-09,32.5400009155,32.2299995422,32.5099983215,32.3699989319,4616400.0,31.3787631989
2017-05-10,33.2200012207,32.3899993896,32.4500007629,33.1399993896,8959000.0,32.1251869202
2017-05-11,32.0999984741,30.9099998474,31.0,31.4599990845,21625100.0,30.4966316223
2017-05-12,31.5,30.9300003052,31.4899997711,31.0100002289,8377200.0,30.0604095459
2017-05-15,32.6500015259,31.8299999237,32.4300003052,32.0,15341400.0,31.0200958252
2017-05-16,32.2099990845,31.2099990845,32.1699981689,31.3199996948,7881600.0,30.3609199524
2017-05-17,31.1599998474,29.8999996185,31.0300006866,30.1200008392,13582900.0,29.1976623535
2017-05-18,30.0599994659,29.25,29.9599990845,29.7399997711,10483100.0,28.8293018341
2017-05-19,29.7399997711,28.8899993896,29.6100006104,29.0200004578,14225200.0,28.1313495636
2017-05-22,29.6399993896,29.0100002289,29.1599998474,29.5799999237,8235800.0,28.674200058
2017-05-23,29.8400001526,29.2199993134,29.6900005341,29.7900009155,6329000.0,28.8777656555
2017-05-24,30.0699996948,29.7299995422,29.9300003052,29.8700008392,7548700.0,28.9553222656
2017-05-25,30.2399997711,29.8400001526,29.8999996185,29.9500007629,6848100.0,29.0328712463
2017-05-26,29.9500007629,29.5,29.8999996185,29.6100006104,7196800.0,28.7032814026
2017-05-30,30.8500003815,29.9400005341,30.2800006866,30.0599994659,19180400.0,29.1395015717
2017-05-31,30.3899993896,29.6100006104,30.1800003052,30.3099994659,17108600.0,29.3818435669
2017-06-01,30.4899997711,29.8299999237,30.3600006104,30.3400001526,7092700.0,29.4109268188
2017-06-02,30.2999992371,29.7999992371,30.25,30.0799999237,6413100.0,29.1588897705
2017-06-05,30.3400001526,29.8700008392,29.8700008392,30.0699996948,6593400.0,29.2220535278
2017-06-06,30.4400005341,29.9099998474,29.9099998474,30.2700004578,5582600.0,29.4164161682
2017-06-07,30.3700008392,30.0400009155,30.2800006866,30.2700004578,6807900.0,29.4164161682
2017-06-08,30.3400001526,28.9899997711,30.0,30.1100006104,14262300.0,29.2609291077
