Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,268.339996338,264.489990234,266.329986572,267.029998779,469200.0,219.486434937
2017-05-26,267.829986572,262.739990234,267.059997559,264.410003662,427900.0,217.33291626
2017-05-30,266.600006104,263.029998779,264.079986572,266.390014648,592500.0,218.960403442
2017-05-31,268.260009766,264.130004883,267.230010986,268.079986572,660400.0,220.349487305
2017-06-01,271.660003662,267.320007324,267.709991455,269.140014648,692900.0,221.220779419
2017-06-02,272.079986572,268.260009766,269.529998779,271.670013428,546300.0,223.300323486
2017-06-05,272.170013428,269.989990234,271.910003662,270.589996338,333700.0,222.412582397
2017-06-06,272.299987793,268.549987793,269.640014648,270.170013428,439300.0,222.067382812
2017-06-07,271.859985352,267.769989014,270.089996338,270.040008545,404500.0,221.960525513
2017-06-08,273.709991455,268.720001221,270.040008545,273.25,418800.0,224.598983765
2017-06-09,274.989990234,267.239990234,274.260009766,269.929992676,486600.0,221.870101929
2017-06-12,270.390014648,262.779998779,269.119995117,262.779998779,1422800.0,215.993118286
2017-06-13,269.920013428,262.049987793,262.200012207,269.290008545,537200.0,221.344055176
2017-06-14,273.690002441,268.940002441,270.0,270.589996338,463500.0,222.412582397
2017-06-15,272.450012207,267.440002441,268.160003662,271.320007324,445000.0,223.012634277
2017-06-16,272.290008545,269.690002441,270.890014648,270.260009766,593900.0,222.141357422
2017-06-19,272.970001221,269.739990234,271.420013428,271.119995117,440900.0,222.848236084
2017-06-20,270.670013428,265.859985352,269.410003662,266.0,633400.0,218.639831543
2017-06-21,270.890014648,265.660003662,267.179992676,267.950012207,443100.0,220.242645264
2017-06-22,269.790008545,266.959991455,267.980010986,267.5,370500.0,219.872756958
2017-06-23,270.339996338,266.239990234,267.609985352,268.119995117,588800.0,220.382369995
2017-06-26,273.239990234,268.040008545,268.5,268.25,623300.0,220.489212036
2017-06-27,269.790008545,261.489990234,267.630004883,265.380004883,795400.0,218.130218506
2017-06-28,268.399993896,265.670013428,267.600006104,267.480010986,624100.0,219.856307983
2017-06-29,268.399993896,263.600006104,267.140014648,265.010009766,777100.0,217.82611084
2017-06-30,269.940002441,265.239990234,266.359985352,268.869995117,511600.0,220.998840332
