Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,50.1599998474,49.5,49.7599983215,50.0299987793,996500,50.0299987793
2016-12-13,51.2299995422,49.5299987793,50.0299987793,50.8499984741,2558800,50.8499984741
2016-12-14,51.0299987793,49.8400001526,50.7099990845,49.9099998474,1182300,49.9099998474
2016-12-15,51.3400001526,49.2700004578,50.1500015259,50.4599990845,1144800,50.4599990845
2016-12-16,50.7000007629,49.1500015259,50.3600006104,49.25,1490000,49.25
2016-12-19,49.6199989319,48.6399993896,49.1399993896,49.0900001526,946700,49.0900001526
2016-12-20,49.9599990845,48.8400001526,49.0900001526,49.9199981689,680900,49.9199981689
2016-12-21,50.5699996948,49.4700012207,50.0900001526,49.75,658200,49.75
2016-12-22,49.8800010681,49.1699981689,49.8800010681,49.25,354100,49.25
2016-12-23,49.9399986267,49.2200012207,49.2200012207,49.8800010681,343400,49.8800010681
2016-12-27,50.5299987793,49.4500007629,50.1399993896,49.7299995422,1199200,49.7299995422
2016-12-28,50.25,48.9199981689,49.8199996948,49.25,904700,49.25
2016-12-29,49.6699981689,48.9599990845,49.25,49.5800018311,418200,49.5800018311
2016-12-30,49.7900009155,48.8499984741,49.7900009155,49.2900009155,835000,49.2900009155
2017-01-03,50.0400009155,48.5800018311,49.3499984741,49.2200012207,1074900,49.2200012207
2017-01-04,50.2900009155,49.3600006104,49.4399986267,50.1399993896,862300,50.1399993896
2017-01-05,50.6899986267,49.3600006104,50.1199989319,49.3600006104,779300,49.3600006104
2017-01-06,50.3400001526,49.3199996948,49.4000015259,49.9500007629,1131100,49.9500007629
2017-01-09,50.6699981689,49.5900001526,49.8699989319,50.4599990845,1177200,50.4599990845
2017-01-10,51.0499992371,50.0600013733,50.3199996948,50.8100013733,632100,50.8100013733
2017-01-11,51.8100013733,50.6699981689,50.9500007629,51.1100006104,894900,51.1100006104
2017-01-12,51.2000007629,50.3100013733,50.9399986267,50.8699989319,626600,50.8699989319
2017-01-13,51.7299995422,50.5099983215,50.6199989319,51.6100006104,874600,51.6100006104
2017-01-17,51.7000007629,51.0,51.5400009155,51.4000015259,766400,51.4000015259
2017-01-18,51.8499984741,51.3499984741,51.5999984741,51.7900009155,613000,51.7900009155
2017-01-19,52.0999984741,51.5999984741,51.8899993896,51.7900009155,713000,51.7900009155
2017-01-20,52.3899993896,51.5699996948,51.8199996948,52.3499984741,1043900,52.3499984741
