Date,High,Low,Open,Close,Volume,Adj Close
2017-05-25,80.9899978638,79.9800033569,80.4899978638,80.7900009155,3226100.0,75.6504440308
2017-05-26,81.1800003052,80.3199996948,80.8600006104,81.1200027466,2812200.0,75.9594650269
2017-05-30,82.1999969482,81.0,81.0,81.9700012207,3258100.0,76.7553787231
2017-05-31,83.2399978638,82.1800003052,82.1999969482,82.4899978638,6503900.0,77.2423095703
2017-06-01,82.8600006104,81.2200012207,82.6100006104,81.4899978638,4320100.0,76.3059082031
2017-06-02,81.9700012207,80.8600006104,81.9599990845,81.6299972534,4725900.0,76.4370040894
2017-06-05,82.3799972534,81.6600036621,81.6600036621,81.8899993896,2589900.0,76.6804733276
2017-06-06,82.8799972534,81.5100021362,81.6500015259,82.2200012207,3279300.0,76.9894790649
2017-06-07,83.4300003052,82.2900009155,82.8000030518,82.8899993896,3763000.0,77.6168518066
2017-06-08,84.3600006104,82.6200027466,83.1999969482,84.3399963379,4410200.0,78.974609375
2017-06-09,84.6500015259,79.9400024414,84.2300033569,80.9000015259,6815700.0,75.7534561157
2017-06-12,81.3199996948,79.6699981689,79.8199996948,81.0500030518,6746200.0,75.893913269
2017-06-13,81.8000030518,80.5999984741,81.4100036621,80.9899978638,4324800.0,75.8377304077
2017-06-14,81.4899978638,79.4400024414,81.2600021362,80.1600036621,3944200.0,75.0605392456
2017-06-15,80.4000015259,79.2200012207,79.3499984741,80.0800018311,3061900.0,74.9856185913
2017-06-16,80.2300033569,79.0199966431,79.8499984741,79.6999969482,6246800.0,74.6297912598
2017-06-19,81.4499969482,80.2799987793,80.3700027466,81.4199981689,3569100.0,76.2403717041
2017-06-20,81.2300033569,79.5400009155,81.1600036621,79.5699996948,3831300.0,74.5080490112
2017-06-21,79.9199981689,79.2300033569,79.6999969482,79.6699981689,4318600.0,74.6017074585
2017-06-22,80.0500030518,78.9499969482,79.9499969482,79.0500030518,3327400.0,74.0211486816
2017-06-23,80.0199966431,78.6399993896,79.0599975586,79.5800018311,4052600.0,74.5174255371
2017-06-26,80.0899963379,78.2399978638,80.0400009155,78.3099975586,4913100.0,73.3282089233
2017-06-27,78.2699966431,76.9400024414,78.0,76.9499969482,5797000.0,72.0547332764
2017-06-28,78.2099990845,76.9499969482,77.6100006104,78.0599975586,6362100.0,73.0941238403
2017-06-29,77.9300003052,75.9199981689,77.5,76.9000015259,6644600.0,72.0079193115
2017-06-30,77.6900024414,76.6100006104,77.6900024414,76.9300003052,4696100.0,72.0360183716
2017-07-03,77.6399993896,76.4000015259,77.4499969482,76.4100036621,3494200.0,71.549079895
2017-07-05,77.5100021362,76.2399978638,76.6299972534,76.9100036621,6680800.0,72.0172805786
2017-07-06,77.6900024414,76.1900024414,76.1900024414,76.8600006104,5047000.0,71.9704666138
2017-07-07,78.6600036621,77.3099975586,77.3099975586,78.4800033569,5342900.0,73.4874038696
2017-07-10,79.0899963379,77.9300003052,78.4300003052,78.7799987793,3611500.0,73.7683181763
2017-07-11,79.1500015259,78.2799987793,78.7799987793,79.0400009155,2729200.0,74.0117797852
2017-07-12,80.5400009155,79.4599990845,79.4599990845,80.5199966431,3891700.0,75.3976364136
2017-07-13,80.9800033569,80.2699966431,80.4100036621,80.5400009155,3372800.0,75.4163513184
2017-07-14,82.1100006104,80.8499984741,80.9499969482,82.0,3654700.0,76.7834701538
2017-07-17,82.0,81.4800033569,81.8199996948,81.6600036621,2972700.0,76.4651107788
2017-07-18,82.2099990845,81.1500015259,81.5,82.1600036621,2773500.0,76.9332962036
2017-07-19,82.6999969482,81.8600006104,82.4899978638,82.1600036621,3133500.0,76.9332962036
2017-07-20,82.8099975586,81.8600006104,82.1999969482,82.6900024414,3766700.0,77.4295883179
2017-07-21,82.0,81.0,81.4599990845,81.6999969482,4597600.0,76.5025558472
2017-07-24,81.8700027466,80.5999984741,81.8600006104,80.9199981689,4350900.0,75.7721786499
2017-07-25,81.9300003052,80.5800018311,81.0500030518,81.3899993896,6439700.0,76.2122879028
2017-07-26,84.2399978638,81.9599990845,83.0,82.5299987793,6983000.0,77.2797546387
