Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,110.5,108.790000916,109.419998169,110.38999939,4478700.0,104.268615723
2016-12-13,111.690002441,110.260002136,110.879997253,110.309997559,3807600.0,104.193061829
2016-12-14,110.440002441,109.089996338,110.349998474,109.269996643,2761200.0,103.210731506
2016-12-15,109.430000305,108.120002747,109.040000916,108.129997253,3611100.0,102.13394165
2016-12-16,109.260002136,108.089996338,108.410003662,108.519996643,7847000.0,102.502311707
2016-12-19,111.069999695,108.879997253,109.569999695,110.819999695,3838300.0,104.674766541
2016-12-20,111.0,110.150001526,110.930000305,110.650001526,2256000.0,104.514205933
2016-12-21,111.129997253,110.470001221,110.940002441,110.489997864,2078700.0,104.363075256
2016-12-22,110.760002136,109.690002441,110.580001831,110.459999084,2087900.0,104.334739685
2016-12-23,110.830001831,110.040000916,110.349998474,110.650001526,1303200.0,104.514205933
2016-12-27,111.129997253,110.5,111.040000916,110.980003357,1067300.0,104.825912476
2016-12-28,111.089996338,110.099998474,111.0,110.190002441,1894800.0,104.079704285
2016-12-29,110.819999695,110.029998779,110.279998779,110.550003052,2903600.0,104.419746399
2016-12-30,110.790000916,109.379997253,110.589996338,109.620002747,2200500.0,103.541320801
2017-01-03,110.959999084,110.0,110.38999939,110.830001831,2739600.0,104.68422699
2017-01-04,111.699996948,110.580001831,111.459999084,110.900001526,3091400.0,104.750328064
2017-01-05,111.940002441,110.559997559,111.169998169,111.349998474,3344900.0,105.175392151
2017-01-06,112.830001831,111.059997559,111.419998169,112.550003052,2622000.0,106.308860779
2017-01-09,112.699996948,111.269996643,112.699996948,111.5,2434100.0,105.317070007
2017-01-10,111.830001831,111.059997559,111.75,111.260002136,1800400.0,105.090385437
2017-01-11,111.620002747,110.580001831,111.620002747,111.0,2746200.0,104.844779968
2017-01-12,111.13999939,109.709999084,111.13999939,110.819999695,2644600.0,104.674766541
2017-01-13,111.260002136,109.849998474,110.930000305,110.220001221,2880600.0,104.108055115
2017-01-17,110.269996643,109.400001526,109.779998779,109.970001221,2238500.0,103.871910095
2017-01-18,110.88999939,109.819999695,110.199996948,110.419998169,2600300.0,104.296958923
2017-01-19,111.599998474,110.019996643,111.029998779,110.730003357,2828200.0,104.589767456
2017-01-20,111.099998474,110.029998779,110.949996948,110.790000916,3134300.0,104.646446228
2017-01-23,111.300003052,109.980003357,110.839996338,110.339996338,2296600.0,104.221382141
2017-01-24,111.690002441,110.339996338,110.680000305,111.61000061,3240000.0,105.420974731
2017-01-25,112.510002136,108.779998779,111.870002747,110.959999084,5054000.0,104.807014465
2017-01-26,111.489997864,109.529998779,110.800003052,110.36000061,3996000.0,104.240272522
2017-01-27,110.900001526,109.61000061,110.150001526,109.699996948,2830000.0,103.616867065
2017-01-30,109.599998474,108.25,109.309997559,109.169998169,2909900.0,103.116271973
2017-01-31,109.809997559,108.38999939,109.040000916,109.669998169,3945700.0,103.588554382
2017-02-01,109.910003662,107.900001526,109.629997253,108.180000305,4670100.0,102.181175232
2017-02-02,108.680000305,106.849998474,108.080001831,108.36000061,4714500.0,102.351196289
2017-02-03,109.779998779,108.5,108.529998779,109.650001526,3411200.0,103.569656372
2017-02-06,111.25,109.680000305,109.809997559,110.680000305,4229600.0,104.542533875
2017-02-07,111.730003357,110.970001221,111.379997253,111.25,2774400.0,105.080932617
2017-02-08,111.089996338,110.349998474,111.089996338,110.400001526,2072300.0,104.278060913
2017-02-09,110.720001221,110.0,110.400001526,110.089996338,2654000.0,103.98526001
2017-02-10,111.260002136,110.080001831,110.25,111.050003052,2679200.0,104.892028809
2017-02-13,112.099998474,111.419998169,111.61000061,112.019996643,2830800.0,105.80821228
2017-02-14,112.319999695,111.449996948,111.989997864,111.569999695,2770400.0,105.38318634
2017-02-15,112.080001831,111.059997559,111.129997253,111.910003662,2625000.0,106.333351135
2017-02-16,112.330001831,111.809997559,112.13999939,112.069999695,2802100.0,106.485389709
2017-02-17,112.330001831,111.61000061,111.930000305,112.150001526,2531800.0,106.561408997
2017-02-21,112.800003052,112.040000916,112.190002441,112.5,2136900.0,106.893951416
2017-02-22,112.709999084,111.720001221,112.349998474,112.660003662,2205600.0,107.045982361
2017-02-23,112.879997253,111.970001221,112.699996948,112.089996338,3471700.0,106.504386902
2017-02-24,112.690002441,111.75,111.819999695,112.459999084,2917900.0,106.855941772
2017-02-27,112.970001221,112.029998779,112.589996338,112.809997559,2731400.0,107.18850708
2017-02-28,113.190002441,112.339996338,112.970001221,112.550003052,2942500.0,106.941459656
2017-03-01,114.440002441,113.459999084,113.63999939,113.680000305,5085500.0,108.015151978
2017-03-02,114.040000916,112.629997253,113.830001831,112.690002441,2880800.0,107.074485779
2017-03-03,113.430000305,112.169998169,112.690002441,112.339996338,3108300.0,106.741920471
2017-03-06,112.300003052,111.540000916,111.830001831,111.660003662,3772200.0,106.095809937
2017-03-07,112.410003662,111.5,111.86000061,112.279998779,2457200.0,106.684913635
2017-03-08,112.660003662,111.650001526,112.480003357,111.75,2581800.0,106.18132782
2017-03-09,112.339996338,107.050003052,111.870002747,111.930000305,2919800.0,106.352355957
2017-03-10,112.580001831,111.290000916,112.38999939,112.13999939,3220200.0,106.551895142
2017-03-13,112.730003357,111.959999084,112.559997559,112.309997559,2976300.0,106.713424683
2017-03-14,112.169998169,111.550003052,111.879997253,111.830001831,2194800.0,106.257354736
2017-03-15,113.300003052,111.870002747,112.120002747,113.080001831,3169100.0,107.445068359
2017-03-16,113.220001221,111.949996948,112.769996643,112.339996338,2933800.0,106.741920471
2017-03-17,113.949996948,112.269996643,112.680000305,113.449996948,7442300.0,107.796607971
2017-03-20,114.080001831,112.830001831,113.400001526,113.510002136,3057800.0,107.853630066
2017-03-21,114.150001526,111.980003357,113.660003662,112.160003662,3572100.0,106.570915222
2017-03-22,112.419998169,111.419998169,112.370002747,111.930000305,2127000.0,106.352355957
2017-03-23,112.449996948,111.559997559,111.930000305,111.839996338,2287400.0,106.266845703
2017-03-24,112.279998779,111.330001831,111.980003357,111.800003052,2249700.0,106.228843689
2017-03-27,111.930000305,110.449996948,111.080001831,111.830001831,2490800.0,106.257354736
2017-03-28,113.150001526,111.319999695,111.410003662,112.739997864,3257700.0,107.121994019
2017-03-29,112.550003052,111.910003662,112.550003052,112.059997559,1998800.0,106.475875854
2017-03-30,112.660003662,111.849998474,111.959999084,112.449996948,1481600.0,106.846443176
2017-03-31,112.629997253,111.849998474,112.5,112.209999084,2483700.0,106.618408203
2017-04-03,112.480003357,111.239997864,112.279998779,111.930000305,2123000.0,106.352355957
2017-04-04,113.25,112.239997864,112.269996643,112.989997864,2970900.0,107.359535217
2017-04-05,114.379997253,112.449996948,113.13999939,112.5,3011900.0,106.893951416
2017-04-06,112.930000305,112.190002441,112.569999695,112.410003662,2185700.0,106.808456421
2017-04-07,113.209999084,112.230003357,112.629997253,112.989997864,2064200.0,107.359535217
2017-04-10,113.75,112.680000305,112.989997864,112.879997253,2097500.0,107.255020142
2017-04-11,113.169998169,112.25,112.5,113.13999939,2393500.0,107.502059937
2017-04-12,112.819999695,112.13999939,112.779998779,112.239997864,2605100.0,106.646903992
2017-04-13,112.699996948,111.819999695,112.050003052,112.089996338,2260900.0,106.504386902
2017-04-17,113.279998779,112.300003052,112.529998779,113.269996643,3503800.0,107.625579834
2017-04-18,113.680000305,112.819999695,112.949996948,113.559997559,2721500.0,107.901138306
2017-04-19,114.260002136,112.709999084,113.949996948,112.919998169,2566700.0,107.293022156
2017-04-20,114.309997559,112.809997559,112.959999084,113.940002441,2472300.0,108.262199402
2017-04-21,115.279998779,114.0,114.0,114.989997864,5658900.0,109.259864807
2017-04-24,116.589996338,115.730003357,115.989997864,116.319999695,3155200.0,110.523597717
2017-04-25,117.309997559,116.410003662,116.760002136,116.870002747,3322100.0,111.046195984
2017-04-26,119.25,116.510002136,117.339996338,118.199996948,5102700.0,112.309913635
