Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,79.0964431763,78.2721557617,78.5176849365,78.9122924805,1181300.0,78.9122924805
2017-01-11,80.289024353,78.2721557617,79.0175170898,79.0175170898,1153900.0,79.0175170898
2017-01-12,79.1139831543,78.1493911743,78.7018356323,79.0525970459,628300.0,79.0525970459
2017-01-13,79.9119567871,78.9298324585,79.3419723511,79.5173568726,596700.0,79.5173568726
2017-01-17,79.3069000244,78.6842956543,78.9736785889,78.9736785889,1102600.0,78.9736785889
2017-01-18,79.1840667725,77.9476394653,79.1840667725,78.7280807495,913600.0,78.7280807495
2017-01-19,78.8509063721,78.1055450439,78.6053771973,78.4650726318,924700.0,78.4650726318
2017-01-20,78.9210586548,78.3510742188,78.4036865234,78.8509063721,733100.0,78.8509063721
2017-01-23,79.2981262207,78.5264587402,78.9210586548,78.9210586548,1232400.0,78.9210586548
2017-01-24,79.4384307861,78.3247680664,79.166595459,79.1841278076,1132900.0,79.1841278076
2017-01-25,81.4026870728,78.8684463501,79.263053894,81.0431594849,2305200.0,81.0431594849
2017-01-26,80.6748657227,75.685295105,78.8158340454,75.8255996704,3579300.0,75.8255996704
2017-01-27,77.8775482178,75.5449905396,75.7291412354,77.8687820435,1538700.0,77.8687820435
2017-01-30,78.9899978638,76.9400024414,78.0500030518,77.6800003052,2495300.0,77.6800003052
2017-01-31,77.9599990845,77.0800018311,77.6800003052,77.6500015259,1318000.0,77.6500015259
2017-02-01,79.1600036621,77.4199981689,77.6999969482,79.1100006104,1126900.0,79.1100006104
2017-02-02,78.9899978638,78.1500015259,78.75,78.5999984741,1090500.0,78.5999984741
2017-02-03,79.8700027466,78.4499969482,78.75,79.7799987793,866400.0,79.7799987793
2017-02-06,79.8600006104,77.8199996948,79.5,78.2600021362,875400.0,78.2600021362
2017-02-07,79.0100021362,78.1399993896,78.3799972534,78.4300003052,821700.0,78.4300003052
2017-02-08,79.5400009155,77.7300033569,77.9300003052,79.2099990845,838400.0,79.2099990845
2017-02-09,80.3799972534,79.0199966431,79.2099990845,80.0800018311,632100.0,80.0800018311
2017-02-10,80.7600021362,80.1900024414,80.4000015259,80.4000015259,556400.0,80.4000015259
2017-02-13,80.6500015259,79.6500015259,80.3700027466,80.1699981689,769800.0,80.1699981689
2017-02-14,80.75,79.8600006104,79.8600006104,80.5999984741,552400.0,80.5999984741
2017-02-15,81.25,80.3199996948,80.3199996948,81.1200027466,633800.0,81.1200027466
2017-02-16,81.9899978638,81.0199966431,81.0199966431,81.9300003052,940400.0,81.9300003052
2017-02-17,83.8399963379,81.5500030518,81.8899993896,83.6100006104,2131600.0,83.6100006104
2017-02-21,84.0100021362,83.0999984741,83.9800033569,83.5400009155,871100.0,83.5400009155
2017-02-22,83.6200027466,82.7399978638,83.4300003052,83.5400009155,775200.0,83.5400009155
2017-02-23,84.1500015259,83.1999969482,83.5899963379,84.0299987793,470500.0,84.0299987793
2017-02-24,84.7900009155,83.5599975586,83.5599975586,84.7200012207,749000.0,84.7200012207
2017-02-27,84.7200012207,84.1100006104,84.4700012207,84.2600021362,760400.0,84.2600021362
2017-02-28,84.5699996948,83.5400009155,84.0299987793,83.8899993896,976800.0,83.8899993896
2017-03-01,85.7900009155,84.2300033569,84.6200027466,85.5299987793,732400.0,85.5299987793
2017-03-02,86.4599990845,85.2300033569,85.4300003052,86.0299987793,994400.0,86.0299987793
2017-03-03,86.9700012207,85.8000030518,85.9899978638,86.9199981689,1255400.0,86.9199981689
2017-03-06,86.8000030518,85.9400024414,86.2900009155,86.1800003052,1240200.0,86.1800003052
2017-03-07,86.5100021362,85.4700012207,85.7099990845,86.0599975586,650500.0,86.0599975586
2017-03-08,86.9599990845,85.9700012207,86.1500015259,86.6600036621,807000.0,86.6600036621
2017-03-09,87.4700012207,86.6600036621,86.8799972534,87.3600006104,523800.0,87.3600006104
2017-03-10,87.9499969482,86.9300003052,86.9400024414,87.8399963379,762700.0,87.8399963379
2017-03-13,88.2699966431,87.6699981689,87.7699966431,88.1900024414,821800.0,88.1900024414
2017-03-14,88.4499969482,87.6800003052,87.7799987793,88.2300033569,822100.0,88.2300033569
2017-03-15,90.6100006104,88.3300018311,88.5100021362,90.2200012207,992500.0,90.2200012207
2017-03-16,90.5599975586,89.7099990845,90.1500015259,89.8899993896,732700.0,89.8899993896
2017-03-17,91.9000015259,89.8899993896,89.9499969482,91.5199966431,1318100.0,91.5199966431
2017-03-20,92.0,91.25,91.4300003052,91.5100021362,860600.0,91.5100021362
2017-03-21,92.5699996948,90.6399993896,91.8700027466,90.7399978638,1002600.0,90.7399978638
2017-03-22,91.4400024414,90.6200027466,90.9899978638,91.3600006104,654600.0,91.3600006104
