Date,High,Low,Open,Close,Volume,Adj Close
2017-01-10,67.6600036621,66.0199966431,66.3199996948,66.5299987793,5433400.0,59.8780288696
2017-01-11,67.2399978638,66.2699966431,66.7799987793,67.0800018311,3391000.0,60.3730430603
2017-01-12,66.9400024414,65.3700027466,66.2399978638,66.5199966431,4530100.0,59.8690338135
2017-01-13,66.8399963379,65.9400024414,66.2099990845,66.3899993896,3366700.0,59.7520332336
2017-01-17,68.1900024414,65.7799987793,66.9300003052,66.1900024414,4939600.0,59.5720329285
2017-01-18,67.3600006104,66.1600036621,66.1999969482,66.75,4251400.0,60.0760345459
2017-01-19,66.7699966431,65.5299987793,66.6800003052,66.0699996948,3642200.0,59.4640235901
2017-01-20,66.6399993896,65.6800003052,66.3499984741,66.2399978638,2911200.0,59.6170272827
2017-01-23,66.5199966431,65.6800003052,66.5199966431,66.25,4049600.0,59.6260299683
2017-01-24,68.0199966431,66.1699981689,66.4499969482,67.8600006104,3893700.0,61.0750541687
2017-01-25,68.4000015259,67.3000030518,68.2300033569,68.3300018311,4606200.0,61.4980659485
2017-01-26,68.4899978638,67.1999969482,68.3799972534,67.3700027466,4006300.0,60.6340522766
2017-01-27,68.5400009155,66.7099990845,67.6200027466,67.3099975586,4628200.0,60.5800514221
2017-01-30,68.3000030518,66.6100006104,67.3700027466,68.2300033569,8413900.0,61.4080734253
2017-01-31,67.8300018311,64.4499969482,67.8000030518,65.7600021362,11657700.0,59.1850128174
2017-02-01,66.7399978638,64.8099975586,66.5299987793,65.3700027466,5204500.0,58.8340110779
2017-02-02,66.0800018311,64.6200027466,65.0199966431,65.4199981689,6193200.0,58.8790168762
2017-02-03,65.6999969482,64.8300018311,65.4800033569,65.5100021362,4416400.0,58.9600143433
2017-02-06,66.1200027466,64.9100036621,65.5100021362,65.1100006104,4297800.0,58.6000061035
2017-02-07,66.25,64.8499984741,65.1600036621,65.4400024414,4968500.0,58.8970031738
2017-02-08,67.1399993896,65.0,65.2699966431,67.0800018311,4428100.0,60.3730430603
2017-02-09,67.8899993896,67.1999969482,67.2699966431,67.6200027466,2805900.0,60.8590583801
2017-02-10,68.0,67.25,67.8700027466,67.4700012207,2653900.0,60.7240447998
2017-02-13,67.4300003052,66.6500015259,66.75,67.0400009155,3367500.0,60.9695930481
2017-02-14,67.6900024414,66.9100036621,67.2300033569,67.6200027466,2510500.0,61.4970855713
2017-02-15,67.9599990845,67.1900024414,67.6699981689,67.7600021362,2572700.0,61.6243972778
2017-02-16,67.6100006104,66.4000015259,67.5699996948,66.5999984741,5266500.0,60.5694351196
2017-02-17,66.5100021362,65.1100006104,66.3199996948,65.4899978638,4808800.0,59.5599365234
2017-02-21,66.4700012207,65.5299987793,65.9800033569,66.2699966431,4499600.0,60.2693099976
2017-02-22,66.5500030518,65.7399978638,66.1299972534,66.0100021362,4240400.0,60.0328598022
2017-02-23,67.3899993896,66.5400009155,66.5800018311,67.0299987793,4208200.0,60.9604988098
2017-02-24,66.9000015259,65.8300018311,66.5500030518,66.7200012207,3670700.0,60.6785774231
2017-02-27,67.4499969482,66.3399963379,66.6600036621,67.2399978638,3129100.0,61.1514778137
2017-02-28,69.4100036621,67.2200012207,67.2799987793,67.9499969482,9074700.0,61.7971916199
2017-03-01,69.8399963379,68.1900024414,68.5100021362,68.4800033569,4921900.0,62.2792015076
2017-03-02,68.3799972534,65.9300003052,68.2200012207,66.4499969482,7343000.0,60.433013916
2017-03-03,67.1999969482,66.0,66.8899993896,66.0800018311,4046600.0,60.0965194702
2017-03-06,66.6399993896,65.4300003052,65.8899993896,66.4400024414,3315300.0,60.4239311218
2017-03-07,66.9800033569,65.4199981689,66.4400024414,65.6200027466,5504100.0,59.6781845093
2017-03-08,67.4800033569,65.8300018311,66.0,66.8700027466,7446400.0,60.814994812
2017-03-09,66.7600021362,65.5800018311,66.7600021362,66.4800033569,4720300.0,60.4603042603
2017-03-10,67.3700027466,66.25,66.6699981689,66.5699996948,4471600.0,60.5421562195
2017-03-13,67.8799972534,66.5100021362,66.5100021362,67.6600036621,4970700.0,61.5334663391
2017-03-14,67.6999969482,66.8300018311,67.3199996948,67.4400024414,2954600.0,61.3333778381
2017-03-15,69.0,67.1299972534,67.7300033569,68.7300033569,4751200.0,62.5065727234
2017-03-16,69.1999969482,68.4700012207,68.9300003052,68.5500030518,3654200.0,62.3428726196
2017-03-17,68.9800033569,68.2600021362,68.75,68.9000015259,9529900.0,62.6611709595
2017-03-20,69.1200027466,68.1800003052,68.7399978638,68.5299987793,3175100.0,62.3246803284
2017-03-21,68.6999969482,66.7300033569,68.5999984741,67.1500015259,4068000.0,61.0696372986
2017-03-22,67.8700027466,66.8000030518,67.1600036621,67.5699996948,3123500.0,61.4515991211
2017-03-23,67.9400024414,67.0199966431,67.6299972534,67.0999984741,3298800.0,61.0241661072
2017-03-24,67.0400009155,65.6999969482,66.8399963379,65.7799987793,4372000.0,59.8236885071
2017-03-27,66.5299987793,65.4499969482,65.5400009155,66.2300033569,2799300.0,60.2329368591
2017-03-28,66.6399993896,65.6500015259,66.5199966431,66.2900009155,3443400.0,60.2875137329
2017-03-29,67.4000015259,66.1100006104,66.1999969482,67.1399993896,3326900.0,61.0605316162
2017-03-30,67.3099975586,66.1999969482,67.2799987793,66.2300033569,7512800.0,60.2329368591
2017-03-31,66.6699981689,66.0599975586,66.2300033569,66.2900009155,3622100.0,60.2875137329
2017-04-03,66.5899963379,65.6600036621,66.5899963379,66.2300033569,3319400.0,60.2329368591
2017-04-04,66.3000030518,65.3700027466,65.75,65.8099975586,3101500.0,59.8509712219
2017-04-05,66.6999969482,65.0,66.1200027466,65.0899963379,3236700.0,59.1961631775
2017-04-06,65.5899963379,64.7099990845,65.1100006104,65.0699996948,3378100.0,59.1779823303
2017-04-07,66.0999984741,65.0,65.0699996948,65.5699996948,3854600.0,59.6327056885
2017-04-10,66.25,65.3000030518,65.5999984741,65.3499984741,3409400.0,59.4326286316
2017-04-11,65.6600036621,64.7799987793,65.2699966431,65.6299972534,3927500.0,59.6872634888
2017-04-12,66.25,65.0699996948,65.9000015259,65.1299972534,4156200.0,59.2325401306
2017-04-13,65.6299972534,64.5800018311,65.1699981689,64.6800003052,3105200.0,58.8232917786
2017-04-17,65.1900024414,64.6500015259,64.7399978638,65.1900024414,2909800.0,59.2871131897
2017-04-18,65.0999984741,63.5800018311,64.9300003052,64.1500015259,4605800.0,58.3412857056
2017-04-19,64.3700027466,63.2599983215,64.2200012207,63.4900016785,4988300.0,57.7410469055
2017-04-20,64.7099990845,63.5600013733,63.6800003052,64.0999984741,2777800.0,58.2958106995
