Date,High,Low,Open,Close,Volume,Adj Close
2016-12-12,91.5,90.1399993896,90.1399993896,90.9800033569,15545400.0,82.2887878418
2016-12-13,93.2200012207,91.1699981689,91.8899993896,92.5800018311,18829300.0,83.7359542847
2016-12-14,92.2699966431,90.1699981689,92.2600021362,90.5800018311,16325400.0,81.9270095825
2016-12-15,90.9800033569,89.7600021362,90.0999984741,90.8899993896,11155100.0,82.2073974609
2016-12-16,91.6699981689,90.6399993896,91.5199966431,91.1800003052,20560400.0,82.4696960449
2016-12-19,91.5400009155,90.1999969482,91.3799972534,90.4199981689,9674400.0,81.7822952271
2016-12-20,90.8499984741,90.2900009155,90.5100021362,90.4300003052,7221000.0,81.7913360596
2016-12-21,90.9000015259,90.1800003052,90.6800003052,90.2799987793,7308000.0,81.6556625366
2016-12-22,90.9000015259,90.0199966431,90.0199966431,90.8700027466,8003100.0,82.1893081665
2016-12-23,90.9599990845,90.5199966431,90.8899993896,90.7099990845,4266500.0,82.0445861816
2016-12-27,91.1100006104,90.5800018311,90.8300018311,90.75,4960600.0,82.0807800293
2016-12-28,91.1100006104,90.2600021362,90.6800003052,90.3000030518,6745900.0,81.6737670898
2016-12-29,90.5999984741,90.0299987793,90.0999984741,90.3499984741,6684700.0,81.7189788818
2016-12-30,90.6999969482,90.0100021362,90.0299987793,90.2600021362,9117800.0,81.6375808716
2017-01-03,91.3399963379,90.1500015259,90.9400024414,90.8899993896,10360600.0,82.2073974609
2017-01-04,91.1500015259,89.75,91.1200027466,89.8899993896,9434200.0,81.3029327393
2017-01-05,90.3000030518,88.4400024414,90.1900024414,88.5500030518,14443200.0,80.090927124
2017-01-06,88.9800033569,87.8199996948,88.7900009155,88.5,16518100.0,80.045715332
2017-01-09,88.2200012207,86.5500030518,88.2200012207,87.0400009155,13762300.0,78.725189209
2017-01-10,87.3099975586,85.9100036621,87.1699981689,85.9300003052,13283100.0,77.721206665
2017-01-11,86.9499969482,85.8600006104,85.9000015259,86.8099975586,11183700.0,78.5171585083
2017-01-12,87.3799972534,86.0699996948,87.2699966431,86.3399963379,10407000.0,78.092048645
2017-01-13,86.6800003052,86.1699981689,86.2699966431,86.3499984741,8415600.0,78.1010971069
2017-01-17,87.3899993896,86.25,86.5800018311,87.3600006104,13237300.0,79.0146179199
2017-01-18,87.4100036621,86.0500030518,87.0599975586,86.2799987793,11831700.0,78.0377883911
2017-01-19,86.0999984741,84.5899963379,85.9700012207,84.7300033569,16382900.0,76.635848999
2017-01-20,85.9599990845,85.0500030518,85.4400024414,85.8899993896,18739700.0,77.6850509644
2017-01-23,85.8799972534,84.75,85.6800003052,84.9700012207,11433900.0,76.8529205322
2017-01-24,85.4700012207,84.8300018311,84.9800033569,85.0899963379,11858100.0,76.9614715576
2017-01-25,85.8799972534,85.25,85.3399963379,85.3399963379,9578500.0,77.1875762939
2017-01-26,85.8300018311,85.1200027466,85.6900024414,85.5999984741,8779400.0,77.4227371216
2017-01-27,85.75,85.0400009155,85.3000030518,85.5100021362,10947900.0,77.3413467407
2017-01-30,85.4499969482,84.1800003052,85.4199981689,84.8600006104,12789200.0,76.7534255981
2017-01-31,85.0699996948,83.1299972534,85.0400009155,83.8899993896,19128100.0,75.876083374
2017-02-01,84.1600036621,82.5400009155,84.0,82.9400024414,15111800.0,75.0168380737
2017-02-02,83.5299987793,82.5500030518,83.2099990845,83.4499969482,12200100.0,75.4781265259
2017-02-03,83.7200012207,82.9000015259,83.6999969482,83.5400009155,12746300.0,75.5595397949
2017-02-06,83.6500015259,82.9300003052,83.5500030518,83.3099975586,9938200.0,75.3515090942
2017-02-07,83.6200027466,82.4499969482,83.2300033569,82.7699966431,11705200.0,74.8630981445
2017-02-08,82.1200027466,81.1699981689,81.9899978638,81.4800033569,14006300.0,74.3702163696
2017-02-09,82.0500030518,81.4800033569,81.4800033569,81.8399963379,9603000.0,74.6987915039
2017-02-10,82.7699966431,82.1299972534,82.2600021362,82.5199966431,8739800.0,75.3194503784
2017-02-13,83.1800003052,82.3499984741,82.7699966431,83.0,9071600.0,75.7575683594
2017-02-14,83.0999984741,82.0599975586,82.9100036621,82.8199996948,11370500.0,75.5932846069
2017-02-15,83.1800003052,82.4599990845,82.6399993896,83.1600036621,11768500.0,75.9036178589
2017-02-16,83.4199981689,82.1699981689,83.1200027466,82.3000030518,10615000.0,75.1186599731
2017-02-17,82.1900024414,81.4400024414,82.0899963379,81.7600021362,15646000.0,74.6257781982
2017-02-21,82.1500015259,81.3000030518,82.1200027466,81.8899993896,16419600.0,74.744430542
2017-02-22,81.6999969482,80.8700027466,81.6500015259,80.9300003052,12917400.0,73.8682022095
2017-02-23,82.2200012207,81.0299987793,81.4199981689,81.7799987793,13847000.0,74.6440353394
2017-02-24,81.8000030518,80.7600021362,81.5999984741,81.0800018311,11338700.0,74.0051193237
2017-02-27,81.7099990845,80.8099975586,81.1299972534,81.5400009155,13465900.0,74.4249649048
2017-02-28,81.9899978638,81.0500030518,81.5299987793,81.3199996948,16834200.0,74.2241744995
2017-03-01,83.3300018311,81.6999969482,81.6999969482,83.0199966431,17482100.0,75.7758331299
2017-03-02,84.25,82.7900009155,82.8000030518,83.3000030518,14170300.0,76.0314025879
2017-03-03,83.5999984741,82.2600021362,83.3000030518,82.4599990845,12190400.0,75.2646942139
2017-03-06,82.9000015259,82.3300018311,82.4400024414,82.8300018311,9617200.0,75.6024093628
2017-03-07,83.2900009155,82.1399993896,83.1100006104,82.5199966431,12711500.0,75.3194503784
2017-03-08,82.3799972534,81.0100021362,82.3499984741,81.0299987793,16817700.0,73.9594726562
2017-03-09,81.7200012207,80.3099975586,80.6399993896,81.6699981689,14721800.0,74.5436325073
2017-03-10,82.4700012207,81.1600036621,82.4400024414,81.6100006104,11355200.0,74.4888763428
2017-03-13,81.9400024414,81.0500030518,81.5,81.4199981689,9571400.0,74.3154373169
2017-03-14,81.2300033569,80.4400024414,81.0,80.9899978638,11335700.0,73.9229736328
2017-03-15,82.0599975586,81.0500030518,81.3499984741,82.0,11970300.0,74.8448486328
2017-03-16,82.1999969482,81.6699981689,82.0299987793,82.0699996948,9923800.0,74.9087371826
2017-03-17,82.2600021362,81.8199996948,82.0299987793,82.0,18834100.0,74.8448486328
2017-03-20,82.0400009155,81.4400024414,81.7200012207,82.0,7700300.0,74.8448486328
2017-03-21,82.3499984741,81.5999984741,82.1600036621,81.8300018311,13387700.0,74.689666748
2017-03-22,82.0899963379,81.4300003052,81.9599990845,81.7600021362,11168400.0,74.6257781982
2017-03-23,82.2200012207,81.4599990845,81.6299972534,81.8600006104,8928000.0,74.7170562744
2017-03-24,82.0299987793,81.1500015259,82.0299987793,81.2300033569,9128500.0,74.1420288086
2017-03-27,81.4300003052,80.7900009155,80.8199996948,81.25,8481200.0,74.1602859497
2017-03-28,82.0199966431,80.9599990845,81.3199996948,81.8399963379,11028600.0,74.6987915039
2017-03-29,82.2799987793,81.5500030518,81.6900024414,82.0199966431,8495500.0,74.8630981445
2017-03-30,83.8700027466,81.9400024414,82.0299987793,83.6999969482,44704900.0,76.3964920044
2017-03-31,83.3099975586,81.8600006104,83.2600021362,82.0100021362,21750400.0,74.8539810181
2017-04-03,82.3099975586,81.3499984741,82.0199966431,82.0699996948,11438700.0,74.9087371826
2017-04-04,82.4199981689,81.3300018311,82.0999984741,82.3700027466,9270900.0,75.1825561523
2017-04-05,83.5500030518,82.4700012207,82.8499984741,82.5299987793,13809100.0,75.3285903931
2017-04-06,83.2099990845,82.4599990845,82.75,83.0100021362,9554900.0,75.7667007446
2017-04-07,83.3600006104,82.6800003052,83.2399978638,82.7600021362,8909600.0,75.538520813
2017-04-10,83.4700012207,82.9199981689,83.1200027466,83.1299972534,8885300.0,75.8762359619
2017-04-11,83.1699981689,82.4199981689,83.0800018311,82.8399963379,8576500.0,75.6115264893
2017-04-12,83.3499984741,82.6999969482,82.8600006104,82.9700012207,9516100.0,75.7302017212
2017-04-13,82.7300033569,81.5699996948,82.7200012207,81.6900024414,8667900.0,74.5618896484
2017-04-17,81.9700012207,81.4400024414,81.8499984741,81.5800018311,9577200.0,74.461479187
2017-04-18,81.8199996948,81.0299987793,81.3199996948,81.0500030518,8821400.0,73.9777297974
2017-04-19,81.5100021362,80.3000030518,81.1699981689,80.4899978638,10764400.0,73.4665908813
2017-04-20,81.7399978638,80.6999969482,80.9499969482,81.0100021362,11649100.0,73.9412384033
2017-04-21,81.0,80.4700012207,80.9300003052,80.6900024414,9816700.0,73.6491546631
2017-04-24,81.4000015259,80.8099975586,81.2799987793,81.1100006104,8729700.0,74.0324935913
2017-04-25,81.9300003052,81.2799987793,81.4300003052,81.7300033569,10733800.0,74.5984039307
2017-04-26,82.3300018311,81.3899993896,81.5199966431,81.4000015259,9445900.0,74.297203064
2017-04-27,81.3000030518,80.9400024414,81.0699996948,81.2600021362,12385300.0,74.1694030762
2017-04-28,82.4899978638,81.5599975586,82.4599990845,81.6500015259,12072200.0,74.5253829956
2017-05-01,82.2099990845,81.4800033569,81.5100021362,82.0599975586,8664100.0,74.899597168
2017-05-02,82.5899963379,81.9000015259,82.1399993896,82.0500030518,9102900.0,74.8904800415
