Date,High,Low,Open,Close,Volume,Adj Close
2017-11-01,117.129997253,110.790000916,111.910003662,115.089996338,4570000.0,113.650016785
2017-11-02,115.160003662,111.290000916,114.900001526,112.319999695,3478300.0,110.914672852
2017-11-03,111.0,108.540000916,110.080001831,109.25,3918700.0,107.883087158
2017-11-06,110.519996643,108.949996948,109.319999695,109.339996338,2481200.0,107.971961975
2018-01-02,124.269996643,120.559997559,121.0,124.059997559,1765300.0,122.507781982
2018-01-03,125.400001526,123.949996948,124.709999084,124.919998169,1328800.0,123.357032776
2018-01-04,126.709999084,123.410003662,125.290000916,124.739997864,1073200.0,123.179283142
2018-01-05,126.209999084,124.309997559,124.88999939,125.980003357,1063400.0,124.403770447
2018-01-08,126.709999084,125.099998474,125.660003662,126.220001221,1249500.0,124.640769958
2018-01-09,127.019996643,124.050003052,126.720001221,124.190002441,1999200.0,122.636161804
2018-01-10,124.400001526,120.769996643,124.120002747,122.529998779,1956700.0,120.996925354
2018-01-11,123.13999939,121.199996948,122.769996643,122.290000916,1304800.0,120.759925842
2018-01-12,123.040000916,121.580001831,122.819999695,122.099998474,1014400.0,120.572311401
2018-01-16,123.050003052,121.089996338,122.319999695,121.680000305,1396500.0,120.157562256
2018-01-17,122.830001831,121.709999084,122.239997864,122.489997864,1167900.0,120.957427979
2018-01-18,122.760002136,121.550003052,122.419998169,122.190002441,1077700.0,120.661186218
2018-01-19,124.690002441,122.239997864,122.239997864,123.480003357,1804500.0,121.935050964
2018-01-22,126.269996643,122.88999939,123.5,126.199996948,1364100.0,124.621009827
2018-01-23,125.949996948,124.029998779,125.650001526,124.510002136,1225200.0,122.952163696
2018-01-24,125.819999695,124.269996643,125.050003052,125.019996643,1054100.0,123.455780029
2018-01-25,125.809997559,124.13999939,125.809997559,124.739997864,1038100.0,123.179283142
2018-01-26,126.519996643,124.029998779,124.760002136,126.230003357,1390900.0,124.650642395
2018-01-29,129.339996338,126.25,126.290000916,127.38999939,2538000.0,125.796134949
2018-01-30,129.149993896,121.519996643,123.050003052,125.940002441,2883000.0,124.364273071
2018-01-31,129.059997559,125.169998169,126.629997253,127.120002747,1939200.0,125.529502869
2018-02-01,128.720001221,125.709999084,126.349998474,128.190002441,1756300.0,126.586112976
2018-02-02,127.199996948,125.61000061,127.050003052,125.790000916,1392700.0,124.216140747
2018-02-05,127.419998169,122.370002747,124.790000916,123.180000305,2098800.0,121.638793945
2018-02-06,122.930000305,119.5,121.0,122.300003052,2166000.0,120.769813538
2018-02-07,123.519996643,120.739997864,121.650001526,120.779998779,1145100.0,119.268829346
2018-02-08,120.63999939,115.5,120.5,115.529998779,1659200.0,114.084518433
2018-02-09,117.410003662,112.970001221,116.050003052,116.38999939,2145900.0,114.933746338
2018-02-12,117.489997864,115.050003052,116.959999084,116.519996643,1467600.0,115.062110901
2018-02-13,116.180000305,114.870002747,115.830001831,115.930000305,1081100.0,114.479499817
2018-02-14,117.959999084,115.230003357,115.230003357,117.699996948,760800.0,116.227355957
2018-02-15,119.900001526,117.800003052,118.150001526,119.790000916,1266100.0,118.291213989
2018-02-16,121.660003662,118.930000305,119.699996948,120.480003357,696600.0,118.972579956
2018-02-20,120.720001221,118.5,119.800003052,118.720001221,663700.0,117.234603882
2018-02-21,120.699996948,118.660003662,119.330001831,118.680000305,988600.0,117.195098877
2018-02-22,120.0,117.339996338,119.25,117.580001831,888200.0,116.10887146
2018-02-23,118.940002441,117.620002747,118.379997253,118.849998474,633300.0,117.362983704
2018-02-26,120.029998779,118.400001526,118.900001526,119.879997253,638600.0,118.380088806
2018-02-27,120.199996948,118.120002747,119.919998169,118.13999939,854900.0,116.661849976
2018-02-28,118.930000305,116.220001221,118.150001526,116.25,819700.0,114.795509338
2018-03-01,116.589996338,112.519996643,116.0,113.550003052,1044600.0,112.129295349
2018-03-02,117.440002441,113.010002136,113.230003357,117.050003052,1181900.0,115.585494995
2018-03-05,118.660003662,116.260002136,116.63999939,118.129997253,1048500.0,116.651985168
2018-03-06,118.550003052,116.930000305,118.379997253,118.089996338,1106100.0,116.612464905
2018-03-07,121.660003662,117.330001831,117.330001831,121.0,1345900.0,119.486076355
2018-03-08,121.699996948,119.709999084,121.699996948,120.209999084,1272500.0,118.705955505
2018-03-09,121.440002441,120.13999939,120.739997864,120.86000061,874600.0,119.347831726
2018-03-12,121.120002747,117.819999695,120.910003662,118.260002136,2030400.0,116.780357361
2018-03-13,118.839996338,117.510002136,118.599998474,117.919998169,1459300.0,116.444610596
2018-03-14,118.75,115.790000916,118.540000916,116.239997864,1344900.0,114.785621643
2018-03-15,117.900001526,115.370002747,116.919998169,115.919998169,1199800.0,114.46962738
2018-03-16,117.480003357,116.199996948,116.199996948,116.830001831,1248800.0,115.368247986
2018-03-19,116.739997864,113.900001526,116.730003357,114.75,891100.0,113.31427002
2018-03-20,115.220001221,113.650001526,115.010002136,114.400001526,928000.0,112.968650818
2018-03-21,115.080001831,113.879997253,114.660003662,114.379997253,936500.0,112.948890686
2018-03-22,114.419998169,111.319999695,113.63999939,111.379997253,1213200.0,109.986434937
2018-03-23,109.730003357,107.319999695,109.580001831,107.440002441,2511900.0,106.095741272
2018-03-26,109.919998169,107.690002441,108.379997253,109.760002136,1274000.0,108.38671875
2018-03-27,110.309997559,107.879997253,109.88999939,108.480003357,1218300.0,107.12272644
2018-03-28,109.63999939,108.089996338,108.540000916,108.160003662,995400.0,107.043556213
2018-03-29,109.620002747,107.599998474,108.790000916,109.040000916,1356100.0,107.914466858
2018-04-02,109.400001526,104.88999939,108.88999939,106.400001526,1235000.0,105.301727295
2018-04-03,107.63999939,105.25,106.489997864,107.13999939,1154400.0,106.034072876
2018-04-04,107.5,105.449996948,106.050003052,107.36000061,1263300.0,106.251800537
2018-04-05,109.400001526,107.209999084,107.88999939,108.349998474,738900.0,107.231590271
2018-04-06,107.940002441,104.279998779,107.75,105.180000305,861300.0,104.094314575
2018-04-09,108.080001831,105.309997559,105.660003662,106.199996948,1205600.0,105.103782654
2018-04-10,108.650001526,107.010002136,107.069999695,107.290000916,1186600.0,106.182525635
2018-04-11,106.930000305,105.629997253,106.449996948,106.029998779,637400.0,104.935531616
2018-04-12,107.010002136,105.790000916,106.180000305,106.419998169,737600.0,105.321510315
2018-04-13,107.339996338,105.019996643,107.019996643,105.569999695,797900.0,104.480285645
2018-04-16,107.930000305,105.819999695,106.209999084,107.239997864,1328100.0,106.133041382
2018-04-17,109.400001526,105.930000305,107.910003662,108.819999695,1208000.0,107.696739197
2018-04-18,110.949996948,108.730003357,108.75,110.080001831,1579700.0,108.943725586
2018-04-19,110.970001221,109.650001526,110.129997253,110.739997864,1359300.0,109.596923828
2018-04-20,112.169998169,109.86000061,111.059997559,110.319999695,1541600.0,109.181251526
2018-04-23,112.290000916,110.029998779,110.470001221,111.239997864,1459900.0,110.091758728
2018-04-24,111.779998779,108.480003357,111.620002747,109.440002441,1000700.0,108.310348511
2018-04-25,110.699996948,108.040000916,108.959999084,110.589996338,1087200.0,109.44846344
2018-04-26,115.230003357,107.690002441,109.0,115.099998474,3075200.0,113.91191864
2018-04-27,117.680000305,112.709999084,114.410003662,116.919998169,1993700.0,115.713119507
